semester,number of clusters,cluster id,users in each cluster,unique institutions,institution list
spring2007,38,1,449,5,"['northwestern university', 'national taiwan university', 'university of louisville', 'university of illinois at chicago', 'university of pennsylvania']"
,,2,181,5,"['purdue university', 'university of illinois at urbana-champaign', 'stanford university', 'ucsb alumni association', 'University of Louisiana at Lafayette']"
,,3,40,3,"['university of utah', 'arizona state university', 'Western International University']"
,,4,37,2,"['northwestern university', 'South Dakota School of Mines and Technology']"
,,5,31,2,"['purdue university', 'university of michigan']"
,,6,29,4,"['purdue university', 'boise state university', 'massachusetts institute of technology (mit)', 'ucla']"
,,7,23,3,"['purdue university', 'aci technologies', 'uc davis']"
,,8,20,1,['the university of texas at austin']
,,9,16,4,"['seznam.cz', 'brno university of technology', 'Norfolk State University', 'Chicago State University']"
,,10,16,1,['virginia tech']
,,11,15,4,"['boise state university', 'micron technology', 'purdue university', 'cableone advertising']"
,,12,15,5,"['university of florida', 'kth royal institute of technology', 'the university of alabama at birmingham', 'The University of Alabama', 'columbia university in the city of new york']"
,,13,15,3,"['seznam.cz', 'stanford university', 'brno university of technology']"
,,14,11,1,['stanford university']
,,15,11,1,['Weber State University']
,,16,11,5,"['university of maryland baltimore county', 'indian institute of technology, bombay', 'cukurova university', 'georgia institute of technology', 'university of california, riverside']"
,,17,10,1,['purdue university']
,,18,10,4,"['the ohio state university', 'nanyang technological university', 'university of south carolina', 'eth zurich']"
,,19,10,2,"['university of delaware', 'ibm']"
,,20,10,3,"['university of delaware', 'university of california, riverside', 'arizona state university']"
,,21,9,1,['massachusetts institute of technology (mit)']
,,22,9,3,"['tata technologies', 'purdue university', 'ball state university']"
,,23,8,1,['Chicago State University']
,,24,7,5,"['stanford university', 'university of florida', 'university of surrey', 'iupui', 'oak ridge national laboratory']"
,,25,6,2,"['northwestern university', 'stanford university']"
,,26,6,3,"['indian institute of technology, bombay', 'boise state university', 'university of utah']"
,,27,6,5,"['national instruments', 'university of notre dame', 'intel corporation', 'massachusetts institute of technology (mit)', 'ball state university']"
,,28,6,3,"['ball state university', 'sarnoff corporation', 'University of Rochester']"
,,29,5,3,"['hÃ´pital erasme - cliniques universitaires de bruxelles', 'drexel university', 'Naval Postgraduate School']"
,,30,5,0,[]
,,31,5,1,['linkdotnet']
,,32,5,3,"[""cea - commissariat Ã\xa0 l'Ã©nergie atomique et aux Ã©nergies alternatives"", 'hiroshima university', 'arizona state university']"
,,33,5,3,"['purdue university', 'yale new haven hospital', 'uc santa barbara']"
,,34,5,1,['seznam.cz']
,,35,5,1,['national chiao tung university']
,,36,5,1,['national science foundation']
,,37,5,3,"['auburn university', 'massachusetts institute of technology (mit)', 'universidade estadual de campinas']"
,,38,5,2,"['brno university of technology', 'seznam.cz']"
fall2007,31,1,190,3,"['northwestern university', 'kansas state university', 'university of wisconsin milwaukee']"
,,2,68,1,['stanford university']
,,3,32,15,"['arizona state university', 'national chiao tung university', 'iowa state university', 'national chi nan university', 'uc merced', 'peking university', 'university of cambridge', 'shizuoka university', 'university of warwick', 'the university of manchester', 'the university of texas at arlington', 'university of maryland', 'new jersey institute of technology', 'university of florida', 'purdue university']"
,,4,28,6,"['uc berkeley', 'technical university of denmark', 'ofir.dk - jobannoncering og rekruttering i Ã©t system', 'gsi helmholtz centre for heavy ion research', 'green adventure', 'stanford university']"
,,5,28,4,"['University of South Alabama', 'american indian higher ed', 'university of leipzig', 'university of florida']"
,,6,27,2,"['kth royal institute of technology', 'massachusetts institute of technology (mit)']"
,,7,25,1,['northwestern university']
,,8,25,2,"['arizona state university', 'information sciences institute']"
,,9,22,1,['purdue university']
,,10,19,3,"['purdue university', 'stanford university', 'clarkson university']"
,,11,17,1,['northwestern university']
,,12,17,8,"['michigan state university', 'deakin university', 'the university of queensland', 'impression technologies ltd', 'indian institute of technology, madras', 'carnegie mellon university', 'boeing', 'university of michigan']"
,,13,14,1,['virginia tech']
,,14,13,3,"['northwestern university', 'ball state university', 'caltech']"
,,15,13,3,"['ucla', 'cornell university', 'ecn']"
