semester,institution name,clusters per institution
spring2007,ball state university,1
,seznam.cz,12
,stanford university,14
,brno university of technology,11
,massachusetts institute of technology (mit),7
,norfolk state university,6
,Chicago State University,8
,kth royal institute of technology,1
,the university of texas at austin,4
,Harvard University,3
,purdue university,33
,ucla,1
,university of michigan,3
,northwestern university,8
,boise state university,4
,micron technology,2
,university of delaware,1
,arizona state university,6
,"university of california, riverside",1
,university of utah,3
,graz university of technology,1
,virginia tech,4
,university of louisville,1
,Texas Tech University,3
,university of illinois at chicago,1
,kansas state university,3
,Weber State University,3
,national chiao tung university,1
,university of illinois at urbana-champaign,1
,uc davis,1
,university of melbourne,1
,ibm,3
,intel corporation,4
,southern illinois university,1
fall2007,university of texas at dallas,5
,sematech,3
,southern illinois university,18
,university of illinois at chicago,14
,hampton university,4
,university of chicago,3
,university of wisconsin-madison,3
,California State University Dominguez Hills,3
,michigan technological university,4
,northwestern university,9
,uc merced,6
,illinois business consulting,3
,university of illinois at urbana-champaign,5
,purdue university,24
,unc charlotte,3
,ball state university,2
,University of South Alabama,3
,university of florida,2
,university of cincinnati,12
,globalfoundries,4
,Chicago State University,1
,university of portland,1
,university of delaware,1
,kth royal institute of technology,3
,massachusetts institute of technology (mit),6
,university of bologna,2
,Harvard University,1
,pontificia universidad javeriana,1
,ucla,1
,cornell university,1
,stanford university,5
,virginia tech,2
,Texas Tech University,3
,university of wisconsin milwaukee,1
,kansas state university,1
,technical university of denmark,1
,ofir.dk - jobannoncering og rekruttering i Ã©t system,1
,green adventure,1
,arizona state university,4
,qualcomm,1
,national chiao tung university,3
,national chi nan university,2
,ibm,9
,norfolk state university,2
,intel corporation,8
,mcgill university,2
,university of melbourne,3
,imperial college london,2
,penn state university,1
,lawrence berkeley national laboratory,1
spring2008,cairo university,2
,stanford university,17
,university of nevada las vegas,2
,mentor graphics,1
,university of florida,3
,arizona state university,8
,Chicago State University,10
,southern illinois university,21
,madigan army medical center,2
,national science foundation,12
,university of illinois at urbana-champaign,15
,illinois business consulting,6
,purdue university,24
,the university of texas at el paso,3
,university of puerto rico,1
,University of Puerto Rico Mayaguez,1
,seznam.cz,12
,brno university of technology,12
,portland state university,1
,university of massachusetts amherst,3
,massachusetts institute of technology (mit),11
,the university of texas at austin,1
,"university of california, riverside",3
,ball state university,2
,university of cincinnati,10
,ieee,2
,university of south florida,2
,boise state university,2
,new jersey institute of technology,3
,university of connecticut,3
,kth royal institute of technology,2
,University of Washington Seattle Campus,3
,university of louisville,3
,epfl (Ã©cole polytechnique fÃ©dÃ©rale de lausanne),1
,politecnico di torino,1
,northwestern university,9
,university of utah,1
,"university of washington, program on the environment",1
,Harvard University,1
,Texas Tech University,1
,university of wisconsin milwaukee,1
,cornell university,3
,norfolk state university,1
,Virginia State University,1
,uc berkeley,5
,uc merced,3
,university of bologna,1
,national chiao tung university,1
,lawrence berkeley national laboratory,2
,mcgill university,2
,penn state university,1
,university of melbourne,3
,ibm,5
,imperial college london,1
,globalfoundries,1
,korea institute of science and technology,2
,university of michigan,2
fall2008,purdue university,39
,national university of singapore,5
,uc santa barbara,3
,iupui,4
,ibm,7
,university of idaho,5
,arizona state university,7
,european xfel,1
,rwth aachen university,1
,southern illinois university,4
,national science foundation,4
,university of texas at dallas,7
,northwestern university,6
,ball state university,4
,university of pennsylvania,2
,university of illinois at urbana-champaign,12
,illinois business consulting,3
,University of South Alabama,2
,university of louisville,1
,university of notre dame,3
,india.com,3
,kth royal institute of technology,4
,b-phot brussels photonics team,4
,stanford university,4
,bug me not,1
,university of cincinnati,5
,university of portland,1
,university of bologna,2
,intel corporation,2
,rise acreo,1
,ghent university,3
,"indian institute of technology, bombay",1
,uc merced,2
,national chiao tung university,2
,Vassar College,1
,university of michigan,3
,the university of texas at el paso,2
,university of south florida,1
,university of florida,1
,massachusetts institute of technology (mit),2
,technical university of denmark,1
,university of melbourne,2
,lawrence berkeley national laboratory,1
,korea institute of science and technology,2
,penn state university,1
,globalfoundries,1
,nict,1
spring2009,Harvard University,11
,vanderbilt university,2
,purdue university,25
,university of maryland baltimore county,5
,southern illinois university,9
,university of texas at dallas,6
,texas a&m university,2
,colours,1
,stanford university,8
,cornell university,1
,university of illinois at chicago,5
,northwestern university,18
,university of illinois at urbana-champaign,21
,illinois business consulting,7
,seznam.cz,12
,brno university of technology,12
,Morgan State University,5
,arizona state university,7
,ball state university,3
,university of michigan,3
,rice university,4
,louisiana state university,1
,louisiana tech university,1
,boston university,4
,columbia university in the city of new york,2
,washington university in st. louis,2
,clemson university,3
,university of toronto,3
,university of cambridge,2
,university of central florida,3
,the university of manchester,2
,university of florida,4
,hampton university,2
,massachusetts institute of technology (mit),14
,cairo university,4
,mynet,2
,new jersey institute of technology,3
,kth royal institute of technology,3
,chalmers university of technology,1
,Texas Tech University,2
,Chicago State University,2
,ieee,1
,the university of british columbia,1
,a g groome & associates,1
,boise state university,2
,the university of texas at el paso,4
,Chippewa Valley Technical College,2
,university of melbourne,4
,iupui,1
,mcgill university,1
,uc berkeley,6
,uc merced,5
,San Francisco State University,6
,nict,1
,ibm,1
,university of cincinnati,1
,korea institute of science and technology,1
,norfolk state university,1
,the university of texas at austin,1
,indiana university,1
fall2009,wright state university,1
,purdue university,66
,university of virginia,8
,university of florida,1
,Jacksonville University,4
,arizona state university,13
,intel corporation,9
,kth royal institute of technology,7
,rochester institute of technology,6
,iupui,5
,university of cincinnati,6
,cornell university,3
,university of texas at dallas,4
,southern illinois university,5
,Chicago State University,3
,ball state university,9
,university of melbourne,2
,north carolina state university,5
,northwestern university,12
,Dillard University,2
,stanford university,16
,"university of california, san diego",1
,university of illinois at urbana-champaign,29
,illinois business consulting,19
,texas a&m university,4
,university of wisconsin-madison,3
,caltech,3
,uc santa cruz,3
,university of illinois at chicago,3
,clemson university,3
,ucla,3
,united business student senate,4
,University of South Alabama,2
,university of new mexico,1
,Naval Postgraduate School,1
,university of michigan,1
,massachusetts institute of technology (mit),12
,The University of Texas Rio Grande Valley,1
,university of texas - pan american,1
,brownsville public utilities board,1
,seoul national university,2
,the university of texas at austin,2
,University of Washington Seattle Campus,1
,university of victoria,6
,national institute of standards and technology,1
,university of bologna,3
,ieee,2
,national science foundation,1
,Harvard University,1
,penn state university,4
,nict,3
,the university of texas at el paso,4
,the university of british columbia,2
,chalmers university of technology,1
,national chiao tung university,1
,virginia tech,1
,portland state university,1
,norfolk state university,1
,ibm,4
,peking university,1
,uc santa barbara,1
,globalfoundries,1
spring2010,national science foundation,5
,university of warwick,1
,purdue university,42
,university of maryland baltimore county,7
,colorado school of mines,7
,university of colorado boulder,5
,kth royal institute of technology,5
,university of pittsburgh,1
,grenoble inp - institut polytechnique de grenoble,1
,epfl (Ã©cole polytechnique fÃ©dÃ©rale de lausanne),1
,florida international university,1
,politecnico di torino,2
,university of cincinnati,1
,northwestern university,22
,stanford university,2
,"university of california, san diego",2
,mcgill university,2
,massachusetts institute of technology (mit),7
,cornell university,8
,southern illinois university,5
,university of illinois at urbana-champaign,22
,Florida Institute of Technology,2
,university of south carolina,3
,columbia university in the city of new york,3
,university of north carolina at chapel hill,3
,national university of singapore,3
,lappeenranta university of technology,3
,the ohio state university,4
,georgia institute of technology,3
,johns hopkins university,2
,university of wisconsin-madison,2
,ybrant digital,1
,norfolk state university,4
,arizona state university,8
,Texas Tech University,1
,Dillard University,3
,seznam.cz,12
,brno university of technology,12
,illinois business consulting,10
,Dakota County Technical College,1
,Minnesota State College Southeast,1
,Santa Clara University,1
,portland state university,1
,university of portland,2
,the university of texas at el paso,12
,Virginia State University,1
,united business student senate,7
,university of michigan,2
,universitÃ© de reims champagne-ardenne,1
,texas a&m university,3
,university of new mexico,1
,uc davis,2
,university of delaware,1
,university of massachusetts amherst,2
,globalfoundries,2
,Chicago State University,1
,ieee,1
,cairo university,1
,nict,1
,university of florida,1
,Lamar University,1
,Chippewa Valley Technical College,1
,Grand Valley State University,1
,john wiley and sons,1
,ball state university,1
,colorado state university,1
,peking university,3
,ibm,4
,uc santa barbara,2
,university of melbourne,6
,university of bologna,2
,university of texas - pan american,1
fall2010,arizona state university,16
,purdue university,67
,"california state university, fullerton",4
,politÃ©cnico grancolombiano,2
,kth royal institute of technology,8
,colorado school of mines,2
,rochester institute of technology,1
,iupui,2
,universidad autÃ³noma de madrid,2
,university of cincinnati,3
,wright state university,1
,West Virginia University,2
,boise state university,1
,massachusetts institute of technology (mit),8
,ntnu,3
,"university of california, san diego",3
,Harvard University,2
,southern illinois university,8
,university of illinois at urbana-champaign,37
,illinois business consulting,21
,northwestern university,12
,stanford university,2
,Texas Tech University,3
,"california state university, long beach",1
,carnegie mellon university,1
,madigan army medical center,1
,university of pennsylvania,1
,unc charlotte,1
,Doane University Graduate and Professional Studies,1
,university of texas - pan american,4
,The University of Texas Rio Grande Valley,1
,kaist,5
,university of notre dame,3
,georgia institute of technology,3
,rensselaer polytechnic institute,3
,uc santa barbara,4
,intel corporation,5
,university of virginia,2
,university of texas at dallas,5
,university of bologna,8
,ball state university,1
,united business student senate,3
,the university of texas at austin,1
,globalfoundries,1
,university of portland,1
,ufrgs,1
,the university of texas at el paso,6
,delphi,3
,university of utah,1
,university of toronto,2
,ieee,4
,cairo university,3
,Chicago State University,1
,national science foundation,1
,cal poly pomona,1
,the university of british columbia,2
,national chiao tung university,1
,norfolk state university,1
,peking university,2
,penn state university,1
,university of melbourne,1
,lawrence berkeley national laboratory,2
,ibm,2
spring2011,arizona state university,28
,purdue university,54
,stanford university,13
,kth royal institute of technology,3
,eth zurich,1
,vanderbilt university,1
,ohio university,1
,clemson university,1
,columbia university in the city of new york,1
,university of south carolina,1
,bilkent university,1
,aselsan,1
,sabanci university,1
,johannes kepler university,1
,epfl (Ã©cole polytechnique fÃ©dÃ©rale de lausanne),6
,consiglio nazionale delle ricerche,1
,oak ridge national laboratory,1
,"asylum research, an oxford instruments company",1
,university of cincinnati,5
,universidad de zaragoza,1
,stmicroelectronics,4
,grenoble inp - institut polytechnique de grenoble,3
,ku leuven,3
,politecnico di torino,3
,university of nevada las vegas,1
,mcgill university,6
,southern illinois university,14
,ieee,11
,university of illinois at urbana-champaign,31
,illinois business consulting,4
,colours,1
,University of Washington Seattle Campus,7
,aim professional group,6
,northwestern university,17
,sheets wholesale inc,3
,Texas Tech University,1
,brno university of technology,11
,seznam.cz,10
,coma s.r.o. - telekomunika?nÃ­ sÃ­? unet,6
,university of waterloo,1
,massachusetts institute of technology (mit),8
,Harvard University,11
,national science foundation,23
,Dakota County Technical College,1
,rochester institute of technology,1
,portland state university,11
,norfolk state university,10
,University of Miami,3
,north carolina state university,11
,united business student senate,3
,uc santa barbara,2
,the university of texas at el paso,8
,binghamton university,6
,freescale semiconductor,3
,isep - ecole d'ingÃ©nieurs du numÃ©rique,1
,seoul national university,1
,ulsan national institute of science and technology,1
,caltech,3
,simon fraser university,3
,university of north carolina at chapel hill,2
,national institutes of health,3
,university of wisconsin-madison,3
,Kettering University,3
,university of louisville,3
,florida international university,3
,Chicago State University,2
,University of Mary Washington,1
,The University of Tennessee Knoxville,4
,boston university,1
,cairo university,2
,The University of Texas at San Antonio,1
,the university of texas at austin,1
,lehigh university,1
,university of florida,1
,unsw,1
,ball state university,1
,southern polytechnic state university,1
,wisconsin alumni association,1
,hampton university,2
,University of Akron Main Campus,1
,universidad de los andes,2
,University of South Alabama,1
,Grand Valley State University,1
,Weber State University,10
,national chiao tung university,10
,university of southern california,1
,boise state university,4
,kaist,1
,providence day school,1
