tool,start,end,mean_lon,mean_lat,user_set,ip_set
0,2009-07-05,2009-07-07,11.585000038146973,48.14970016479492,"{'navneetnayan', 'indranilbose', 'dynamo', 'rajeshpatchala', 'groupd'}","{'129.187.51.239', '138.246.7.57', '138.246.7.126', '138.246.7.104', '138.246.7.47'}"
1,2009-07-05,2009-07-07,9.491000175476074,51.29930114746094,"{'frtunikj', 'navneetnayan', 'indranilbose', 'phoneybustard', 'dynamo', 'gyorgycsaba'}","{'129.187.33.1', '129.187.155.88'}"
0,2009-08-24,2009-09-10,-86.9156027730434,40.426691900893964,"{'kbyun', 'rallyemenz', 'deguzouw', 'mshen', 'mconaboy', 'cbean', 'jakho', 'tkazokas', 'wtowens', 'wlpierret', 'monil2912', 'abishmalik', 'weim', 'afrierso', 'kbaciaus', 'purukhandue', 'aaronmudd', 'eenginerd', 'john3636', 'dtracy', 'chen272', 'tgregg', 'choi1', 'manakaw', 'wapayne', 'petey27', 'ratanrego', 'dwilkes', 'hirawan', 'arthurfacon', 'naman', 'panren2006', 'mhmalik', 'pasera', 'vgokhale', 'janam', 'rpithadi'}","{'128.211.178.209', '128.211.200.23', '128.211.195.19', '128.211.189.106', '98.223.96.218', '128.46.209.125', '128.211.201.105', '128.210.124.63', '128.46.209.65', '128.210.125.16', '128.46.209.129', '128.210.207.69', '128.211.238.21', '68.234.183.143', '128.211.203.37', '128.211.188.105', '128.46.209.121', '128.210.40.182', '128.210.125.203', '128.210.207.72', '128.210.105.134', '128.46.220.128', '128.210.39.107', '98.223.228.112', '98.223.100.216', '128.46.209.196', '128.211.163.177', '128.46.209.197', '128.210.27.91', '128.46.209.32', '128.46.209.195', '98.223.109.250', '128.46.209.36', '128.211.167.178', '128.211.200.114', '128.46.209.34', '128.210.40.181', '128.210.40.98', '128.46.209.127', '128.46.113.40', '128.46.209.128', '128.46.209.243', '128.46.209.192', '68.234.145.36', '128.46.200.53', '128.46.209.245'}"
1,2009-08-29,2009-08-30,-87.8211910541241,41.89578452477088,"{'rslosser', 'tgreenhi', 'serekson', 'mconaboy', 'choi1', 'monil2912', 'mhlebask'}","{'67.175.47.99', '98.223.128.120', '98.222.255.99', '98.212.28.239', '76.29.81.215', '98.223.61.186'}"
2,2009-09-12,2009-09-17,-78.47594357542553,38.04943794335186,"{'vkc5em', 'caseylitton', 'redwansajjad', 'capolanco', 'oz351221', 'hxwgter', 'mastermik', 'tsukiyomii100', 'buffalo8690', 'mikeggibson'}","{'137.54.26.236', '128.143.47.3', '128.143.74.238', '67.237.168.119', '199.111.222.115', '137.54.16.173', '128.143.10.155', '128.143.74.5', '65.173.90.131', '128.143.11.96', '128.143.46.169'}"
3,2009-10-03,2009-10-11,-86.91470336914062,40.42509841918945,"{'ashraf', 'cocker867', 'chen272', 'serekson', 'wlpierret', 'monil2912', 'anishv'}","{'128.46.214.12', '128.211.178.15', '128.210.192.30', '128.46.209.197', '128.210.126.22', '128.211.163.49', '128.46.121.11', '128.46.121.129', '128.46.200.53'}"
4,2009-10-24,2009-10-30,-86.91544935129144,40.42642008224375,"{'joywith', 'jzeng', 'jcwirth', 'spaceel', 'mochoa', 'tseyulin', 'mfoxe', 'mmakowsk', 'rchavali', 'shelmi', 'tim8241', 'deseal', 'ashokv', 'kmcmulle', 'ykubo', 'hjscow0421', 'park249', 'xiongg'}","{'128.46.209.244', '128.210.40.188', '128.46.209.35', '128.211.201.169', '128.211.251.144', '128.46.221.113', '128.210.86.236', '128.46.88.57', '128.46.111.231', '128.46.221.250', '128.211.251.143', '128.46.209.124', '128.46.214.122', '128.211.170.43', '98.223.231.118', '128.210.40.185', '128.211.178.126', '128.46.221.70', '128.210.40.182'}"
5,2009-10-27,2009-10-28,-97.8219985961914,37.750999450683594,"{'carter6', 'tdickson', 'zebov', 'momer', 'elkim', 'tonysweet'}","{'71.98.110.69', '24.110.234.207', '98.117.108.101', '71.98.96.206', '151.190.254.108', '136.182.2.26'}"
6,2009-11-01,2009-11-06,-111.9958649794295,33.43834056582969,"{'msriniv5', 'skyoo', 'tonnytang8', 'hung1987', 'sherasim', 'fjlatona', 'feiqi', 'yohaikal', 'zlmsailor', 'isparku', 'ewchung', 'huantruo', 'vedhas', 'flg34200'}","{'72.208.138.214', '174.22.202.147', '149.169.110.40', '24.56.62.13', '149.169.251.88', '149.169.114.75', '70.190.68.98', '149.169.55.26', '149.169.103.80', '72.208.138.69', '149.169.114.69', '68.99.227.145', '149.169.231.77', '71.223.185.81', '149.169.115.79', '149.169.90.32'}"
7,2009-11-02,2009-11-12,18.026765289577106,59.34564119030809,"{'vivi6', 'fiammengo', 'zhohuo', 'mikkni', 'mitrasomak', 'tiboy', 'behnambanan', 'tiabilly', 'spritelala', 'rouget', 'olyaei', 'ogus', 'littlemooncake', 'athom', 'rok1986', 'mariaana', 'osso', 'chensi', 'pankaj_kvhld', 'neo781017', 'srinivasan1984', 'cmalric', 'aminkhan', 'stahel'}","{'130.237.22.173', '130.237.7.170', '217.151.195.214', '213.100.41.223', '130.237.6.178', '213.100.22.142', '89.253.80.184', '213.100.61.183', '213.64.232.16', '130.237.251.200', '130.237.250.34', '130.237.19.38', '130.237.2.233', '130.237.21.183', '130.237.250.154', '87.227.23.114', '87.96.175.4', '130.237.22.228', '213.89.16.251', '77.238.39.250', '213.100.48.57', '213.113.64.7', '90.233.197.128', '130.237.250.50', '80.216.88.246', '130.237.20.94', '130.237.19.73', '130.237.2.16', '85.224.212.82'}"
8,2009-11-16,2009-11-25,18.045431577012454,59.344192008462414,"{'vivi6', 'fiammengo', 'emibac', 'zhohuo', 'mikkni', 'mingyu', 'mitrasomak', 'tiboy', 'behnambanan', 'tiabilly', 'spritelala', 'rouget', 'ogus', 'gbal', 'littlemooncake', 'athom', 'exampleoma', 'rok1986', 'osso', 'chensi', 'pankaj_kvhld', 'neo781017', 'moeen84', 'cmalric', 'aminkhan', 'stahel'}","{'130.237.7.97', '213.100.38.77', '213.64.232.16', '130.237.7.225', '213.100.22.49', '87.227.23.114', '130.237.22.228', '130.237.22.73', '80.216.69.22', '130.237.18.8', '130.237.6.29', '87.96.185.253', '213.114.147.201', '213.100.22.92', '130.237.22.173', '213.100.138.227', '87.96.175.217', '80.216.70.81', '213.113.65.127', '213.100.41.223', '130.237.6.208', '89.253.80.184', '213.100.61.183', '130.237.22.209', '130.237.20.25', '213.100.48.57', '130.237.7.192', '213.100.18.182', '130.237.251.77', '213.100.138.212'}"
9,2009-12-05,2009-12-11,-86.91653279648185,40.428339631495675,"{'saxep01', 'obernada', 'cdelker', 'jakho', 'tseyulin', 'mmakowsk', 'mfoxe', 'cocker867', 'shelmi', 'deseal', 'ashokv', 'kmcmulle', 'schoday', 'wlpierret', 'jeem9', 'park249', 'jainrajat11', 'dswood'}","{'128.46.220.128', '128.46.68.5', '128.211.201.169', '128.46.209.134', '128.46.209.62', '128.46.221.113', '128.46.88.57', '128.211.172.240', '128.211.201.209', '128.210.124.54', '128.46.121.76', '98.223.231.211', '128.46.221.250', '128.211.251.143', '128.46.111.216', '128.211.168.215', '72.12.195.90', '128.46.200.53'}"
10,2009-12-16,2009-12-18,-86.91470336914062,40.42509841918945,"{'cocker867', 'mwkhan', 'obernada', 'serekson', 'mmakowsk', 'lee251'}","{'128.210.17.160', '128.46.121.142', '128.46.88.57', '128.210.26.61', '128.46.209.64', '128.211.161.130'}"
