user,class_id,parti_rate
ianyanga,0,1.0
kaushiknandan2003,0,1.0
ocampor5,0,1.0
lso_093,0,1.0
ee453student,0,1.0
wolvert9,0,1.0
unlvengineerj,0,1.0
manuelr3,0,1.0
swinney2,0,1.0
ghimirea,0,1.0
m18091990,0,1.0
kateyhoff18,0,1.0
mookherj,0,1.0
insanaf,0,1.0
andy2cool4school,0,1.0
nikoo5,1,1.0
sebadeli,1,1.0
rodrigo_103,1,1.0
chv_matt,1,1.0
jordysp,1,1.0
spazos,1,1.0
chanss,2,0.5
celene23,2,0.5
danielr.ullo,2,0.5
jairoa.suac,2,0.5
santiaguillo,2,1.0
paula.lamprea,2,1.0
andressua,2,0.5
leiverj.martinezl,2,0.5
wall,2,0.5
juan93andres,2,1.0
dianamzuletar,2,0.5
cri5ne,2,0.5
cristianmvillamil,2,0.5
anmavaro,2,0.5
kevyblock,3,0.2857142857142857
abhijith,3,0.7142857142857143
ssayed,3,0.5714285714285714
kaimiao,3,0.7142857142857143
lzentner,3,0.14285714285714285
yang729,3,0.7142857142857143
saima,3,0.14285714285714285
tarekameen,3,0.42857142857142855
bchan11,3,0.5714285714285714
mbratton,3,0.5714285714285714
jin52,3,0.14285714285714285
mshirazi,3,0.8571428571428571
zuoanwuwu,3,0.5714285714285714
yitsehung,3,0.42857142857142855
raul19900829,3,0.42857142857142855
ewitkosk,3,0.5714285714285714
meichin,3,0.8571428571428571
sebrahim,3,0.7142857142857143
ahzeeper,3,0.7142857142857143
r.asadpour,3,0.8571428571428571
iwillzuu,4,0.125
armunoz,4,0.0625
sapman,4,0.0625
thomas901,4,0.625
camackay,4,0.0625
kdtyler1,4,0.125
hallchenhust,4,0.0625
sgares,4,0.375
tpharmon,4,0.375
mgjaggers,4,0.0625
ferry,4,0.3125
rgowin,4,0.625
white111,4,0.0625
acemind,4,0.6875
abdul529,4,0.0625
nzorob,4,0.6875
hcm386,4,0.125
chrith,4,0.625
fernando,4,0.25
bahammon,4,0.6875
thvincent200690,4,0.0625
ajh930,4,0.0625
holmano,4,0.0625
ejsanch2,4,0.3125
msouzaon,4,0.625
ebaldwin25,4,0.625
treblitz,4,0.0625
bmkral,4,0.5
kansan67,4,0.0625
jeremy5756,4,0.6875
xxbrucexx,4,0.5
akkisubhu061,4,0.125
fendraki,4,0.75
raypropoggio,4,0.625
vasileska,4,0.0625
bonecrusher,4,0.0625
jyliu4,4,0.625
kkawabat,4,0.625
rjfarrer,4,0.5625
sgolwalkar,4,0.1875
bpravong,4,0.4375
rpraneeth06,4,0.125
subinkim,4,0.0625
karthikeya.2009,4,0.0625
andrew.herschfelt,4,0.625
mamircha,4,0.625
elizabethbesenyei,4,0.75
jdcox10,4,0.625
pryan02,4,0.6875
akstempl10,4,0.0625
talam,4,0.6875
nmistry1,4,0.75
mpdinan,4,0.125
aesquivias,4,0.6875
space1008,4,0.3125
dyyoon,4,0.5625
shizhisha,4,0.125
zjufennizhang,4,0.625
chrissuchomski,4,0.6875
tklu1,4,0.75
cfarnsw2,4,0.625
jcm2006,4,0.5625
harshjain2691,4,0.0625
rohitmusalay009,4,0.0625
nhorvat1,4,0.125
csusanto,4,0.5
ealfalas,4,0.75
jerry.chau,4,0.625
mohad1993,4,0.6875
jjhibben,4,0.6875
nmspirak,4,0.0625
ahornbuckle0930,4,0.5
gxinchen,4,0.0625
toshiyanka36,4,0.0625
tim.amundsen,4,0.0625
chrismay,4,0.0625
matt.flores17,4,0.6875
kan.kawabata,4,0.0625
ntapia720,4,0.6875
joel.g.wright,4,0.0625
chenliangdu,4,0.0625
justraghu,5,1.0
geethanand.n,5,0.5
ravikanth.katti,5,1.0
pramodr91,5,1.0
dhanya.bharadhwaj,5,1.0
vinaysridhar,5,0.5
shrugatade,5,1.0
ragunaik.ec,5,0.5
sekharguru257,5,0.5
kirankmr199,5,1.0
teju.raman.39,5,0.5
bhuvancind,5,1.0
mahammad.gous.s,5,0.5
praveenjnvh,5,0.5
ravim0288,5,0.5
an.aravind.014,5,0.5
ravikanthpamidi,5,0.5
john5049,6,1.0
kparsons,6,1.0
dturmel3,6,1.0
mizell.zakery,6,1.0
cindy.chen,6,1.0
kcook39,6,1.0
suacide24,6,1.0
philip.gordon,6,1.0
jkting3,6,1.0
kfrancis91,6,1.0
lchen375,6,1.0
rndzz,6,1.0
hunter.brooks.374,6,1.0
jyoungblood87,6,1.0
jamespelder3,6,1.0
rosawa,6,1.0
lordxiaogg,6,1.0
arefinhaque22,6,1.0
abubakr1992,6,1.0
rheindt.sven,6,1.0
rhej3,6,1.0
ahaque30,6,1.0
rliou92,6,1.0
drfilled,6,1.0
richardemail007,6,1.0
williamgauspohl,6,1.0
henrynicole57,6,1.0
ateet101,6,1.0
kylekug,6,1.0
awest32,6,1.0
dinahany52,7,1.0
mohamed.eleraky,7,1.0
hassan.m.ahmed93,7,1.0
waelazzam54,7,1.0
omnia12347,7,1.0
afengasu,7,1.0
asmaa.mostafa.581,7,1.0
loala_92,7,1.0
mohamedfarid,7,1.0
isk.ibm,7,1.0
motazfahmy,7,1.0
isaac_ibm,7,1.0
