toolname,class_id
0,0
0,1
1,1
2,2
0,3
1,3
2,3
3,3
4,3
5,3
4,4
6,4
0,5
1,5
5,5
9,5
0,6
1,6
2,6
3,6
4,6
6,6
7,7
8,8
12,8
9,9
3,9
13,9
1,9
10,10
11,11
14,12
0,13
15,13
16,14
2,15
3,15
4,15
7,15
8,15
17,15
18,16
1,17
3,17
4,17
5,17
6,17
9,17
14,17
19,17
20,18
27,19
21,19
2,20
3,20
22,20
23,21
2,22
5,22
6,22
9,22
24,22
25,23
26,24
14,24
28,25
30,25
29,26
3,27
31,27
0,28
1,28
2,28
3,28
6,28
8,28
11,28
0,29
0,30
1,30
2,30
3,30
0,31
1,31
2,31
3,31
4,31
5,31
6,31
7,31
13,31
0,32
1,32
0,33
1,34
2,35
4,35
0,36
3,36
4,37
5,38
6,39
7,40
8,41
9,42
10,43
2,44
11,44
12,45
4,46
13,46
14,47
8,48
7,48
6,48
15,48
16,49
0,50
2,50
5,50
1,51
4,52
5,52
6,52
0,53
1,53
2,53
3,53
5,53
6,53
9,53
10,53
2,54
4,54
3,55
1,56
0,57
7,57
8,58
0,59
10,59
4,59
13,59
1,60
11,60
3,61
12,61
2,62
13,62
0,63
1,63
3,63
1,64
2,64
3,64
5,64
10,65
3,65
4,65
12,65
1,66
2,66
0,67
0,68
8,68
2,68
1,68
0,69
2,70
4,71
1,72
3,72
4,72
5,72
20,72
6,73
7,74
8,75
5,75
0,76
1,76
2,76
3,76
0,77
0,78
1,78
2,78
4,78
7,78
10,78
3,79
6,79
7,79
1,80
3,81
1,82
7,82
0,83
3,83
2,84
4,85
5,86
0,87
2,88
5,88
3,89
2,90
3,90
5,90
5,91
9,92
0,93
1,93
0,94
2,95
0,96
0,97
0,98
0,99
0,100
1,100
0,101
1,101
2,101
3,102
5,102
4,103
0,104
0,105
1,105
2,106
0,107
1,108
8,109
2,109
4,110
6,110
8,111
5,111
7,112
0,113
0,114
1,114
0,115
0,116
1,117
3,117
14,117
15,117
1,118
11,118
3,119
4,120
12,120
5,121
7,121
6,122
8,123
11,123
9,124
10,125
1,126
2,127
3,128
2,129
5,129
6,129
10,130
11,131
12,132
13,133
0,134
0,135
1,135
2,136
0,137
6,138
1,139
2,139
11,139
7,139
9,140
0,141
1,141
5,142
1,143
0,144
1,144
3,144
6,145
0,146
1,146
5,146
2,147
3,148
0,149
1,150
0,151
0,152
3,152
1,153
2,154
0,155
1,156
2,156
3,156
0,157
1,158
2,159
0,160
1,161
2,162
3,163
8,164
12,165
16,166
13,166
15,167
17,168
18,169
19,170
21,171
22,172
23,173
0,174
1,175
2,176
4,176
3,177
4,178
6,179
5,180
7,180
0,181
1,181
2,182
3,183
6,184
0,185
3,185
4,185
1,186
8,187
2,187
9,188
10,189
11,190
12,191
1,192
3,193
0,194
0,195
1,196
0,197
1,198
2,198
1,199
2,200
1,201
0,202
0,203
0,204
1,205
2,206
3,207
4,208
5,209
7,210
0,211
0,212
0,213
