class_id,start,end,lon,lat,size,ip_set
0,2006-11-20,2006-11-24,-74.06169891357422,4.6493000984191895,6,"[{'157.253.49.31', '157.253.5.149', '157.253.14.153', '157.253.14.119', '157.253.14.154', '157.253.73.68'}
 {'157.253.49.31', '157.253.14.114', '157.253.14.153', '157.253.14.119', '157.253.14.154', '157.253.14.118'}]"
1,2006-11-10,2006-11-14,-97.8219985961914,37.750999450683594,7,"[{'140.221.141.112', '140.221.132.239', '140.221.244.216', '140.221.136.141', '140.221.132.217', '140.221.236.222'}
 {'140.221.133.209', '140.221.141.112', '140.221.132.239', '140.221.244.216', '140.221.132.217', '140.221.236.222'}
 {'140.221.133.209', '140.221.132.239', '140.221.244.216', '140.221.141.83', '140.221.132.217', '140.221.236.222'}]"
2,2006-11-12,2006-12-13,127.03770637512207,37.57644176483154,9,"[{'210.125.178.170', '210.125.178.93', '210.125.178.29', '210.125.178.25', '210.125.178.113'}
 {'218.237.217.83', '210.125.177.46', '210.125.177.77', '210.125.177.99', '210.125.184.82', '210.125.177.146'}]"
3,2006-11-16,2006-11-20,-76.27290344238281,36.85919952392578,8,[{'199.111.125.71'} {'199.111.125.71'}]
4,2006-07-15,2006-07-22,-87.08137434849444,30.921296970327237,17,"[{'68.63.61.49', '69.85.217.244', '69.85.217.236', '68.63.59.168', '68.63.60.104', '69.85.217.230', '68.63.58.235', '68.63.60.175', '69.85.217.252', '68.63.60.173', '68.63.59.180', '69.85.217.241'}]"
5,2006-11-30,2006-11-30,18.017133076985676,59.346632639567055,6,"[{'81.229.68.155', '130.237.251.73', '213.101.208.52', '192.16.126.216', '85.226.138.152', '192.16.126.206'}]"
6,2006-08-09,2006-08-13,-97.8219985961914,37.750999450683594,20,"[{'141.142.251.134', '216.154.205.203', '141.142.211.49', '141.142.211.60', '141.142.210.34', '141.142.211.44', '141.142.251.156', '141.142.210.32', '141.142.211.43', '141.142.251.55', '141.142.211.45', '141.142.250.127', '141.142.211.54', '141.142.251.71', '141.142.211.55', '141.142.251.47', '141.142.251.143', '141.142.211.46', '141.142.211.53', '141.142.250.172'}]"
7,2006-09-23,2006-12-13,-86.91470336914062,40.42509841918945,20,"[{'128.211.179.197', '128.211.251.47', '128.46.94.18', '128.211.178.199', '128.211.180.175', '128.46.207.241', '128.46.207.186', '128.46.207.242', '128.46.220.214', '128.211.252.153', '128.46.207.243', '128.46.207.36', '128.211.203.157', '128.46.207.219', '128.211.178.205', '128.46.98.154'}
 {'128.46.209.124', '128.211.178.26', '128.46.207.184', '128.46.207.19', '128.211.178.166', '128.46.94.18', '128.211.179.70', '128.46.190.6', '128.46.207.144', '128.210.192.207', '128.210.180.144', '128.46.207.25', '128.211.252.210', '128.46.207.103', '128.211.203.157', '128.46.98.154'}]"
8,2006-11-25,2006-12-02,-86.91470336914062,40.42509841918945,60,"[{'128.46.207.235', '128.46.207.184', '128.46.207.236', '128.46.207.189', '128.46.207.234', '128.46.207.238', '128.46.207.169', '128.210.40.242', '128.46.207.191', '128.211.179.208', '128.46.207.153', '128.211.207.143', '128.46.207.190', '128.210.40.52', '128.46.207.183', '128.210.38.42', '128.46.207.231', '128.46.207.151', '128.211.205.60', '128.46.207.186', '128.46.207.187', '128.46.207.192', '128.46.207.185', '128.46.207.237', '128.46.207.232'}]"
9,2006-08-26,2006-09-01,-116.25207835988593,43.46801196363636,11,"[{'132.178.122.97', '132.178.125.128', '132.178.126.111', '132.178.126.42', '132.178.122.151', '132.178.124.204', '132.178.122.206', '132.178.127.32'}
 {'132.178.127.14', '132.178.127.177', '65.101.79.234', '132.178.122.97', '132.178.123.139', '132.178.126.111', '132.178.173.130', '132.178.124.204', '132.178.122.206', '132.178.250.231'}]"
