toolname,class_id
0,0
1,1
0,2
1,2
4,2
1,3
0,4
1,4
2,4
3,4
3,5
0,6
1,6
2,6
3,6
4,6
6,6
9,6
2,7
5,7
0,8
1,8
3,8
4,8
5,8
6,8
0,9
1,9
2,9
5,9
7,9
8,9
10,9
10,10
0,11
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
0,13
1,13
2,13
6,13
2,14
4,15
5,15
6,15
9,15
11,15
7,16
8,17
1,17
3,17
10,18
2,18
0,19
5,19
0,20
1,21
2,21
3,21
0,22
1,23
8,24
1,24
4,24
0,25
2,25
7,25
9,26
2,26
3,26
3,27
4,27
0,28
1,29
3,30
0,31
1,32
2,33
0,34
1,35
3,36
1,37
2,38
0,39
0,40
1,41
2,41
5,41
0,42
4,42
6,42
1,43
4,43
6,44
0,45
1,45
3,46
4,46
0,47
1,47
2,47
3,47
7,47
1,48
1,49
2,50
4,51
0,52
0,53
1,53
2,53
4,53
5,53
6,53
0,54
1,54
2,54
4,54
3,55
0,56
8,56
2,56
3,57
1,58
2,58
0,59
1,59
2,59
0,60
7,61
9,62
11,62
12,63
13,64
14,65
0,66
1,67
0,68
1,69
0,70
0,71
2,72
0,73
0,74
1,75
2,76
3,77
4,78
5,79
0,80
1,80
3,80
