tool,start,end,mean_lon,mean_lat,user_set,ip_set
0,2015-03-10,2015-03-26,-86.78854533017648,36.155704358314814,"{'jaykrav', 'jimmythekid', 'mhhostetler', 'hurtrs', 'muhannad.abumilhah', 'hannahturnbull', 'valentjg', 'nabhell', 'd.martin.159', 'aliasa', 'wan.m.wan.mohamad.zakari', 'denniscolbert12', 'wprieb', 'hurdok', 'brianwinokan', 'matt.kelley.77715', 'adam.rubinsky', 'korrmuffin', 'wannajmie94', 'kovandbl', 'ilmanziat15', 'jordanztodd', 'sayanakjadilegend', 'akmal.wahid.7', 'binhtd93', 'gw014425', 'geisreme', 'wolfele', 'sthorson', 'mcneiljg', 'moose_the_vast', 'fifiebaek777', 'pvallima', 'ganizs', 'bh29', 'tsmolen', 'tubbyocharles', 'morloff21', 'sean.m.cartwright', 'kmusto', 'thynkbig', 'chrisnash3', 'sherafaira986', 'clay.harrell', 'cchorens', 'tinninfs', 'dshane28', 'john.j.hayes', 'ben.behseresht', 'langston', 'b3dinc', 'kurtrosolowsky', 'aronskind', 'schaubend', 'jverdin30', 'sgrichnik', 'ivan.c.biggs', 'rob.rutherford2', 'ben.whittle.37', 'davidhirsch1994', 'bjmac12', 'mullere', 'matthew.s.armstrong', 'grollkt', 'podolawe', 'jgibbons12', 'gavin0802', 'zander.vartanian', 'emmakate11', 'apih.azmi', 'adamlevinson94', 'asmatnal', 'jaimevest'}","{'129.59.122.59', '129.59.122.18', '129.59.122.10', '129.59.122.23', '76.122.233.211', '129.59.122.17', '129.59.122.16', '129.59.115.13', '129.59.122.57', '129.59.122.15', '129.59.122.51', '129.59.122.13', '129.59.122.14', '129.59.122.55', '129.59.122.12', '129.59.78.92', '129.59.122.56', '129.59.122.24', '129.59.122.58', '129.59.70.209', '129.59.122.50', '68.52.167.17', '129.59.122.54', '129.59.122.63', '129.59.122.60', '129.59.79.208', '129.59.122.19', '129.59.70.235', '129.59.70.230', '129.59.122.21', '129.59.115.15', '129.59.122.20', '129.59.34.96', '129.59.122.22', '68.52.179.200', '129.59.122.53', '107.3.249.6', '23.124.182.133'}"
1,2015-04-20,2015-04-23,-86.79199981689453,36.1515007019043,"{'hurtrs', 'morloff21', 'sean.m.cartwright', 'kmusto', 'davidhirsch1994', 'bjmac12', 'wolfele', 'nabhell', 'grollkt', 'd.martin.159', 'sthorson', 'tinninfs', 'hurdok', 'dshane28', 'adamlevinson94', 'matt.kelley.77715'}","{'129.59.34.107', '129.59.115.3', '129.59.122.63', '129.59.122.54', '129.59.122.11', '129.59.122.23', '129.59.122.17', '129.59.122.52', '129.59.122.21', '129.59.122.15', '129.59.122.22', '129.59.122.13'}"
0,2015-02-16,2015-02-26,-74.09205144640688,4.646155535116638,"{'carlosalejo979', 'maleja95', 'angiek.foreroe', 'edwinf.sarriar', 'patriciae.navarrop', 'monicavelasquez140', 'karenr.torresm', 'marialesalamanca94', 'juan93andres', 'sebastianam', 'sebas1501', 'jeissonj.loaizam', 'larrottanatalia', 'dianamg', 'waltercruz', 'mariae.rueda.718', 'darwindubay', 'javierchurtadov', 'gisselle.ramos.21', 'lufecobe', 'josesusatama', 'stefy.barrero', 'lucy.bernarodriguez', 'mariap.diazc', 'leon241254', 'prmjuan'}","{'190.242.127.190', '190.131.198.153', '186.82.134.89', '190.131.197.129', '179.33.107.117', '181.60.157.153', '186.85.226.56', '200.69.103.254', '190.159.238.134', '190.26.187.81', '190.131.198.2', '201.216.29.126', '190.252.41.83', '186.145.246.253'}"
1,2015-03-13,2015-03-27,31.256471854831247,30.04583997743808,"{'halafadl94', 'amremad', 'hodashadi', 'asmaamohamed94', 'binospop', 'nadinehelmy1', 'abdelsalamadel', 'na3na3333', 'safeddin', 'mostafa.kamel.8989', 'magedaziz2011', 'vanavinoo', 'dinatarek', 'rana_karem', 'ahmedcoolman', '3omariotareq', 'ayam.alaa', 'ramsiscomm2014', 'omnia', 'jocian.jemy', 'sara.hanafy.752', 'menna.khaled.925', 'amgad.fekry.3', 'shahira.mohamed.22', 'ahmedelswify', 'ali.elmaraghy.7', 'sammikhail', 'carket23'}","{'197.133.47.124', '197.135.46.162', '41.129.192.92', '41.218.167.0', '197.35.121.191', '41.130.51.8', '41.46.49.26', '197.134.127.220', '45.96.139.71', '197.162.83.132', '197.162.72.204', '197.39.105.172', '41.218.162.42', '41.130.212.80', '217.55.129.221', '41.218.189.116', '197.163.2.116', '105.194.53.93', '41.47.164.199', '197.161.53.126', '105.42.213.231', '41.69.104.133', '105.32.45.15', '41.237.182.55', '41.237.83.229', '197.39.8.165', '197.163.37.200', '197.162.18.45', '41.237.99.5', '197.162.13.69', '41.69.133.163', '217.55.205.115', '41.199.134.90', '41.218.167.241', '197.135.132.54', '197.35.230.164', '197.163.3.153', '197.35.71.206', '197.162.28.5'}"
2,2015-03-17,2015-03-21,-5.978899955749512,37.383399963378906,"{'tammurvil', 'davlopcar1', 'blanco02', 'anajacval', 'lurodri93'}","{'150.214.142.96', '150.214.9.249', '150.214.9.248'}"
3,2015-03-24,2015-03-27,2.142293923940414,41.4698789914449,"{'anna1494', 'alexistellovalero', 'derverwuenschte', 'ritasalavert9', 'raul.4.bcn', 'david.schmelz.1', 'timoneda1'}","{'158.109.31.1', '81.61.128.219', '37.14.128.54', '80.30.35.124', '95.23.249.93', '88.16.249.88', '158.109.94.33'}"
4,2015-04-06,2015-04-17,-115.13000889915448,36.10991384519522,"{'unlvengineerj', 'huangj19', 'workuy', 'hoyuelaa', 'starksa4', 'degracia', 'bertas', 'solanos3', 'kaidazan', 'rasmus20', 'guevaral', 'sharifs', 'leungs', 'mookherj', 'alv7n', 'mezam11', 'ocampor5', 'lih12', 'maciasc4', 'alyson305'}","{'70.173.101.160', '70.170.17.185', '70.173.190.239', '131.216.14.19', '68.104.48.208', '131.216.14.3', '70.170.24.118', '72.193.207.247', '131.216.14.18', '24.234.69.196', '131.216.14.4', '98.167.49.39', '72.193.189.189', '131.216.19.3', '131.216.163.80', '131.216.19.4', '131.216.14.2', '68.227.33.176', '131.216.14.20', '72.193.208.142', '131.216.19.54', '76.0.246.85'}"
5,2015-04-13,2015-04-17,18.03044264657157,59.31825692313058,"{'hasanphy88', 'alaskalany', 'prevosti', 'wilhelm.piao.3', 'wilhelmpiao', 'lauraz', 'aamirh.kth'}","{'213.113.64.249', '130.229.131.1', '130.229.163.215', '213.113.64.131', '130.229.141.234', '130.229.146.216', '130.229.144.169'}"
6,2015-04-19,2015-04-24,-115.14276914615142,36.12648750719975,"{'unlvengineerj', 'm18091990', 'workuy', 'jkdeboy', 'hoyuelaa', 'nimo', 'guevaral', 'rasmus20', 'sharifs', 'mookherj', 'villalb5', 'alv7n', 'alyson305'}","{'70.170.17.185', '68.104.48.208', '131.216.14.3', '131.216.19.53', '131.216.14.18', '24.234.69.196', '131.216.14.4', '131.216.14.2', '70.189.132.139', '68.224.8.27', '131.216.19.54', '98.160.251.250'}"
7,2015-04-20,2015-04-29,18.026528806989464,59.36879090100597,"{'sumitm', 'matheus1618', 'prevosti', 'sihuic35', 'wilhelmpiao', 'aamirh.kth', 'louis.ng.5015', 'anhphm', 'hasanphy88', 'alaskalany', 'hfrancon', 'andsmi', 'lixiang12', 'jespersr'}","{'130.237.22.155', '130.229.133.137', '130.229.174.174', '130.229.164.179', '130.229.155.127', '31.208.56.215', '130.229.177.92', '130.229.146.222', '130.229.131.38', '213.113.65.177', '130.229.172.47', '80.217.156.92', '77.53.1.85', '81.227.47.195', '85.227.231.99'}"
