toolname,class_id
0,0
0,1
0,2
1,3
8,4
2,4
3,5
2,6
4,6
3,7
4,7
5,7
6,7
13,7
14,7
15,7
0,8
1,8
0,9
1,9
2,9
3,9
4,9
0,10
0,11
4,11
1,12
0,13
1,13
6,13
2,14
0,15
0,16
1,16
0,17
1,17
1,18
2,19
4,19
6,19
7,19
13,19
0,20
2,20
3,20
4,20
1,21
2,21
3,21
4,21
5,21
0,22
10,22
13,22
5,22
0,23
1,24
2,24
3,25
0,26
1,26
0,27
1,28
0,29
1,29
0,30
0,31
1,31
1,32
2,33
3,33
5,33
6,33
11,33
12,33
3,34
7,35
0,36
9,36
11,36
1,36
10,37
1,38
11,38
7,38
12,39
0,40
0,41
1,41
2,41
3,42
4,43
5,44
2,45
4,45
6,45
7,46
8,47
9,48
10,49
11,50
8,51
2,51
12,51
6,51
13,52
14,53
15,54
16,55
0,56
1,56
2,56
3,56
0,57
1,57
2,57
3,57
5,57
6,57
7,57
9,57
10,57
4,58
8,59
11,59
0,60
9,61
2,61
3,62
4,63
1,64
5,64
0,65
6,65
0,66
1,67
3,68
4,69
5,69
5,70
6,70
7,70
0,71
1,71
2,71
3,71
4,71
5,71
7,71
8,71
9,71
1,72
0,73
1,73
2,73
3,73
5,73
1,74
0,75
1,76
15,76
0,77
0,78
2,78
1,79
8,80
1,81
2,81
2,82
3,83
0,84
1,84
4,84
1,85
2,85
3,85
14,85
16,85
3,86
15,86
0,87
4,88
0,89
1,89
2,90
3,90
6,90
5,91
7,92
0,93
1,94
3,94
0,95
1,95
2,96
3,96
4,97
0,98
8,98
0,99
2,100
0,101
1,102
0,103
0,104
1,104
2,105
3,106
4,107
5,108
1,109
0,110
2,110
1,111
3,111
7,111
9,111
10,111
11,111
0,112
9,113
6,113
7,114
8,115
10,116
12,117
16,118
14,118
15,119
17,120
18,121
0,122
2,123
3,123
0,124
0,125
1,125
0,126
0,127
1,128
2,129
3,130
5,131
8,132
3,133
5,134
1,135
3,135
6,135
1,136
2,137
1,138
2,138
0,139
0,140
4,141
6,141
10,141
11,141
13,141
14,141
7,142
8,143
12,143
0,144
1,145
2,145
0,146
1,147
2,147
0,148
1,149
3,150
4,151
0,152
1,152
2,152
3,152
4,152
5,152
6,152
7,152
9,152
10,152
11,152
12,152
15,152
16,152
17,152
13,153
14,153
