user,tool,start,end,ip,lon,lat,cluster,scanned_date,user_meet_class_size_min,DBSCAN
aisyahareena,1dfdmht,2016-03-15,2016-03-19,129.59.122.19,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
azfarhadee,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
connor,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
enochsjd,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
fabianchibuzor,1dfdmht,2016-03-15,2016-03-19,129.59.122.18,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
fieldsmb,1dfdmht,2016-03-15,2016-03-19,129.59.122.22,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
flurphurpadur,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
gw014425,1dfdmht,2016-03-14,2016-03-19,129.59.78.92,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
hboyles13,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
huanz,1dfdmht,2016-03-15,2016-03-19,129.59.122.54,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
izaninn,1dfdmht,2016-03-15,2016-03-19,129.59.122.20,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
malonemk,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
matradmz,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
mchlglllnd,1dfdmht,2016-03-15,2016-03-19,129.59.122.14,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
mdridzka,1dfdmht,2016-03-15,2016-03-19,129.59.122.51,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
mohamadhafiz43,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
pralhlad.arumugam,1dfdmht,2016-03-14,2016-03-19,129.59.122.52,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
reneeneel,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
ricardoherrerac,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
taylor.a.gutierrez,1dfdmht,2016-03-15,2016-03-19,129.59.122.24,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
trenton_is,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
valentjg,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
villattj,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
zokrins,1dfdmht,2016-03-15,2016-03-19,129.59.122.24,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
zulkipas,1dfdmht,2016-03-15,2016-03-19,129.59.122.14,-86.79199981689453,36.1515007019043,0,2016-03-15,True,0
aisyahareena,1dfdmht,2016-03-15,2016-03-19,129.59.122.19,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
azfarhadee,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
connor,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
enochsjd,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
fabianchibuzor,1dfdmht,2016-03-15,2016-03-19,129.59.122.18,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
fieldsmb,1dfdmht,2016-03-15,2016-03-19,129.59.122.22,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
flurphurpadur,1dfdmht,2016-03-15,2016-03-19,129.59.122.16,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
gw014425,1dfdmht,2016-03-14,2016-03-19,129.59.78.92,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
hboyles13,1dfdmht,2016-03-15,2016-03-19,129.59.122.21,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
huanz,1dfdmht,2016-03-15,2016-03-19,129.59.122.54,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
izaninn,1dfdmht,2016-03-15,2016-03-19,129.59.122.20,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
malonemk,1dfdmht,2016-03-15,2016-03-19,129.59.122.12,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
matradmz,1dfdmht,2016-03-15,2016-03-19,129.59.122.25,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
mchlglllnd,1dfdmht,2016-03-15,2016-03-19,129.59.122.14,-86.79199981689453,36.1515007019043,0,2016-03-16,True,0
