user,class_id,parti_rate
devsweitz,0,1.0
mohamadhafiz43,0,1.0
jastew1011,0,1.0
enochsjd,0,1.0
villattj,0,1.0
andrewvoss8,0,1.0
fieldsmb,0,1.0
pralhlad.arumugam,0,1.0
flurphurpadur,0,1.0
nicholas1robbins,0,1.0
timmyg73,0,1.0
aisyahareena,0,1.0
nikosgotsis,0,1.0
malonemk,0,1.0
htomtom,0,1.0
emribbeck94,0,1.0
buckleah,0,1.0
huanz,0,1.0
beansbp,0,1.0
mdridzka,0,1.0
emily.a.entrekin,0,1.0
mchlglllnd,0,1.0
matradmz,0,1.0
cabelljn2017,0,1.0
th4ht,0,1.0
guitarfx,0,1.0
reneeneel,0,1.0
izaninn,0,1.0
ricardoherrerac,0,1.0
abghapa,0,1.0
tammatrek,0,1.0
ahoofnagle,0,1.0
morcotkg,0,1.0
taylor.s.larsen,0,1.0
azfarhadee,0,1.0
dustin.c.howser,0,1.0
gw014425,0,1.0
maymur8,0,1.0
valentjg,0,1.0
ericsohng,0,1.0
hboyles13,0,1.0
haroldtmcgraw,0,1.0
copeladi,0,1.0
zokrins,0,1.0
alecmyszka,0,1.0
gogators4494,0,1.0
raafeh,0,1.0
ariffima123,0,1.0
trenton_is,0,1.0
bmkyster,0,1.0
zulkipas,0,1.0
connor,0,1.0
fabianchibuzor,0,1.0
shiekhsm,0,1.0
rudmandj,0,1.0
kendyll117,0,1.0
taylor.a.gutierrez,0,1.0
quigleka,0,1.0
jlintoff,0,1.0
dzhrfaqlh,0,1.0
colin.j.ogrady,0,1.0
scullymt,0,1.0
arthur.t.binstein,0,1.0
jonathan.d.hinds,0,1.0
handrade88,1,1.0
backjoonho,1,1.0
majadroyli,1,1.0
pchan,1,1.0
mhlabrecque,1,1.0
arifcangungor,1,1.0
kahadi,1,1.0
sofieberg1,1,1.0
haller.jeff,1,1.0
henning.kaland,1,1.0
mats.est,1,1.0
cquinker,2,0.5
fsevergnini,2,0.75
shen59,2,0.25
ewilson000,2,1.0
sandy8111112004,2,0.5
ksingha,2,0.5
chuanyean,2,0.25
dweinstein0,2,0.75
debnath,2,0.25
xue76,2,1.0
amingcha,2,0.75
vsuresh,2,0.25
allredj,2,0.75
ankitshrm11,2,0.25
johnathanw584,2,0.75
tang96,2,0.25
shah263,2,0.25
roy1,2,0.25
aankit,2,0.5
garg58,2,0.5
etopel,2,1.0
rcerdas,2,0.25
saha11,2,0.75
sun174,2,0.75
rajagopv,2,0.5
skubicjj,2,0.5
allredj,3,1.0
garg58,3,1.0
ksingha,3,1.0
myannell,3,1.0
vsuresh,3,1.0
xtee,3,1.0
dorj_tsek,4,1.0
mugiimogino,4,1.0
ganzo_0306,4,1.0
baasantsereng,4,1.0
dalanbayar,4,1.0
gunsnroses.0219,4,0.5
tsooj_0117,4,1.0
judotuugii,4,0.5
sanchirelbegdorj,4,1.0
slize9995,4,0.5
tgtuugii40,4,1.0
ggtulga0744,4,1.0
baasantseren11,4,1.0
dulguun,4,1.0
ch.byambaochir,4,1.0
misheeldorj,4,1.0
baasanceren,4,1.0
by.gerelmaa,4,1.0
bil_marbel,4,0.5
ggtulga4464,4,0.5
ssodoo13,4,1.0
cleomaloos,5,1.0
hrykaens,5,1.0
bjornchristensen,5,1.0
robinhood15031503,5,1.0
marcofratus,5,1.0
nehr1991,5,1.0
tianheran,5,1.0
bellmanz,5,1.0
monibanwar,5,1.0
daiki.k.1211.graupel,5,1.0
makku82,5,1.0
theodorakarin,5,1.0
pramod.kilu,5,1.0
saurav.puri,5,1.0
sam.sum41,5,1.0
matheus1618,5,1.0
anahitakagti,6,0.5
mchu5,6,0.5
jxiong7,6,1.0
bridgette.lafaye,6,1.0
xlz.287,6,1.0
chunxu2,6,0.5
harrisian84,6,1.0
jeoneil6,6,1.0
andi950926,6,0.5
mbmoy2,6,1.0
zohair2,6,0.5
emilyturner,6,0.5
dsch33,6,1.0
siyi.xu.180,6,0.5
zjcszzl0615,6,0.5
adbrown3,6,1.0
hugo17.wang,6,1.0
lafaye2,6,0.5
a.schleife,6,1.0
ychu18,6,1.0
jinpeng.zhuo,6,1.0
teng10,6,1.0
cnlopes12,6,1.0
snzhang371,6,0.5
jylin4,6,1.0
ecyoung,6,1.0
samsrajer,6,1.0
warpins2,6,0.5
hhardin2,6,0.5
zhoffm,6,1.0
ndunlap2,6,1.0
hsheng3,6,1.0
mingxu1128,6,0.5
bjanice2,6,0.5
trgordo2,6,0.5
buhl2,6,1.0
zachary.zhai.1,6,1.0
qiujiezhao1994,6,1.0
kemehan654,6,1.0
fsalman2,6,0.5
cwojtan,6,1.0
shoppe3,6,0.5
shenxinrusue,6,0.5
