user,ip,toolname,date,lon,lat
cpmit777,125.20.9.236,meep,2016-01-01,77.0,20.0
ancilcleetus,14.139.184.214,ddsolarcell,2016-01-01,77.0,20.0
ancilcleetus,14.139.184.214,opt,2016-01-01,77.0,20.0
cpmit777,125.20.9.236,mpb,2016-01-01,77.0,20.0
subimal,111.93.30.66,dftqe,2016-01-01,83.20159912109375,17.680099487304688
subimal,111.93.30.66,orcatool,2016-01-01,83.20159912109375,17.680099487304688
subimal,111.93.30.66,nmst_dft,2016-01-01,83.20159912109375,17.680099487304688
engr.nadeemqaiser,143.248.168.20,ccamt,2016-01-01,127.4197006225586,36.3213996887207
engr.nadeemqaiser,143.248.168.20,mdsim,2016-01-01,127.4197006225586,36.3213996887207
babaknik1905,71.191.132.220,ddaplus,2016-01-01,-77.19180297851562,39.03969955444336
engr.nadeemqaiser,143.248.168.20,mmst,2016-01-01,127.4197006225586,36.3213996887207
engr.nadeemqaiser,143.248.168.20,siesta,2016-01-01,127.4197006225586,36.3213996887207
hctest1,128.46.19.208,workspace,2016-01-01,-86.91470336914062,40.42509841918945
dftmaterials,197.117.50.216,dftqe,2016-01-01,1.8111000061035156,35.6077995300293
bluerose,197.35.155.223,pntoy,2016-01-01,31.285200119018555,30.077800750732422
kkghosh,27.49.41.159,vides,2016-01-01,77.0,20.0
hctest2,128.46.19.208,workspace,2016-01-01,-86.91470336914062,40.42509841918945
falsejari3,37.231.191.44,spinprecession,2016-01-01,47.9827995300293,29.36590003967285
ankurgarg151,14.139.234.178,vides,2016-01-01,76.78839874267578,30.736299514770508
swapnalimakdey25,122.15.201.20,mtjlab,2016-01-01,74.01519775390625,15.403400421142578
vandy087,122.15.201.20,cvgraph,2016-01-01,74.01519775390625,15.403400421142578
ancilcleetus,117.211.16.52,deviceelectron,2016-01-01,76.63929748535156,12.297900199890137
josephsafwat,41.36.154.142,pntoy,2016-01-01,31.694799423217773,26.55699920654297
darnok,176.221.125.178,dftqe,2016-01-01,21.03619956970215,52.23939895629883
keka,103.10.208.6,senstran,2016-01-01,77.0,20.0
mreinkehh,85.218.100.46,pntoy,2016-01-01,6.636000156402588,46.51890182495117
ashish123,183.87.254.41,nanofinfet,2016-01-01,72.88259887695312,19.072799682617188
imsaumya.sengupta,8.28.179.166,qdot,2016-01-01,-87.68419647216797,42.05979919433594
enassakr,128.211.249.28,meep,2016-01-01,-86.91470336914062,40.42509841918945
feng55,68.50.254.151,workspace,2016-01-01,-86.12999725341797,39.59920120239258
jeanfrancoisjoly7742,96.23.146.22,minimol,2016-01-01,-71.06670379638672,48.43330001831055
abdoahmed1996,197.36.167.214,pntoy,2016-01-01,31.183700561523438,27.180999755859375
jduritsc95,70.208.214.161,qcrf4photo,2016-01-01,-97.8219985961914,37.750999450683594
batnabiskra2008,105.105.12.76,thermomechcnt,2016-01-01,7.1433000564575195,35.43579864501953
batnabiskra2008,105.105.12.76,vides,2016-01-01,7.1433000564575195,35.43579864501953
batnabiskra2008,105.105.12.76,sugartangcd,2016-01-01,7.1433000564575195,35.43579864501953
jduritsc95,70.208.193.79,qcrf4photo,2016-01-01,-97.8219985961914,37.750999450683594
abirshadman,180.234.69.172,omenhfet,2016-01-01,45.0,25.0
mohamedmeda7,41.239.197.214,pntoy,2016-01-01,31.00189971923828,30.78849983215332
jgharrison,71.14.57.216,nmst_dft,2016-01-01,-86.83480072021484,33.39500045776367
m.samir12345,41.45.23.51,pntoy,2016-01-01,31.285200119018555,30.077800750732422
zekihayran.etu,81.215.10.71,mpb,2016-01-01,32.858001708984375,39.9114990234375
zekihayran.etu,81.215.10.71,perfectabsorber,2016-01-01,32.858001708984375,39.9114990234375
zekihayran.etu,81.215.10.71,meep,2016-01-01,32.858001708984375,39.9114990234375
zekihayran.etu,81.215.10.71,kronig_penney,2016-01-01,32.858001708984375,39.9114990234375
xichen,67.194.228.33,photonicsdb,2016-01-01,-83.70590209960938,42.306800842285156
wentao,101.6.98.22,sbcnfet,2016-01-01,116.38890075683594,39.92879867553711
narendrayadava7,101.212.70.235,aqme,2016-01-01,77.0,20.0
kildisha,174.70.79.199,sha2d,2016-01-01,-82.36060333251953,29.6825008392334
kildisha,174.70.79.199,photonicsdb,2016-01-01,-82.36060333251953,29.6825008392334
kildisha,174.70.79.199,photonicvasefit,2016-01-01,-82.36060333251953,29.6825008392334
meetabhishek14,125.21.19.3,gfettool,2016-01-01,77.02629852294922,28.460100173950195
bertune,46.8.138.170,dftqe,2016-01-02,135.0802001953125,48.48210144042969
bertune,46.8.138.170,uvspec,2016-01-02,135.0802001953125,48.48210144042969
bertune,46.8.138.170,vides,2016-01-02,135.0802001953125,48.48210144042969
wentao,101.6.98.22,vides,2016-01-02,116.38890075683594,39.92879867553711
vapande3006,1.186.41.59,cvgraph,2016-01-02,72.88259887695312,19.072799682617188
som.arnab7,223.223.149.231,adeptnpt,2016-01-02,88.36299896240234,22.562599182128906
zeinab.ali96,41.232.137.196,pntoy,2016-01-02,31.285200119018555,30.077800750732422
hagosphy,213.55.95.158,gnrinterconnect,2016-01-02,38.74919891357422,9.024299621582031
junheena,222.112.99.97,bandstrlab,2016-01-02,126.94709777832031,37.53110122680664
hctest1,128.46.19.208,workspace,2016-01-02,-86.91470336914062,40.42509841918945
hagosphy,213.55.95.158,bulkmc,2016-01-02,38.74919891357422,9.024299621582031
junheena,222.112.99.97,pntoy,2016-01-02,126.94709777832031,37.53110122680664
sunny.nust,39.53.245.116,adeptnpt,2016-01-02,73.08470153808594,31.422000885009766
vandanakhanna,210.7.77.82,atcadlab,2016-01-02,77.0,20.0
ambiti123,39.7.47.213,mesfet,2016-01-02,127.13960266113281,37.43880081176758
shanisi,139.179.135.233,matsimtk,2016-01-02,32.83470153808594,39.9213981628418
wentao,101.6.98.22,qdot,2016-01-02,116.38890075683594,39.92879867553711
debasis356das356,103.21.127.81,mtjlab,2016-01-02,72.88259887695312,19.072799682617188
hctest2,128.46.19.208,workspace,2016-01-02,-86.91470336914062,40.42509841918945
abhijitbnrj2008,117.211.11.29,mosfet,2016-01-02,77.7063980102539,28.979999542236328
soniadzhambazova,82.137.111.154,bowtie,2016-01-02,23.3174991607666,42.68299865722656
muthubalan,14.139.181.229,gfettool,2016-01-02,77.0,20.0
rak999,122.59.114.141,bandstrlab,2016-01-02,174.7678985595703,-36.85060119628906
rashmibhatt27,1.39.63.153,moscap,2016-01-02,77.59369659423828,12.97189998626709
shri2211,110.224.39.78,uvspec,2016-01-02,72.88259887695312,19.072799682617188
abhijitbnrj2008,116.193.142.131,smc,2016-01-02,88.36299896240234,22.562599182128906
abhijitbnrj2008,116.193.142.131,adept,2016-01-02,88.36299896240234,22.562599182128906
zhouxiao19890113,64.229.102.234,ucb_compnano,2016-01-02,-73.93329620361328,45.400001525878906
zhouxiao19890113,64.229.102.234,polymod,2016-01-02,-73.93329620361328,45.400001525878906
abhijitbnrj2008,116.193.142.131,bandstrlab,2016-01-02,88.36299896240234,22.562599182128906
abhijitbnrj2008,116.193.142.131,semi,2016-01-02,88.36299896240234,22.562599182128906
enassakr,128.211.249.28,meep,2016-01-02,-86.91470336914062,40.42509841918945
rupali.patil,182.48.196.5,cvgraph,2016-01-02,72.9635009765625,19.19700050354004
taocave,87.114.213.54,ccamt,2016-01-02,-3.0873000621795654,51.050201416015625
bird168,112.90.151.77,qcrf4photo,2016-01-02,113.25,23.11669921875
ibrahim.m.sadiq,103.9.113.82,nanobiophotsim,2016-01-02,89.29109954833984,24.22960090637207
ibrahim.m.sadiq,103.9.113.82,nanoparticle,2016-01-02,89.29109954833984,24.22960090637207
ibrahim.m.sadiq,103.9.113.82,lantrap,2016-01-02,89.29109954833984,24.22960090637207
ankurgarg151,14.139.234.178,gfettool,2016-01-02,76.78839874267578,30.736299514770508
131dsk,99.25.33.238,qdot,2016-01-02,-122.12539672851562,37.841400146484375
lixilai0819,174.99.4.163,mif,2016-01-02,-78.60150146484375,35.76139831542969
jeanfrancoisjoly7742,96.23.146.22,minimol,2016-01-02,-71.06670379638672,48.43330001831055
neenagilda,103.21.127.81,cvgraph,2016-01-02,72.88259887695312,19.072799682617188
m.samir12345,41.45.25.230,pntoy,2016-01-02,31.800800323486328,30.731599807739258
abdo96ali,197.53.85.21,pntoy,2016-01-02,31.285200119018555,30.077800750732422
photon_ee,174.57.147.76,crystal_viewer,2016-01-02,-74.35900115966797,40.71580123901367
neenagilda,103.21.127.81,sugarcube,2016-01-02,72.88259887695312,19.072799682617188
feng55,68.50.254.151,phononlifetime,2016-01-02,-86.12999725341797,39.59920120239258
hlali.slah,154.107.22.81,schred,2016-01-02,9.0,34.0
neenagilda,103.21.127.81,memscreep,2016-01-02,72.88259887695312,19.072799682617188
youssefelmasry1041996,41.34.139.253,abacus,2016-01-02,30.471599578857422,31.032100677490234
neenagilda,103.21.127.81,sugarnl,2016-01-02,72.88259887695312,19.072799682617188
youssefelmasry1041996,41.34.139.253,pntoy,2016-01-02,30.471599578857422,31.032100677490234
feng55,68.50.254.151,workspace,2016-01-02,-86.12999725341797,39.59920120239258
neenagilda,103.21.127.81,sugar,2016-01-02,72.88259887695312,19.072799682617188
heshamalking36,41.232.131.153,pntoy,2016-01-02,31.285200119018555,30.077800750732422
ramin89,76.186.203.80,s4sim,2016-01-02,-96.681396484375,32.82360076904297
tuloy10,113.11.15.120,nanowire,2016-01-02,90.375,23.700000762939453
tuloy10,113.11.15.120,qdot,2016-01-02,90.375,23.700000762939453
narendrayadava7,101.212.70.235,aqme,2016-01-02,77.0,20.0
hasanrazaadnan,178.62.128.67,vides,2016-01-02,4.94789981842041,52.30059814453125
narendrayadava7,101.212.71.113,deviceelectron,2016-01-02,77.0,20.0
i3sys.leehj,143.248.153.39,1dhetero,2016-01-02,126.9740982055664,37.511199951171875
shri2211,106.221.154.54,ucb_compnano,2016-01-02,77.0,20.0
enassakr,128.211.249.28,meep,2016-01-03,-86.91470336914062,40.42509841918945
raju024,27.131.12.7,bandstrlab,2016-01-03,90.37519836425781,23.758800506591797
raju024,27.131.12.7,adeptnpt,2016-01-03,90.37519836425781,23.758800506591797
shri2211,106.221.154.54,qdot,2016-01-03,77.0,20.0
