user,class_id,parti_rate
srikrishnan,0,0.3
balachanderr886,0,0.1
sarikitejasvi,0,0.1
adarshrag,0,0.7
ravanala.subhashini,0,0.4
bhaskarrao,0,0.7
kummarisubbas18,0,0.2
manijoshich23,0,0.2
sanjupriya.chinnu,0,0.7
pkeerthivasan18,0,0.4
bethapudikarthik128,0,0.4
sannithir18,0,0.4
sk2056473,0,0.4
ganeshp19,0,0.4
degalalokesh,0,0.4
smaran43,0,0.1
mrcharanraja,0,0.3
saicharithguturu9494,0,0.6
jagadheesh,0,0.2
swethavavilla1706,0,0.4
gowthamdevisetty19,0,0.4
sanjuroy,0,0.2
vangapoojitha2001,0,0.2
venkatagirivinay367,0,0.4
lakshmidhar31,0,0.1
gurudineshm19,0,0.5
vedhasriudhayakumar19,0,0.4
beemavarapupraveenkumar17,0,0.4
bvenkatasubbakarthikgupta19,0,0.5
sumithkumar12,0,0.4
sarikitejasvi,1,1.0
beemavarapupraveenkumar17,1,1.0
sanjuroy,1,1.0
sumithkumar12,1,1.0
bethapudikarthik128,1,1.0
parlapallisaitharun16,1,1.0
eswarkumar.kandepi,1,1.0
ganeshp19,2,0.75
degalalokesh,2,0.75
sarikitejasvi,2,0.25
reddytharun2002,2,0.25
saicharithguturu9494,2,0.5
jagadheesh,2,0.5
pavan52522,2,0.25
phanivenkatak18,2,1.0
bvenkatasubbakarthikgupta19,2,0.5
kummarisubbas18,2,0.25
venkatagirivinay367,2,0.75
parlapallisaitharun16,2,0.25
sannithir18,2,1.0
sk2056473,3,0.4
balachanderr886,3,1.0
hafsatabassum,3,1.0
mrcharanraja,3,1.0
saradhasadasivam,3,1.0
saivenugopalnikku19,3,0.2
ashikayas169,3,1.0
karpoorhamza,3,0.6
vasanthn19,3,1.0
soniyamartin,3,0.8
bharathi2001bme,3,1.0
srinandhini,4,1.0
paidipattidinesh17,4,0.3333333333333333
sadhuv18,4,0.3333333333333333
thummalakarthikeyani19,4,0.6666666666666666
parlapallisaitharun16,4,0.3333333333333333
ravanala.subhashini,4,1.0
avulateja18,4,0.3333333333333333
sachinekb19,4,0.3333333333333333
bvenkatasubbakarthikgupta19,4,1.0
krishnasainadh2000,4,0.3333333333333333
padmasreesingamchetty19,4,0.3333333333333333
saquibnawazkhan,4,0.3333333333333333
venkatagirivinay367,4,0.3333333333333333
lakshmidhar31,4,1.0
srikrishnan,5,1.0
ganeshp19,5,1.0
srinandhini,5,1.0
subramanyamm543,5,1.0
krishnasainadh2000,5,1.0
sauravhmaniraj18,5,1.0
sannithir18,5,1.0
lalithendra369,6,1.0
degalalokesh,6,1.0
mrcharanraja,6,1.0
kvikasreddy0204,6,1.0
mullamurisivaramkrishna,6,1.0
padmasreesingamchetty19,6,1.0
jaswanthreddyp17,6,1.0
kcharankumark143,6,1.0
gadamsettyhemanth19,6,1.0
vijayviki8106,7,1.0
charankumar0529,7,1.0
padmasreesingamchetty19,7,1.0
nadeem69,7,1.0
saquibnawazkhan,7,1.0
dntnwls0501,8,1.0
bswbsj18,8,1.0
jai20171549,8,1.0
sgu20171579,8,1.0
yuseap1111,8,1.0
ee20btech11056,9,0.5
ee20btech11059,9,0.5
everesteverest381,9,0.5
ee20btech11028,9,1.0
ee20btech11033,9,0.5
ee20btech11038,9,1.0
karanreddy132,9,0.5
aaseesh,9,0.5
hrushikesh007,9,1.0
ee20btech11011,9,0.5
ee20btech11047,9,0.5
ee20btech11039,9,1.0
oves,9,0.5
ankur2003kumar,9,0.5
ee20btech11043,9,0.5
utkarshdoshi13,9,0.5
ee20btech11030,9,1.0
ee20btech11009,9,1.0
yasaswini,9,1.0
chenchetyabhishek,9,0.5
ee20btech11042,9,0.5
ee20btech11046,9,1.0
ee20btech11031,9,0.5
hemachandar,9,1.0
dineshchandrabdc2,9,0.5
ee20btech11001,9,0.5
executioner,9,0.5
kmanojkumar,9,0.5
ee20btech11032,9,0.5
ee20btech11004,9,0.5
pranathi_007,9,1.0
pragna,9,1.0
ee20btech11025,9,0.5
nithish576s,9,0.5
ee20btech11023,9,1.0
aditsom7,9,0.5
ee20btech11034,9,0.5
tanmay07,9,0.5
ee20btech11040,9,0.5
atharv.ramesh2003,9,0.5
ee20btech11016,9,0.5
ee20btech11051,9,0.5
ee20btech11049,9,1.0
ee20btech11035,9,0.5
rahhul.j17,9,0.5
mudavathrohith270702,9,0.5
ee20btech11058,10,1.0
shameer2835,10,1.0
karanreddy132,10,1.0
ee20btech11013,10,1.0
shamithac,10,1.0
kmanojkumar,10,1.0
sathvika,10,1.0
bethapudikarthik128,10,1.0
ee20btech11019,10,1.0
noahbruccoleri,11,0.25
oariess,11,1.0
ackarles,11,1.0
benzekrim,11,0.25
bibbjh,11,1.0
dustinhl,11,0.5
hossindissoms,11,1.0
uozgur,11,0.5
herndonas,11,0.5
grazianige,11,1.0
mustachioj,11,1.0
afilalhe,11,0.5
vavrutin,11,0.25
mattwds,11,1.0
talonmane4,11,0.5
ordonez05,11,1.0
vallejora2,11,0.5
dobrescuta,11,1.0
morrisonka2,11,1.0
ah.dydak,11,0.75
jonesca25,11,1.0
suchemj,11,1.0
poynterkd,11,1.0
theresakarra,12,1.0
ee20btech11054,12,1.0
kunwarharsh248,12,1.0
ee20btech11018,12,1.0
srikdhruv,12,1.0
ee20btech11020,12,1.0
geunwonjeong,13,0.8333333333333334
seunghun4757,13,0.6666666666666666
b815180,13,1.0
wolol005,13,1.0
jaeyun0709,13,0.8333333333333334
buggyjuggy97,13,1.0
wodbs,13,0.3333333333333333
daniel223977,13,0.5
junn9916,13,1.0
minyeong,13,0.16666666666666666
spaget23,13,0.16666666666666666
wjd7373,13,0.8333333333333334
pjw96,13,0.16666666666666666
mindk24,13,0.3333333333333333
poby,13,1.0
ilkwang,13,1.0
ktj061860,13,0.6666666666666666
homme0214,13,1.0
yujin,13,0.3333333333333333
ojiow,13,1.0
zneet456,13,1.0
sasso47523,13,0.8333333333333334
bt20ece020,14,1.0
tripti,14,1.0
nischalbkj1,14,1.0
ashutosh.ece17,14,1.0
sara34,14,1.0
visheshraina2001,14,0.5
valerio_nori,15,1.0
giuliomontanari,15,1.0
carloalberto.camatti,15,1.0
lucaselmi,15,1.0
enricor,15,1.0
gianlucariscili,15,1.0
biiigkwxx,16,0.25
matt12138,16,0.5
zhishangs,16,0.25
yang31,16,0.25
0iverson0,16,0.75
z5291432,16,0.25
zelinhao,16,0.75
zhiyusong001,16,1.0
zanhui.fan,16,0.25
yixiang,16,0.75
gansuyi,16,1.0
jinyinleo,16,1.0
code0098,16,1.0
emarial82,17,1.0
zachary.kembrey,17,1.0
ensarvahapoglu,17,1.0
zhiyusong001,17,1.0
ez164,17,1.0
z5258436,17,1.0
rashmijalal19,18,1.0
anmolyadav0106,18,1.0
prashant1010,18,1.0
nidhikpg2001,18,1.0
sara34,18,1.0
aryansingh,18,1.0
nicolas.dehalleux,19,1.0
tklauner,19,1.0
thethos,19,1.0
arthurvdgb,19,1.0
hugofich,19,1.0
brockauly,19,1.0
raphaelngenyi24,19,1.0
clgevers,19,1.0
rauxpauline,19,1.0
julien.klauner,19,1.0
kvanhees,19,1.0
nroisin,19,1.0
bolteau,19,1.0
funnybr0ther,19,1.0
zimerjb,19,1.0
spathak137,20,1.0
aaditisatam,20,1.0
sharmeenshaikh20012519,20,1.0
wadeyardhanashree,20,1.0
sharmaritika,20,1.0
pallavi.patil2001,20,1.0
hritikaghosalkar,20,1.0
gothankarnikhil123,20,1.0
mohitsakshi,20,1.0
pathakshalini9,20,1.0
nicolas.dehalleux,21,1.0
tklauner,21,1.0
arthurvdgb,21,0.5
raphaelngenyi24,21,0.5
clgevers,21,1.0
