,Issue_ID__c,Resource ID,Resource URL,Reason,Invalid URL label,Invalid URL
0,Resource_URL::::90::::http://epics.ecn.purdue.edu/lspm::::Lego Scanning Probe Microscope,90,https://nanohub.org/resources/90,Invalid URL,Lego Scanning Probe Microscope,http://epics.ecn.purdue.edu/lspm
1,Resource_URL::::90::::http://www.inac.purdue.edu/education/lspm/exhibit/::::Lego SPM website,90,https://nanohub.org/resources/90,Invalid URL,Lego SPM website,http://www.inac.purdue.edu/education/lspm/exhibit/
2,Resource_URL::::91::::http://epics.ecn.purdue.edu/lspm::::Lego Scanning Probe Microscope,91,https://nanohub.org/resources/91,Invalid URL,Lego Scanning Probe Microscope,http://epics.ecn.purdue.edu/lspm
3,Resource_URL::::91::::http://www.inac.purdue.edu/education/lspm/exhibit/::::Lego SPM website,91,https://nanohub.org/resources/91,Invalid URL,Lego SPM website,http://www.inac.purdue.edu/education/lspm/exhibit/
4,Resource_URL::::92::::http://epics.ecn.purdue.edu/lspm::::Lego Scanning Probe Microscope,92,https://nanohub.org/resources/92,Invalid URL,Lego Scanning Probe Microscope,http://epics.ecn.purdue.edu/lspm
5,Resource_URL::::92::::http://www.inac.purdue.edu/education/lspm/exhibit/::::Lego SPM website,92,https://nanohub.org/resources/92,Invalid URL,Lego SPM website,http://www.inac.purdue.edu/education/lspm/exhibit/
6,Resource_URL::::93::::http://epics.ecn.purdue.edu/lspm::::Lego Scanning Probe Microscope,93,https://nanohub.org/resources/93,Invalid URL,Lego Scanning Probe Microscope,http://epics.ecn.purdue.edu/lspm
7,Resource_URL::::93::::http://www.inac.purdue.edu/education/lspm/exhibit/::::Lego SPM website,93,https://nanohub.org/resources/93,Invalid URL,Lego SPM website,http://www.inac.purdue.edu/education/lspm/exhibit/
8,Resource_URL::::96::::http://epics.ecn.purdue.edu/lspm::::Lego Scanning Probe Microscope,96,https://nanohub.org/resources/96,Invalid URL,Lego Scanning Probe Microscope,http://epics.ecn.purdue.edu/lspm
9,Resource_URL::::96::::http://www.inac.purdue.edu/education/lspm/exhibit/::::Lego SPM website,96,https://nanohub.org/resources/96,Invalid URL,Lego SPM website,http://www.inac.purdue.edu/education/lspm/exhibit/
10,Resource_URL::::97::::http://dynamo.ecn.purdue.edu/~datta/659.htm::::Course Information Website,97,https://nanohub.org/resources/97,Invalid URL,Course Information Website,http://dynamo.ecn.purdue.edu/~datta/659.htm
11,Resource_URL::::97::::/courses/quantum_transport::::Course Online Lectures,97,https://nanohub.org/resources/97,Invalid URL,Course Online Lectures,/courses/quantum_transport
