,year_month,clustered_track,self_track,researcher_track,clustered_track_per,researcher_track_per,self_track_per
0,2000-01-01,0,0,0,,,
1,2000-02-01,0,0,0,,,
2,2000-03-01,19,38,8,29.230769230769234,12.307692307692308,58.46153846153847
3,2000-04-01,28,43,11,34.146341463414636,13.414634146341465,52.4390243902439
4,2000-05-01,35,52,13,35.0,13.0,52.0
5,2000-06-01,38,57,14,34.862385321100916,12.844036697247708,52.293577981651374
6,2000-07-01,39,61,15,33.91304347826087,13.043478260869565,53.04347826086957
7,2000-08-01,41,77,17,30.37037037037037,12.592592592592592,57.03703703703704
8,2000-09-01,105,109,21,44.680851063829785,8.936170212765958,46.38297872340426
9,2000-10-01,128,140,24,43.83561643835616,8.21917808219178,47.94520547945205
10,2000-11-01,149,177,24,42.57142857142857,6.857142857142858,50.57142857142857
11,2000-12-01,160,217,25,39.800995024875625,6.218905472636816,53.98009950248757
12,2001-01-01,161,247,27,37.01149425287356,6.206896551724138,56.7816091954023
13,2001-02-01,323,292,33,49.84567901234568,5.092592592592593,45.06172839506173
14,2001-03-01,414,338,35,52.60482846251588,4.447268106734435,42.94790343074968
15,2001-04-01,420,359,37,51.470588235294116,4.534313725490196,43.995098039215684
16,2001-05-01,416,389,40,49.23076923076923,4.733727810650888,46.03550295857988
17,2001-06-01,415,397,40,48.708920187793424,4.694835680751173,46.5962441314554
18,2001-07-01,414,404,37,48.421052631578945,4.3274853801169595,47.251461988304094
19,2001-08-01,415,392,36,49.228944246737846,4.270462633451958,46.500593119810205
20,2001-09-01,424,384,38,50.11820330969267,4.491725768321513,45.39007092198582
21,2001-10-01,452,363,38,52.989449003516995,4.4548651817116065,42.555685814771394
22,2001-11-01,427,349,40,52.32843137254902,4.901960784313726,42.76960784313725
23,2001-12-01,403,340,41,51.4030612244898,5.229591836734694,43.36734693877551
24,2002-01-01,378,307,40,52.137931034482754,5.517241379310345,42.3448275862069
25,2002-02-01,381,285,38,54.11931818181818,5.3977272727272725,40.48295454545455
26,2002-03-01,391,272,36,55.93705293276109,5.150214592274678,38.91273247496424
27,2002-04-01,391,256,34,57.415565345080765,4.992657856093979,37.59177679882526
28,2002-05-01,192,202,31,45.1764705882353,7.294117647058823,47.529411764705884
29,2002-06-01,187,201,37,44.0,8.705882352941176,47.294117647058826
30,2002-07-01,188,206,38,43.51851851851852,8.796296296296296,47.68518518518518
31,2002-08-01,188,216,38,42.53393665158371,8.597285067873303,48.86877828054298
32,2002-09-01,214,231,39,44.214876033057855,8.057851239669422,47.72727272727273
33,2002-10-01,248,237,43,46.96969696969697,8.143939393939394,44.88636363636363
34,2002-11-01,257,246,48,46.64246823956443,8.711433756805807,44.64609800362977
35,2002-12-01,262,218,50,49.43396226415094,9.433962264150944,41.132075471698116
36,2003-01-01,240,217,50,47.337278106508876,9.861932938856016,42.80078895463511
37,2003-02-01,252,226,55,47.27954971857411,10.318949343339586,42.40150093808631
38,2003-03-01,582,251,60,65.17357222844345,6.718924972004479,28.10750279955207
39,2003-04-01,591,261,58,64.94505494505495,6.373626373626373,28.68131868131868
40,2003-05-01,559,265,61,63.163841807909606,6.892655367231638,29.943502824858758
41,2003-06-01,571,275,60,63.0242825607064,6.622516556291391,30.353200883002206
42,2003-07-01,573,282,61,62.55458515283843,6.6593886462882095,30.786026200873362
43,2003-08-01,572,287,59,62.309368191721134,6.427015250544662,31.263616557734203
44,2003-09-01,678,294,61,65.63407550822846,5.90513068731849,28.46079380445305
45,2003-10-01,712,299,62,66.35601118359739,5.778191985088537,27.86579683131407
46,2003-11-01,726,293,60,67.28452270620944,5.560704355885079,27.15477293790547
47,2003-12-01,724,307,62,66.23970722781335,5.672461116193961,28.08783165599268
48,2004-01-01,686,295,61,65.83493282149712,5.854126679462572,28.310940499040306
49,2004-02-01,688,298,63,65.5862726406101,6.005719733079123,28.40800762631077
50,2004-03-01,697,310,64,65.07936507936508,5.975723622782446,28.944911297852478
51,2004-04-01,742,327,64,65.48984995586937,5.648720211827008,28.86142983230362
52,2004-05-01,712,340,61,63.97124887690926,5.480682839173405,30.54806828391734
53,2004-06-01,482,335,62,54.83503981797497,7.053469852104664,38.111490329920365
54,2004-07-01,499,356,66,54.18023887079262,7.166123778501629,38.65363735070576
55,2004-08-01,495,360,65,53.80434782608695,7.065217391304348,39.130434782608695
56,2004-09-01,627,368,66,59.0951932139491,6.2205466540999055,34.68426013195099
57,2004-10-01,662,374,69,59.90950226244344,6.244343891402715,33.84615384615385
58,2004-11-01,697,387,76,60.08620689655172,6.551724137931035,33.36206896551724
59,2004-12-01,680,401,73,58.925476603119584,6.32582322357019,34.748700173310226
60,2005-01-01,586,419,80,54.00921658986175,7.373271889400922,38.61751152073733
61,2005-02-01,631,457,90,53.565365025466896,7.6400679117147705,38.79456706281834
62,2005-03-01,666,486,93,53.493975903614455,7.46987951807229,39.036144578313255
63,2005-04-01,598,503,98,49.87489574645538,8.17347789824854,41.95162635529608
64,2005-05-01,542,525,100,46.44387317909169,8.56898029134533,44.987146529562985
65,2005-06-01,543,536,99,46.09507640067912,8.404074702886248,45.50084889643464
66,2005-07-01,549,555,100,45.59800664451827,8.305647840531561,46.096345514950166
67,2005-08-01,586,605,108,45.11162432640493,8.314087759815243,46.574287913779834
68,2005-09-01,625,674,118,44.10726887791108,8.327452364149613,47.56527875793931
69,2005-10-01,638,747,122,42.33576642335766,8.09555408095554,49.568679495686794
70,2005-11-01,713,837,128,42.49106078665078,7.628128724672228,49.880810488677
71,2005-12-01,736,937,140,40.59569773855488,7.722007722007722,51.6822945394374
72,2006-01-01,655,1014,154,35.92978606692265,8.447613823368075,55.622600109709275
73,2006-02-01,730,1167,162,35.45410393394852,7.867897037396794,56.67799902865469
74,2006-03-01,871,1281,167,37.5592927986201,7.201379905131522,55.23932729624838
75,2006-04-01,919,1473,178,35.75875486381323,6.926070038910506,57.31517509727626
76,2006-05-01,910,1623,189,33.4313005143277,6.943423952975753,59.62527553269654
77,2006-06-01,932,1765,210,32.06054351565187,7.223942208462332,60.715514275885795
78,2006-07-01,946,2012,228,29.692404268675453,7.1563088512241055,63.15128688010044
79,2006-08-01,927,2135,236,28.10794420861128,7.155852031534263,64.73620375985446
80,2006-09-01,1117,2281,248,30.63631376851344,6.801974766867801,62.56171146461876
81,2006-10-01,1157,2417,267,30.12236396771674,6.951314761780786,62.92632127050247
82,2006-11-01,1500,2574,278,34.466911764705884,6.387867647058823,59.14522058823529
83,2006-12-01,1573,2721,289,34.32249618154047,6.305913157320532,59.371590661138995
84,2007-01-01,1569,2789,288,33.77098579423159,6.198880757640982,60.03013344812742
85,2007-02-01,2042,2866,299,39.216439408488576,5.7422700211254085,55.04129057038602
86,2007-03-01,2223,3041,315,39.84585051084424,5.646173149309912,54.507976339845854
87,2007-04-01,2307,3178,320,39.741602067183464,5.512489233419466,54.74590869939707
88,2007-05-01,2281,3288,329,38.67412682265174,5.578162088843676,55.74771108850458
89,2007-06-01,2321,3387,335,38.408075459209,5.543604170114182,56.04832037067682
