names_tools,num_clustered_users
pntoy,449
crystal_viewer,325
pnjunctionlab,267
abacus,188
oommf,175
crystalviewer,157
atcadlab,154
mseml,149
matlabrad,141
dftqe,102
polymod,94
mosfet,88
matdatarepo,83
jupyter,80
tcnt,77
mosfetsat,73
veda,62
matlabdata,59
struc2lammpsdf,59
contactmaps,57
bandstrlab,57
semi,55
prolabox,55
padre,49
cntbands-ext,44
ucb_compnano,43
nanocmos,43
cc3dcovid19,42
uvspec,40
dsers,37
matsimtk,36
qdot,34
pc4covid19,30
aqme,28
nanomatmech,26
fettoy,26
citrinednn,25
moscap,24
latticeprotein,21
nsoptics,21
photonicsrt,20
npassemblylab,20
deviceelectron,20
lammpstool,20
senstran,18
pc4livermedium,18
deformnanowire,18
tellurium,17
dualfoil,17
mldefect,17
wulffman,16
qclab,15
bsclab,14
meltingkim,14
oof2,14
moscntr,13
piezoharvest,13
msemlg,11
schred,11
imagesegment,11
bjt,10
sugar,10
nanomos,10
abinit,10
gibbs,10
pc4cancerbots,9
pc4heterogen,9
citrinetools,9
pcpbt,9
npshapelab,9
fdical,9
trmotility,9
ddsolarcell,9
sqsatat,9
qcrf4photo,9
thermo,9
compfilsim3d,9
sugaradxl,8
mos,8
rtd,8
dopingsilicon,8
pc4biorobots,8
matlab2021a,7
vsmod,7
mdshowcase,7
opv,7
spinqugate,7
siesta,6
cc3dbase4x,6
intromllab,6
fibmd,6
brillouin,6
pvlimits,5
pc4thanos,5
orcatool,5
semidop,5
youngsmod,5
ex2pnjunction,5
nanogromacs,5
nanofinfet,5
joommf,4
1dfdmht,4
electromat,4
maml,4
fermi,4
gsaimage,3
sugarchevron,3
purdueme323,3
compcatal,3
vkmlpsgg,3
nanoplasticity,3
vkmlggs,3
purdueme581,2
tcacademic,2
gresq,2
rtdnegf,2
nmie,2
prolabcdd,2
sha2d,2
cntfet,2
moca,2
cvgraph,1
cnia,1
agpvsim,1
sugartangcd,1
dbrlaser,1
dda,1
diffusiongame2d,1
stretchmol,1
tunnelfet,1
vkmlsd3d,1
adeptnpt,1
carrierconc,1
2dfets,1
antsy,1
nusimm,1
gfettool,1
mlmodels2d,1
nsoptics3d,1
nmst_dft,1
optodet,1
nccpf,1
pc3types,1
nanoconfinement,1
mpb,1
mosctool,1
molspec,1
mif,1
iontrace,1
pnlongbasedda,1
memscreep,1
matrix2surface,1
kronigpenneylab,1
kronig_penney,1
jupyter60,1
jupyter51,1
rebomd,1
omenwire,1
1dchainmd,1
