names_tools,num_unclassified_users,num_clustered_users,num_total_users
pntoy,145.0,449.0,594.0
crystal_viewer,239.0,325.0,564.0
pnjunctionlab,152.0,267.0,419.0
crystalviewer,222.0,157.0,379.0
abacus,161.0,188.0,349.0
oommf,75.0,175.0,250.0
atcadlab,87.0,154.0,241.0
mseml,78.0,149.0,227.0
dftqe,102.0,102.0,204.0
polymod,106.0,94.0,200.0
mosfetsat,125.0,73.0,198.0
jupyter,110.0,80.0,190.0
struc2lammpsdf,116.0,59.0,175.0
mosfet,82.0,88.0,170.0
uvspec,119.0,40.0,159.0
matlabrad,3.0,141.0,144.0
ucb_compnano,91.0,43.0,134.0
bandstrlab,74.0,57.0,131.0
qdot,82.0,34.0,116.0
cntbands-ext,66.0,44.0,110.0
veda,47.0,62.0,109.0
contactmaps,51.0,57.0,108.0
abinit,93.0,10.0,103.0
matdatarepo,20.0,83.0,103.0
padre,52.0,49.0,101.0
tcnt,18.0,77.0,95.0
cc3dcovid19,52.0,42.0,94.0
nanomatmech,66.0,26.0,92.0
pc4covid19,61.0,30.0,91.0
matsimtk,55.0,36.0,91.0
wulffman,71.0,16.0,87.0
semi,30.0,55.0,85.0
prolabox,29.0,55.0,84.0
brillouin,76.0,6.0,82.0
mos,73.0,8.0,81.0
bjt,69.0,10.0,79.0
nanocmos,36.0,43.0,79.0
lammpstool,53.0,20.0,73.0
fettoy,43.0,26.0,69.0
orcatool,63.0,5.0,68.0
senstran,50.0,18.0,68.0
moscap,44.0,24.0,68.0
1dhetero,68.0,0.0,68.0
matlabdata,5.0,59.0,64.0
dualfoil,46.0,17.0,63.0
jfetlab,60.0,0.0,60.0
2dreflect,59.0,0.0,59.0
archimedes,57.0,0.0,57.0
pub,55.0,0.0,55.0
dftmatprop,54.0,0.0,54.0
pvanalyzer,54.0,0.0,54.0
dsers,15.0,37.0,52.0
fdical,42.0,9.0,51.0
nsoptics,28.0,21.0,49.0
thermo,37.0,9.0,46.0
sugar,35.0,10.0,45.0
fermi,40.0,4.0,44.0
meep,44.0,0.0,44.0
deviceelectron,24.0,20.0,44.0
amobt,43.0,0.0,43.0
aqme,14.0,28.0,42.0
nanofinfet,35.0,5.0,40.0
memristor,40.0,0.0,40.0
deformnanowire,21.0,18.0,39.0
npassemblylab,19.0,20.0,39.0
oof2,22.0,14.0,36.0
bsclab,22.0,14.0,36.0
dda,35.0,1.0,36.0
nmst_dft,34.0,1.0,35.0
adeptnpt,34.0,1.0,35.0
moscntr,21.0,13.0,34.0
citrinednn,9.0,25.0,34.0
spice3f4,33.0,0.0,33.0
agpvsim,32.0,1.0,33.0
ddsolarcell,23.0,9.0,32.0
s4sim,32.0,0.0,32.0
pvpanelsim,32.0,0.0,32.0
siesta,26.0,6.0,32.0
qclab,16.0,15.0,31.0
cc3dbase4x,25.0,6.0,31.0
photonicsrt,10.0,20.0,30.0
kronig_penney,29.0,1.0,30.0
pc4biorobots,22.0,8.0,30.0
tellurium,13.0,17.0,30.0
semidop,24.0,5.0,29.0
nanowire,29.0,0.0,29.0
citrinetools,19.0,9.0,28.0
kronigpenneylab,27.0,1.0,28.0
gfettool,27.0,1.0,28.0
pcpbt,19.0,9.0,28.0
nanomos,18.0,10.0,28.0
schred,16.0,11.0,27.0
rtdnegf,25.0,2.0,27.0
1dfdmht,23.0,4.0,27.0
