names_tools,num_unclassified_users
crystal_viewer,239
crystalviewer,222
abacus,161
pnjunctionlab,152
pntoy,145
mosfetsat,125
uvspec,119
struc2lammpsdf,116
jupyter,110
polymod,106
dftqe,102
abinit,93
ucb_compnano,91
atcadlab,87
mosfet,82
qdot,82
mseml,78
brillouin,76
oommf,75
bandstrlab,74
mos,73
wulffman,71
bjt,69
1dhetero,68
nanomatmech,66
cntbands-ext,66
orcatool,63
pc4covid19,61
jfetlab,60
2dreflect,59
archimedes,57
pub,55
matsimtk,55
dftmatprop,54
pvanalyzer,54
lammpstool,53
cc3dcovid19,52
padre,52
contactmaps,51
senstran,50
veda,47
dualfoil,46
meep,44
moscap,44
amobt,43
fettoy,43
fdical,42
memristor,40
fermi,40
thermo,37
nanocmos,36
dda,35
sugar,35
nanofinfet,35
nmst_dft,34
adeptnpt,34
spice3f4,33
s4sim,32
pvpanelsim,32
agpvsim,32
semi,30
nanowire,29
prolabox,29
kronig_penney,29
nsoptics,28
gfettool,27
kronigpenneylab,27
siesta,26
ddaplus,26
cc3dbase4x,25
purduemse270,25
rtdnegf,25
2dmatstacks,25
omenwire,24
semidop,24
nwabsorption,24
deviceelectron,24
cntfet,23
struct2lammps,23
ddsolarcell,23
1dfdmht,23
sha2d,22
pc4biorobots,22
bsclab,22
oof2,22
lcoe,22
vides,22
nccpf,21
deformnanowire,21
carrierconc,21
moscntr,21
berkeleygw,21
1dchainmd,21
pcisa,20
complam,20
nmie,20
advte,20
joommf,20
matdatarepo,20
pvlimits,20
citrinetools,19
photonicsdb,19
adept,19
npassemblylab,19
dbrlaser,19
surfevolvergui,19
pcpbt,19
vsmod,19
mif,18
tcnt,18
nanomos,18
photonicstk,18
energycurve,18
pc4heterogen,18
convn,18
rtd,17
trmotility,17
sbcnfet,17
octaview,17
cvgraph,17
msl,17
mtjlab,17
cntmob,17
fgmbuilder,16
opv,16
comphydrogennb,16
prolabcdd,16
coulombsim,16
xrd,16
qcrf4photo,16
npshapelab,16
pc4nanobio,16
qclab,16
compucell3d,16
schred,16
nusimm,15
jmoltool,15
qdotjupyter,15
dsers,15
matrix2surface,15
moca,15
spectraesrabs,15
compcatal,15
nanoplasticity,14
graft,14
gamian,14
nanofet,14
piezoharvest,14
asilicon,14
tedev,14
pc4cancerbots,14
biolab,14
aqme,14
dopingsilicon,13
biolabisfet,13
mesfet,13
tellurium,13
qudosim,13
mpb,13
qstem,13
btesolver,13
illustmath,13
intromllab,13
nanoparticle,13
partsub,13
gresq,12
tpl,12
vkmllive,12
vkmlpsgg,12
2dfets,12
imod,12
nsoptics3d,12
imagesegment,12
slpf,12
mosctool,12
sfe,12
ddscatshapegene,12
prophet,12
compfilsim3d,11
matlab2021a,11
diffusiongame2d,11
vkmlggs,11
mage,11
gsaimage,11
gibbs,11
tgnb,11
cadnanocvrt,11
ttmmd,10
sqsatat,10
pumet,10
nanoconfinement,10
mdanalysis,10
pnlongbasedda,10
photonicvasefit,10
vkmlsd3d,10
voidfrac,10
photonicsrt,10
youngsmod,10
tftutorials,10
tddft,10
mobiresis,10
antsy,10
acmenpds,10
fmmacrospice,10
cnia,10
nanoenergytools,9
cmtcomb3,9
citrinednn,9
covidvaccinemod,9
bhjmorphology,9
xpsts,9
nanogromacs,9
moose,9
mctrigate,9
sugaradxl,9
lantrap,9
cnegfmos,9
purdueme581,9
gnrinterconnect,9
pc3types,9
electromat,9
sugartangcd,8
capacitancescm,8
strainbands,8
sugarchevron,8
circuitelements,8
qwalk,8
nanobind,8
molctoy,8
mldefect,8
ccamt,8
gas,8
opticslab,8
cntbte,8
jupyterexamples,8
echem,8
xrdinteract,8
htq1,8
ddaconvert,8
vkmlsd,8
asts,8
heterojunction,8
smdc,8
nanoheatflow,8
pslsim,8
beamprop,8
spinprecession,8
fibstream,8
nanoindentation,8
mgnanowirefet,7
purdueme323,7
sandp,7
fibpredictor,7
rdf,7
nmstthermal,7
ex2pnjunction,7
phcband,7
nacresimulator,7
phononlifetime,7
periodicpot,7
cellsorthexcc3d,7
mcdna,7
stretchmol,7
gscompaction,7
batteryopt,7
gpuheompop,7
mcpt,7
amidespec,7
bulkmc,7
vsepr,7
mdshowcase,7
teg,7
spintransport,7
sugarcube,6
mavelp,6
cadnanovis,6
compnano,6
jupyter60,6
bowtie,6
photonicspos,6
surfacearea,6
ncevol,6
cndo,6
exdynamics,6
fnecalc1,6
straincomp,6
spinqugate,6
dimredmatdecmp,6
xas,6
1dphononbte,6
nuitns,6
breakcalc1,6
reaxff597a,6
meeppv,6
pc4thanos,6
romdegradation,6
gibbsads,6
nplongbasedda,5
testgain0d,5
pnshortbasedda,5
bayes,5
optodet,5
htdft,5
bacmacrocc3d4,5
crackprop,5
pete,5
annihilate,5
nnrf,5
elmod,5
laserdyn,5
devrel,5
biomoca,5
prismspfmisfit,5
mtstub,5
meltingkim,5
cc3dvasctumor,5
mixedgasdiff,5
samis,5
s4editor,5
rjupyternb,5
radcool,5
gbdiffusion,5
mcde,5
prolabdcd,5
msemlg,5
matdcal,5
matlabdata,5
maml,5
bmcsuite,5
cntnemscant,5
tedvis,5
spincoupleddots,5
nanobiophotsim,5
hydrolab,5
nanoarray,5
cgmcc,4
opticslens,4
polymerwfnb,4
bulkmobility,4
cc3dbactmacro,4
diffanalyzer,4
vachecker,4
cnc,4
contourpv,4
pc4cancerimmune,4
angel,4
tec,4
computehydrogen,4
plottool,4
pimc,4
pc1d,4
zeno,4
mmsttf,4
hsot,4
fin,4
jupyterlab,4
nanodrill,4
memscreep,4
introtosimtools,4
multiscaletec,4
mdsim,4
nanogromacsii,4
legogen,4
htoxideprop,4
ohmslaw,4
matlabrad,3
pnndemo,3
breakdowncal7,3
cntnemsff,3
mdshowbuilder,3
temlattice,3
filters,3
nanossl,3
predicts2d,3
stretchfcc,3
fiona,3
msugmmpc,3
straincalc,3
stickslip,3
mgbasic,3
sfedemo,3
cc3dcellsort,3
dsmc,3
molspec,3
molexpl,3
mlspad,3
mmst,3
moca-ensemble,3
covid19analysis,3
minimol,3
jamming,3
tunnelfet,3
opt,3
impadder,3
woundhealingpc,3
owetp,3
ecmsimul,3
nsmmaster,3
pb4covid19,3
pba4tnf,3
ahpull,3
nselectrostatic,3
nrr,3
viscoindent,3
virion2response,3
lorentzfit,3
tpvexpt,3
crackpropsim,3
fbsdcme,3
micelle,2
spectralnemd,2
calibdriver,2
solidifpure,2
gp2d,2
acute,2
shakefracture,2
turbinepredict,2
biophotonicsim,2
gransurrogate,2
tplvaranlz,2
abase,2
