,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',6
9,'2000-10-01',6
10,'2000-11-01',6
11,'2000-12-01',6
12,'2001-01-01',7
13,'2001-02-01',9
14,'2001-03-01',8
15,'2001-04-01',8
16,'2001-05-01',9
17,'2001-06-01',9
18,'2001-07-01',8
19,'2001-08-01',8
20,'2001-09-01',7
21,'2001-10-01',7
22,'2001-11-01',7
23,'2001-12-01',7
24,'2002-01-01',7
25,'2002-02-01',7
26,'2002-03-01',6
27,'2002-04-01',6
28,'2002-05-01',4
29,'2002-06-01',7
30,'2002-07-01',7
31,'2002-08-01',8
32,'2002-09-01',8
33,'2002-10-01',9
34,'2002-11-01',10
35,'2002-12-01',9
36,'2003-01-01',8
37,'2003-02-01',9
38,'2003-03-01',9
39,'2003-04-01',9
40,'2003-05-01',10
41,'2003-06-01',8
42,'2003-07-01',8
43,'2003-08-01',6
44,'2003-09-01',6
45,'2003-10-01',6
46,'2003-11-01',6
47,'2003-12-01',6
48,'2004-01-01',6
49,'2004-02-01',6
50,'2004-03-01',6
51,'2004-04-01',5
52,'2004-05-01',5
53,'2004-06-01',6
54,'2004-07-01',7
55,'2004-08-01',7
56,'2004-09-01',7
57,'2004-10-01',9
58,'2004-11-01',10
59,'2004-12-01',10
60,'2005-01-01',12
61,'2005-02-01',15
62,'2005-03-01',17
63,'2005-04-01',17
64,'2005-05-01',18
65,'2005-06-01',17
66,'2005-07-01',17
67,'2005-08-01',19
68,'2005-09-01',23
69,'2005-10-01',27
70,'2005-11-01',28
71,'2005-12-01',33
72,'2006-01-01',36
73,'2006-02-01',35
74,'2006-03-01',39
75,'2006-04-01',44
76,'2006-05-01',52
77,'2006-06-01',59
78,'2006-07-01',61
79,'2006-08-01',65
80,'2006-09-01',69
81,'2006-10-01',76
82,'2006-11-01',85
83,'2006-12-01',88
84,'2007-01-01',96
85,'2007-02-01',104
86,'2007-03-01',113
87,'2007-04-01',123
88,'2007-05-01',124
89,'2007-06-01',131
90,'2007-07-01',136
91,'2007-08-01',143
92,'2007-09-01',144
93,'2007-10-01',146
94,'2007-11-01',155
95,'2007-12-01',171
96,'2008-01-01',178
97,'2008-02-01',188
98,'2008-03-01',188
99,'2008-04-01',192
100,'2008-05-01',202
101,'2008-06-01',211
102,'2008-07-01',222
103,'2008-08-01',259
104,'2008-09-01',270
105,'2008-10-01',298
106,'2008-11-01',333
107,'2008-12-01',374
