,track
0,0
1,0
2,58
3,72
4,88
5,96
6,101
7,119
8,215
9,269
10,327
11,378
12,409
13,616
14,753
15,779
16,804
17,811
18,817
19,806
20,807
21,814
22,775
23,742
24,684
25,665
26,662
27,647
28,394
29,388
30,394
31,404
32,445
33,485
34,503
35,480
36,457
37,478
38,834
39,853
40,825
41,847
42,856
43,860
44,973
45,1012
46,1020
47,1032
48,982
49,987
50,1009
51,1071
52,1054
53,818
54,857
55,857
56,997
57,1038
58,1086
59,1083
60,1007
61,1090
62,1154
63,1103
64,1068
65,1080
66,1104
67,1191
68,1300
69,1386
70,1551
71,1674
72,1670
73,1898
74,2153
75,2393
76,2534
77,2698
78,2959
79,3062
80,3397
81,3573
82,4073
83,4293
84,4357
85,4907
86,5263
87,5484
88,5568
89,5707
90,5693
91,5791
92,5848
93,6027
94,6030
95,5956
96,5953
97,6317
98,6378
99,6339
100,6328
101,6301
102,6336
103,6395
104,6410
105,6542
106,6897
107,6808
108,6872
109,7289
110,7065
111,7207
112,7055
113,6947
114,6912
115,6828
116,6950
117,7342
118,7528
119,7406
120,7414
121,7991
122,8346
123,8226
124,8151
125,8376
126,8516
127,8657
128,8879
129,9388
130,9890
131,9913
132,9802
133,10017
134,10704
135,10531
136,10522
137,10464
138,10502
139,10494
140,10684
141,10965
142,11330
143,11137
144,10877
145,11634
146,11986
147,11959
148,11785
149,11760
150,11793
151,11955
152,12077
153,12529
154,12499
155,12390
156,12111
157,12355
158,12775
159,12752
160,12522
161,12424
162,12420
163,12389
164,12687
165,13380
166,13483
167,13511
168,13080
169,13367
170,13470
171,13447
172,13091
173,12802
174,12636
175,12352
176,12269
177,12521
178,12578
179,12241
180,12049
181,12422
182,12308
183,12565
184,12180
185,11969
186,11914
187,12089
188,12406
189,13165
190,13445
191,13264
192,13026
193,13088
194,13085
195,13198
196,13225
197,13248
198,13491
199,13730
200,14238
201,14944
202,15149
203,15572
204,15318
205,15593
206,15986
207,16131
208,15823
209,15842
210,15879
211,15946
212,16502
213,16875
214,16911
215,16617
