,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',1
6,'2000-07-01',1
7,'2000-08-01',1
8,'2000-09-01',2
9,'2000-10-01',2
10,'2000-11-01',2
11,'2000-12-01',2
12,'2001-01-01',2
13,'2001-02-01',3
14,'2001-03-01',3
15,'2001-04-01',4
16,'2001-05-01',4
17,'2001-06-01',3
18,'2001-07-01',3
19,'2001-08-01',3
20,'2001-09-01',2
21,'2001-10-01',2
22,'2001-11-01',2
23,'2001-12-01',2
24,'2002-01-01',2
25,'2002-02-01',2
26,'2002-03-01',2
27,'2002-04-01',2
28,'2002-05-01',2
29,'2002-06-01',3
30,'2002-07-01',3
31,'2002-08-01',3
32,'2002-09-01',4
33,'2002-10-01',3
34,'2002-11-01',3
35,'2002-12-01',3
36,'2003-01-01',4
37,'2003-02-01',4
38,'2003-03-01',5
39,'2003-04-01',6
40,'2003-05-01',8
41,'2003-06-01',8
42,'2003-07-01',8
43,'2003-08-01',8
44,'2003-09-01',9
45,'2003-10-01',9
46,'2003-11-01',9
47,'2003-12-01',9
48,'2004-01-01',9
49,'2004-02-01',9
50,'2004-03-01',12
51,'2004-04-01',12
52,'2004-05-01',13
53,'2004-06-01',13
54,'2004-07-01',13
55,'2004-08-01',13
56,'2004-09-01',16
57,'2004-10-01',18
58,'2004-11-01',20
59,'2004-12-01',19
60,'2005-01-01',21
61,'2005-02-01',23
62,'2005-03-01',25
63,'2005-04-01',27
64,'2005-05-01',26
65,'2005-06-01',28
66,'2005-07-01',29
67,'2005-08-01',28
68,'2005-09-01',31
69,'2005-10-01',34
70,'2005-11-01',37
71,'2005-12-01',42
72,'2006-01-01',43
73,'2006-02-01',47
74,'2006-03-01',51
75,'2006-04-01',54
76,'2006-05-01',58
77,'2006-06-01',63
78,'2006-07-01',68
79,'2006-08-01',71
80,'2006-09-01',85
81,'2006-10-01',88
82,'2006-11-01',93
83,'2006-12-01',95
84,'2007-01-01',102
85,'2007-02-01',114
86,'2007-03-01',121
87,'2007-04-01',128
88,'2007-05-01',131
89,'2007-06-01',136
90,'2007-07-01',142
91,'2007-08-01',146
92,'2007-09-01',150
93,'2007-10-01',153
94,'2007-11-01',163
95,'2007-12-01',174
96,'2008-01-01',177
97,'2008-02-01',189
98,'2008-03-01',205
99,'2008-04-01',213
100,'2008-05-01',224
101,'2008-06-01',242
102,'2008-07-01',245
103,'2008-08-01',256
104,'2008-09-01',279
105,'2008-10-01',327
106,'2008-11-01',362
107,'2008-12-01',378
108,'2009-01-01',391
109,'2009-02-01',437
110,'2009-03-01',514
111,'2009-04-01',602
112,'2009-05-01',630
113,'2009-06-01',640
114,'2009-07-01',652
115,'2009-08-01',667
116,'2009-09-01',725
117,'2009-10-01',861
118,'2009-11-01',910
119,'2009-12-01',898
120,'2010-01-01',898
121,'2010-02-01',956
122,'2010-03-01',1021
123,'2010-04-01',1029
124,'2010-05-01',949
125,'2010-06-01',949
126,'2010-07-01',943
127,'2010-08-01',941
128,'2010-09-01',946
129,'2010-10-01',1036
130,'2010-11-01',1043
131,'2010-12-01',1010
132,'2011-01-01',904
133,'2011-02-01',970
134,'2011-03-01',1111
135,'2011-04-01',1140
136,'2011-05-01',1154
137,'2011-06-01',1151
138,'2011-07-01',1133
139,'2011-08-01',1158
140,'2011-09-01',1211
141,'2011-10-01',1299
142,'2011-11-01',1319
143,'2011-12-01',1290
144,'2012-01-01',1199
145,'2012-02-01',1367
146,'2012-03-01',1505
147,'2012-04-01',1533
148,'2012-05-01',1393
149,'2012-06-01',1248
150,'2012-07-01',1225
151,'2012-08-01',1215
152,'2012-09-01',1236
153,'2012-10-01',1320
154,'2012-11-01',1337
155,'2012-12-01',1250
156,'2013-01-01',1187
157,'2013-02-01',1312
158,'2013-03-01',1452
159,'2013-04-01',1420
160,'2013-05-01',1295
161,'2013-06-01',1231
162,'2013-07-01',1213
163,'2013-08-01',1223
164,'2013-09-01',1259
165,'2013-10-01',1384
166,'2013-11-01',1376
167,'2013-12-01',1351
168,'2014-01-01',1289
169,'2014-02-01',1453
170,'2014-03-01',1511
171,'2014-04-01',1455
172,'2014-05-01',1341
173,'2014-06-01',1281
174,'2014-07-01',1242
175,'2014-08-01',1249
176,'2014-09-01',1295
177,'2014-10-01',1398
178,'2014-11-01',1413
179,'2014-12-01',1332
180,'2015-01-01',1278
181,'2015-02-01',1364
182,'2015-03-01',1361
183,'2015-04-01',1395
184,'2015-05-01',1265
185,'2015-06-01',1240
186,'2015-07-01',1257
187,'2015-08-01',1269
188,'2015-09-01',1302
189,'2015-10-01',1524
190,'2015-11-01',1568
191,'2015-12-01',1527
192,'2016-01-01',1423
193,'2016-02-01',1507
194,'2016-03-01',1632
195,'2016-04-01',1668
196,'2016-05-01',1561
197,'2016-06-01',1496
198,'2016-07-01',1447
199,'2016-08-01',1495
200,'2016-09-01',1594
201,'2016-10-01',1774
202,'2016-11-01',1773
203,'2016-12-01',1762
204,'2017-01-01',1619
205,'2017-02-01',1712
206,'2017-03-01',1815
207,'2017-04-01',1860
208,'2017-05-01',1795
209,'2017-06-01',1790
210,'2017-07-01',1770
211,'2017-08-01',1798
212,'2017-09-01',1887
213,'2017-10-01',2026
214,'2017-11-01',1996
215,'2017-12-01',1963
216,'2018-01-01',1864
217,'2018-02-01',1921
218,'2018-03-01',1920
219,'2018-04-01',1799
220,'2018-05-01',1726
221,'2018-06-01',1683
222,'2018-07-01',1660
223,'2018-08-01',1848
224,'2018-09-01',2011
225,'2018-10-01',2032
226,'2018-11-01',2277
227,'2018-12-01',2226
228,'2019-01-01',2078
229,'2019-02-01',2133
230,'2019-03-01',2164
231,'2019-04-01',2218
232,'2019-05-01',2179
233,'2019-06-01',2103
234,'2019-07-01',2089
235,'2019-08-01',2049
236,'2019-09-01',2139
237,'2019-10-01',2216
238,'2019-11-01',2160
239,'2019-12-01',2030
