,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',45
3,'2000-04-01',55
4,'2000-05-01',68
5,'2000-06-01',74
6,'2000-07-01',76
7,'2000-08-01',92
8,'2000-09-01',184
9,'2000-10-01',235
10,'2000-11-01',293
11,'2000-12-01',343
12,'2001-01-01',372
13,'2001-02-01',571
14,'2001-03-01',707
15,'2001-04-01',731
16,'2001-05-01',756
17,'2001-06-01',764
18,'2001-07-01',774
19,'2001-08-01',765
20,'2001-09-01',765
21,'2001-10-01',771
22,'2001-11-01',730
23,'2001-12-01',696
24,'2002-01-01',640
25,'2002-02-01',622
26,'2002-03-01',622
27,'2002-04-01',608
28,'2002-05-01',359
29,'2002-06-01',347
30,'2002-07-01',352
31,'2002-08-01',361
32,'2002-09-01',400
33,'2002-10-01',438
34,'2002-11-01',450
35,'2002-12-01',425
36,'2003-01-01',401
37,'2003-02-01',417
38,'2003-03-01',763
39,'2003-04-01',783
40,'2003-05-01',752
41,'2003-06-01',774
42,'2003-07-01',782
43,'2003-08-01',789
44,'2003-09-01',899
45,'2003-10-01',937
46,'2003-11-01',947
47,'2003-12-01',957
48,'2004-01-01',908
49,'2004-02-01',911
50,'2004-03-01',931
51,'2004-04-01',993
52,'2004-05-01',979
53,'2004-06-01',743
54,'2004-07-01',778
55,'2004-08-01',779
56,'2004-09-01',916
57,'2004-10-01',952
58,'2004-11-01',992
59,'2004-12-01',993
60,'2005-01-01',908
61,'2005-02-01',976
62,'2005-03-01',1033
63,'2005-04-01',978
64,'2005-05-01',941
65,'2005-06-01',951
66,'2005-07-01',974
67,'2005-08-01',1052
68,'2005-09-01',1144
69,'2005-10-01',1220
70,'2005-11-01',1370
71,'2005-12-01',1473
72,'2006-01-01',1454
73,'2006-02-01',1667
74,'2006-03-01',1909
75,'2006-04-01',2132
76,'2006-05-01',2252
77,'2006-06-01',2385
78,'2006-07-01',2617
79,'2006-08-01',2707
80,'2006-09-01',3013
81,'2006-10-01',3164
82,'2006-11-01',3636
83,'2006-12-01',3837
84,'2007-01-01',3887
85,'2007-02-01',4392
86,'2007-03-01',4714
87,'2007-04-01',4912
88,'2007-05-01',4983
89,'2007-06-01',5102
90,'2007-07-01',5070
91,'2007-08-01',5156
92,'2007-09-01',5195
93,'2007-10-01',5349
94,'2007-11-01',5325
95,'2007-12-01',5230
96,'2008-01-01',5215
97,'2008-02-01',5551
98,'2008-03-01',5591
99,'2008-04-01',5530
100,'2008-05-01',5492
101,'2008-06-01',5445
102,'2008-07-01',5466
103,'2008-08-01',5427
104,'2008-09-01',5403
105,'2008-10-01',5375
106,'2008-11-01',5385
107,'2008-12-01',5140
108,'2009-01-01',5094
109,'2009-02-01',5036
110,'2009-03-01',4575
111,'2009-04-01',4474
112,'2009-05-01',4149
113,'2009-06-01',3995
114,'2009-07-01',3911
115,'2009-08-01',3843
116,'2009-09-01',3798
117,'2009-10-01',3811
118,'2009-11-01',3762
119,'2009-12-01',3724
120,'2010-01-01',3690
121,'2010-02-01',3737
122,'2010-03-01',3756
123,'2010-04-01',3764
124,'2010-05-01',3818
125,'2010-06-01',3897
126,'2010-07-01',3970
127,'2010-08-01',4097
128,'2010-09-01',4252
129,'2010-10-01',4397
130,'2010-11-01',4600
131,'2010-12-01',4761
132,'2011-01-01',4854
133,'2011-02-01',4978
134,'2011-03-01',5102
135,'2011-04-01',5163
136,'2011-05-01',5157
137,'2011-06-01',5217
138,'2011-07-01',5213
139,'2011-08-01',5233
140,'2011-09-01',5258
141,'2011-10-01',5283
142,'2011-11-01',5282
143,'2011-12-01',5211
144,'2012-01-01',5208
145,'2012-02-01',5263
146,'2012-03-01',5325
147,'2012-04-01',5400
148,'2012-05-01',5467
149,'2012-06-01',5556
150,'2012-07-01',5611
151,'2012-08-01',5665
152,'2012-09-01',5672
153,'2012-10-01',5657
154,'2012-11-01',5721
155,'2012-12-01',5792
156,'2013-01-01',5765
157,'2013-02-01',5829
158,'2013-03-01',6017
159,'2013-04-01',6013
160,'2013-05-01',6055
161,'2013-06-01',6115
162,'2013-07-01',6112
163,'2013-08-01',6160
164,'2013-09-01',6245
165,'2013-10-01',6286
166,'2013-11-01',6343
167,'2013-12-01',6350
168,'2014-01-01',6273
169,'2014-02-01',6337
170,'2014-03-01',6287
171,'2014-04-01',6397
172,'2014-05-01',6410
173,'2014-06-01',6210
174,'2014-07-01',6083
175,'2014-08-01',5912
176,'2014-09-01',5816
177,'2014-10-01',5765
178,'2014-11-01',5721
179,'2014-12-01',5730
180,'2015-01-01',5703
181,'2015-02-01',5705
182,'2015-03-01',5694
183,'2015-04-01',5617
184,'2015-05-01',5486
185,'2015-06-01',5350
186,'2015-07-01',5228
187,'2015-08-01',5316
188,'2015-09-01',5379
189,'2015-10-01',5520
190,'2015-11-01',5519
191,'2015-12-01',5367
192,'2016-01-01',5336
193,'2016-02-01',5293
194,'2016-03-01',5313
195,'2016-04-01',5360
196,'2016-05-01',5435
197,'2016-06-01',5526
198,'2016-07-01',5770
199,'2016-08-01',5758
200,'2016-09-01',5863
201,'2016-10-01',5966
202,'2016-11-01',6111
203,'2016-12-01',6342
204,'2017-01-01',6396
205,'2017-02-01',6611
206,'2017-03-01',6799
207,'2017-04-01',6866
208,'2017-05-01',6863
209,'2017-06-01',6841
210,'2017-07-01',6818
211,'2017-08-01',6924
212,'2017-09-01',7056
213,'2017-10-01',7110
214,'2017-11-01',7146
215,'2017-12-01',7128
216,'2018-01-01',7142
217,'2018-02-01',7175
218,'2018-03-01',7191
219,'2018-04-01',7172
220,'2018-05-01',7198
221,'2018-06-01',7082
222,'2018-07-01',7077
223,'2018-08-01',7133
224,'2018-09-01',7203
225,'2018-10-01',7215
226,'2018-11-01',7248
227,'2018-12-01',7233
228,'2019-01-01',7145
229,'2019-02-01',7205
230,'2019-03-01',7251
231,'2019-04-01',7374
232,'2019-05-01',7311
233,'2019-06-01',7409
234,'2019-07-01',7358
235,'2019-08-01',7282
236,'2019-09-01',7238
237,'2019-10-01',7236
238,'2019-11-01',7329
239,'2019-12-01',7262
240,'2020-01-01',7216
241,'2020-02-01',7115
242,'2020-03-01',7155
243,'2020-04-01',7246
244,'2020-05-01',7516
245,'2020-06-01',7746
246,'2020-07-01',8127
247,'2020-08-01',8289
248,'2020-09-01',8497
249,'2020-10-01',8745
250,'2020-11-01',8998
251,'2020-12-01',9219
252,'2021-01-01',9347
253,'2021-02-01',9730
254,'2021-03-01',10050
255,'2021-04-01',10254
256,'2021-05-01',10202
257,'2021-06-01',10003
258,'2021-07-01',9738
259,'2021-08-01',9698
260,'2021-09-01',9712
261,'2021-10-01',9722
262,'2021-11-01',9652
263,'2021-12-01',9559
