,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',8
3,'2000-04-01',11
4,'2000-05-01',13
5,'2000-06-01',14
6,'2000-07-01',15
7,'2000-08-01',17
8,'2000-09-01',21
9,'2000-10-01',24
10,'2000-11-01',24
11,'2000-12-01',25
12,'2001-01-01',27
13,'2001-02-01',33
14,'2001-03-01',35
15,'2001-04-01',36
16,'2001-05-01',40
17,'2001-06-01',40
18,'2001-07-01',40
19,'2001-08-01',40
20,'2001-09-01',45
21,'2001-10-01',45
22,'2001-11-01',47
23,'2001-12-01',50
24,'2002-01-01',51
25,'2002-02-01',51
26,'2002-03-01',51
27,'2002-04-01',51
28,'2002-05-01',52
29,'2002-06-01',61
30,'2002-07-01',62
31,'2002-08-01',63
32,'2002-09-01',65
33,'2002-10-01',69
34,'2002-11-01',74
35,'2002-12-01',76
36,'2003-01-01',77
37,'2003-02-01',80
38,'2003-03-01',84
39,'2003-04-01',85
40,'2003-05-01',88
41,'2003-06-01',91
42,'2003-07-01',92
43,'2003-08-01',93
44,'2003-09-01',95
45,'2003-10-01',97
46,'2003-11-01',98
47,'2003-12-01',101
