,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',6
3,'2000-04-01',7
4,'2000-05-01',10
5,'2000-06-01',11
6,'2000-07-01',13
7,'2000-08-01',13
8,'2000-09-01',15
9,'2000-10-01',17
10,'2000-11-01',17
11,'2000-12-01',17
12,'2001-01-01',18
13,'2001-02-01',22
14,'2001-03-01',23
15,'2001-04-01',24
16,'2001-05-01',25
17,'2001-06-01',25
18,'2001-07-01',25
19,'2001-08-01',25
20,'2001-09-01',26
21,'2001-10-01',26
22,'2001-11-01',26
23,'2001-12-01',26
24,'2002-01-01',27
25,'2002-02-01',28
26,'2002-03-01',28
27,'2002-04-01',28
28,'2002-05-01',29
29,'2002-06-01',33
30,'2002-07-01',33
31,'2002-08-01',34
32,'2002-09-01',34
33,'2002-10-01',36
34,'2002-11-01',39
35,'2002-12-01',39
36,'2003-01-01',40
37,'2003-02-01',40
38,'2003-03-01',45
39,'2003-04-01',46
40,'2003-05-01',49
41,'2003-06-01',50
42,'2003-07-01',50
43,'2003-08-01',50
44,'2003-09-01',51
45,'2003-10-01',51
46,'2003-11-01',52
47,'2003-12-01',53
48,'2004-01-01',53
49,'2004-02-01',53
50,'2004-03-01',55
51,'2004-04-01',58
52,'2004-05-01',59
53,'2004-06-01',59
54,'2004-07-01',59
55,'2004-08-01',60
56,'2004-09-01',67
57,'2004-10-01',71
58,'2004-11-01',74
59,'2004-12-01',75
60,'2005-01-01',77
61,'2005-02-01',87
62,'2005-03-01',92
63,'2005-04-01',96
64,'2005-05-01',98
65,'2005-06-01',101
66,'2005-07-01',106
67,'2005-08-01',108
68,'2005-09-01',120
69,'2005-10-01',130
70,'2005-11-01',143
71,'2005-12-01',155
