,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',0
6,'2000-07-01',0
7,'2000-08-01',0
8,'2000-09-01',0
9,'2000-10-01',0
10,'2000-11-01',0
11,'2000-12-01',0
12,'2001-01-01',0
13,'2001-02-01',0
14,'2001-03-01',0
15,'2001-04-01',0
16,'2001-05-01',0
17,'2001-06-01',0
18,'2001-07-01',0
19,'2001-08-01',0
20,'2001-09-01',0
21,'2001-10-01',0
22,'2001-11-01',0
23,'2001-12-01',0
24,'2002-01-01',0
25,'2002-02-01',0
26,'2002-03-01',0
27,'2002-04-01',0
28,'2002-05-01',0
29,'2002-06-01',0
30,'2002-07-01',0
31,'2002-08-01',0
32,'2002-09-01',0
33,'2002-10-01',0
34,'2002-11-01',0
35,'2002-12-01',0
36,'2003-01-01',0
37,'2003-02-01',0
38,'2003-03-01',1
39,'2003-04-01',1
40,'2003-05-01',1
41,'2003-06-01',1
42,'2003-07-01',1
43,'2003-08-01',1
44,'2003-09-01',1
45,'2003-10-01',1
46,'2003-11-01',1
47,'2003-12-01',1
48,'2004-01-01',1
49,'2004-02-01',1
50,'2004-03-01',1
51,'2004-04-01',1
52,'2004-05-01',1
53,'2004-06-01',1
54,'2004-07-01',1
55,'2004-08-01',1
56,'2004-09-01',1
57,'2004-10-01',1
58,'2004-11-01',1
59,'2004-12-01',1
60,'2005-01-01',1
61,'2005-02-01',1
62,'2005-03-01',1
63,'2005-04-01',1
64,'2005-05-01',1
65,'2005-06-01',1
66,'2005-07-01',1
67,'2005-08-01',1
68,'2005-09-01',2
69,'2005-10-01',2
70,'2005-11-01',2
71,'2005-12-01',2
