,track
0,0
1,0
2,45
3,55
4,68
5,74
6,76
7,92
8,184
9,234
10,292
11,342
12,371
13,570
14,710
15,738
16,778
17,793
18,804
19,811
20,827
21,860
22,889
23,921
24,931
25,960
26,1011
27,1023
28,1038
29,1053
30,1071
31,1086
32,1125
33,1173
34,1197
35,1211
36,1230
37,1260
38,1625
39,1657
40,1694
41,1736
42,1762
43,1782
44,1910
45,1961
46,1998
47,2027
48,2041
49,2067
50,2131
51,2225
52,2301
53,2325
54,2397
55,2422
56,2580
57,2633
58,2694
59,2737
60,2782
61,2864
62,2963
63,3028
64,3088
65,3122
66,3207
67,3307
68,3440
69,3558
70,3750
71,3919
