,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',58
3,'2000-04-01',72
4,'2000-05-01',88
5,'2000-06-01',96
6,'2000-07-01',101
7,'2000-08-01',119
8,'2000-09-01',215
9,'2000-10-01',269
10,'2000-11-01',327
11,'2000-12-01',378
12,'2001-01-01',409
13,'2001-02-01',616
14,'2001-03-01',759
15,'2001-04-01',789
16,'2001-05-01',833
17,'2001-06-01',848
18,'2001-07-01',859
19,'2001-08-01',866
20,'2001-09-01',887
21,'2001-10-01',920
22,'2001-11-01',951
23,'2001-12-01',986
24,'2002-01-01',997
25,'2002-02-01',1027
26,'2002-03-01',1078
27,'2002-04-01',1090
28,'2002-05-01',1106
29,'2002-06-01',1130
30,'2002-07-01',1149
31,'2002-08-01',1166
32,'2002-09-01',1207
33,'2002-10-01',1259
34,'2002-11-01',1289
35,'2002-12-01',1305
36,'2003-01-01',1326
37,'2003-02-01',1359
38,'2003-03-01',1733
39,'2003-04-01',1767
40,'2003-05-01',1807
41,'2003-06-01',1853
42,'2003-07-01',1880
43,'2003-08-01',1901
44,'2003-09-01',2032
45,'2003-10-01',2085
46,'2003-11-01',2123
47,'2003-12-01',2156
48,'2004-01-01',2170
49,'2004-02-01',2199
50,'2004-03-01',2266
51,'2004-04-01',2364
52,'2004-05-01',2442
53,'2004-06-01',2469
54,'2004-07-01',2546
55,'2004-08-01',2573
56,'2004-09-01',2738
57,'2004-10-01',2797
58,'2004-11-01',2867
59,'2004-12-01',2911
60,'2005-01-01',2962
61,'2005-02-01',3062
62,'2005-03-01',3168
63,'2005-04-01',3240
64,'2005-05-01',3307
65,'2005-06-01',3347
66,'2005-07-01',3440
67,'2005-08-01',3550
68,'2005-09-01',3701
69,'2005-10-01',3833
70,'2005-11-01',4046
71,'2005-12-01',4236
72,'2006-01-01',4370
73,'2006-02-01',4639
74,'2006-03-01',4963
75,'2006-04-01',5280
76,'2006-05-01',5529
77,'2006-06-01',5734
78,'2006-07-01',6068
79,'2006-08-01',6273
80,'2006-09-01',6677
81,'2006-10-01',6954
82,'2006-11-01',7617
83,'2006-12-01',8024
84,'2007-01-01',8237
85,'2007-02-01',8998
86,'2007-03-01',9532
87,'2007-04-01',10022
88,'2007-05-01',10384
89,'2007-06-01',10690
90,'2007-07-01',10976
91,'2007-08-01',11245
92,'2007-09-01',11568
93,'2007-10-01',11956
94,'2007-11-01',12511
95,'2007-12-01',12898
96,'2008-01-01',13132
97,'2008-02-01',13861
98,'2008-03-01',14518
99,'2008-04-01',14918
100,'2008-05-01',15422
101,'2008-06-01',15736
102,'2008-07-01',16045
103,'2008-08-01',16391
104,'2008-09-01',16661
105,'2008-10-01',17084
106,'2008-11-01',17758
107,'2008-12-01',18208
108,'2009-01-01',18539
109,'2009-02-01',19251
110,'2009-03-01',19785
111,'2009-04-01',20382
112,'2009-05-01',20823
113,'2009-06-01',21116
114,'2009-07-01',21402
115,'2009-08-01',21669
116,'2009-09-01',22032
117,'2009-10-01',22729
118,'2009-11-01',23325
119,'2009-12-01',23865
120,'2010-01-01',24237
121,'2010-02-01',25118
122,'2010-03-01',25852
123,'2010-04-01',26553
124,'2010-05-01',27044
125,'2010-06-01',27586
126,'2010-07-01',28028
127,'2010-08-01',28422
128,'2010-09-01',28812
129,'2010-10-01',29597
130,'2010-11-01',30452
131,'2010-12-01',31266
