,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',4
4,'2000-05-01',7
5,'2000-06-01',7
6,'2000-07-01',7
7,'2000-08-01',7
8,'2000-09-01',8
9,'2000-10-01',10
10,'2000-11-01',10
11,'2000-12-01',10
12,'2001-01-01',10
13,'2001-02-01',11
14,'2001-03-01',11
15,'2001-04-01',11
16,'2001-05-01',11
17,'2001-06-01',11
18,'2001-07-01',11
19,'2001-08-01',11
20,'2001-09-01',12
21,'2001-10-01',12
22,'2001-11-01',12
23,'2001-12-01',12
24,'2002-01-01',12
25,'2002-02-01',12
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',13
29,'2002-06-01',13
30,'2002-07-01',13
31,'2002-08-01',13
32,'2002-09-01',13
33,'2002-10-01',14
34,'2002-11-01',15
35,'2002-12-01',15
36,'2003-01-01',15
37,'2003-02-01',15
38,'2003-03-01',19
39,'2003-04-01',19
40,'2003-05-01',19
41,'2003-06-01',19
42,'2003-07-01',19
43,'2003-08-01',19
44,'2003-09-01',19
45,'2003-10-01',19
46,'2003-11-01',20
47,'2003-12-01',20
48,'2004-01-01',20
49,'2004-02-01',20
50,'2004-03-01',20
51,'2004-04-01',22
52,'2004-05-01',22
53,'2004-06-01',22
54,'2004-07-01',22
55,'2004-08-01',22
56,'2004-09-01',24
57,'2004-10-01',24
58,'2004-11-01',25
59,'2004-12-01',25
60,'2005-01-01',25
61,'2005-02-01',28
62,'2005-03-01',29
63,'2005-04-01',29
64,'2005-05-01',29
65,'2005-06-01',30
66,'2005-07-01',32
67,'2005-08-01',33
68,'2005-09-01',36
69,'2005-10-01',37
70,'2005-11-01',43
71,'2005-12-01',45
72,'2006-01-01',47
73,'2006-02-01',54
74,'2006-03-01',58
75,'2006-04-01',59
76,'2006-05-01',63
77,'2006-06-01',67
78,'2006-07-01',72
79,'2006-08-01',75
80,'2006-09-01',83
81,'2006-10-01',90
82,'2006-11-01',103
83,'2006-12-01',127
84,'2007-01-01',128
85,'2007-02-01',150
86,'2007-03-01',157
87,'2007-04-01',167
88,'2007-05-01',179
89,'2007-06-01',186
90,'2007-07-01',195
91,'2007-08-01',198
92,'2007-09-01',204
93,'2007-10-01',226
94,'2007-11-01',240
95,'2007-12-01',255
96,'2008-01-01',264
97,'2008-02-01',679
98,'2008-03-01',876
99,'2008-04-01',935
100,'2008-05-01',1084
101,'2008-06-01',1122
102,'2008-07-01',1129
103,'2008-08-01',1192
104,'2008-09-01',1200
105,'2008-10-01',1283
106,'2008-11-01',1561
107,'2008-12-01',1671
108,'2009-01-01',1729
109,'2009-02-01',2124
110,'2009-03-01',2255
111,'2009-04-01',2395
112,'2009-05-01',2498
113,'2009-06-01',2518
114,'2009-07-01',2558
115,'2009-08-01',2618
116,'2009-09-01',2719
117,'2009-10-01',2993
118,'2009-11-01',3237
119,'2009-12-01',3460
120,'2010-01-01',3566
121,'2010-02-01',4097
122,'2010-03-01',4375
123,'2010-04-01',4619
124,'2010-05-01',4687
125,'2010-06-01',4811
126,'2010-07-01',4881
127,'2010-08-01',4921
128,'2010-09-01',4956
129,'2010-10-01',5215
130,'2010-11-01',5526
131,'2010-12-01',5795
132,'2011-01-01',5860
133,'2011-02-01',5969
134,'2011-03-01',6524
135,'2011-04-01',6706
136,'2011-05-01',6918
137,'2011-06-01',7010
138,'2011-07-01',7094
139,'2011-08-01',7153
140,'2011-09-01',7272
141,'2011-10-01',7490
142,'2011-11-01',7898
143,'2011-12-01',8274
144,'2012-01-01',8320
145,'2012-02-01',8914
146,'2012-03-01',9269
147,'2012-04-01',9497
148,'2012-05-01',9683
149,'2012-06-01',9807
150,'2012-07-01',9889
151,'2012-08-01',10038
152,'2012-09-01',10149
153,'2012-10-01',10580
154,'2012-11-01',10730
155,'2012-12-01',11105
