,track
0,0
1,0
2,58
3,72
4,88
5,96
6,101
7,119
8,215
9,269
10,327
11,378
12,409
13,616
14,759
15,789
16,833
17,848
18,859
19,866
20,887
21,920
22,951
23,986
24,997
25,1027
26,1078
27,1090
28,1106
29,1130
30,1149
31,1166
32,1207
33,1259
34,1289
35,1305
36,1326
37,1359
38,1733
39,1767
40,1807
41,1853
42,1880
43,1901
44,2032
45,2085
46,2123
47,2156
48,2170
49,2199
50,2266
51,2364
52,2442
53,2469
54,2546
55,2573
56,2738
57,2797
58,2867
59,2911
60,2962
61,3062
62,3168
63,3240
64,3307
65,3347
66,3440
67,3550
68,3701
69,3833
70,4046
71,4236
72,4370
73,4639
74,4963
75,5280
76,5529
77,5734
78,6068
79,6273
80,6677
81,6954
82,7617
83,8024
84,8237
85,8998
86,9532
87,10022
88,10384
89,10690
90,10976
91,11245
92,11568
93,11956
94,12511
95,12898
96,13132
97,13861
98,14518
99,14918
100,15422
101,15736
102,16045
103,16391
104,16661
105,17084
106,17758
107,18208
108,18539
109,19251
110,19785
111,20382
112,20823
113,21116
114,21402
115,21669
116,22032
117,22729
118,23325
119,23865
120,24237
121,25118
122,25852
123,26553
124,27044
125,27586
126,28028
127,28422
128,28812
129,29597
130,30452
131,31266
132,31695
133,32296
134,33489
135,34185
136,34894
137,35456
138,35929
139,36349
140,36845
141,37581
142,38503
143,39379
144,39826
145,41008
146,42031
147,42841
148,43604
149,44240
150,44742
151,45294
152,45734
153,46694
154,47393
155,48330
156,48790
157,49597
158,51059
159,51794
160,52676
161,53329
162,53845
163,54427
164,55047
165,56237
166,57132
167,58208
168,58610
169,59442
170,60772
171,61632
172,62463
173,62906
174,63302
175,63688
176,64108
177,65149
178,65990
179,66901
180,67513
181,68428
182,69540
183,70644
184,71407
185,71841
186,72170
187,72768
188,73471
189,74878
190,75908
191,76766
