,track
0,0
1,0
2,8
3,11
4,13
5,14
6,15
7,17
8,21
9,24
10,24
11,25
12,27
13,33
14,35
15,36
16,40
17,40
18,40
19,40
20,45
21,45
22,47
23,50
24,51
25,51
26,51
27,51
28,52
29,61
30,62
31,63
32,65
33,69
34,74
35,76
36,77
37,80
38,84
39,85
40,88
41,91
42,92
43,93
44,95
45,97
46,98
47,101
48,101
49,104
50,106
51,108
52,109
53,112
54,117
55,118
56,120
57,123
58,131
59,131
60,136
61,148
62,151
63,156
64,161
65,164
66,171
67,179
68,188
69,195
70,204
71,216
72,234
73,246
74,255
75,266
76,284
77,305
78,321
79,331
80,345
81,365
82,385
83,405
84,413
85,428
86,445
87,455
88,474
89,492
90,508
91,514
92,528
93,545
94,559
95,571
96,580
97,587
98,603
99,619
100,632
101,641
102,651
103,664
104,676
105,696
106,712
107,721
108,732
109,742
110,750
111,765
112,779
113,789
114,794
115,803
116,814
117,833
118,848
119,859
120,868
121,880
122,894
123,903
124,913
125,927
126,938
127,944
128,953
129,964
130,972
131,983
132,994
133,1007
134,1020
135,1029
136,1043
137,1063
138,1079
139,1088
140,1093
141,1104
142,1112
143,1120
144,1126
145,1141
146,1156
147,1171
148,1190
149,1201
150,1211
151,1219
152,1235
153,1247
154,1261
155,1273
156,1280
157,1295
158,1316
159,1328
160,1340
161,1357
162,1363
163,1372
164,1384
165,1405
166,1418
167,1432
168,1436
169,1456
170,1471
171,1483
172,1494
173,1500
174,1515
175,1522
176,1526
177,1539
178,1549
179,1559
180,1567
181,1576
182,1590
183,1603
184,1613
185,1621
186,1630
187,1644
188,1653
189,1674
190,1687
191,1693
192,1698
193,1705
194,1717
195,1726
196,1733
197,1739
198,1751
199,1758
200,1768
201,1778
202,1788
203,1800
204,1810
205,1817
206,1826
207,1836
208,1841
209,1851
210,1861
211,1870
212,1874
213,1882
214,1890
215,1896
216,1903
217,1908
218,1918
219,1922
220,1928
221,1934
222,1943
223,1948
224,1957
225,1962
226,1972
227,1974
228,1976
229,1979
230,1983
231,1993
232,1997
233,2007
234,2012
235,2017
236,2024
237,2030
238,2037
239,2046
240,2050
241,2057
242,2067
243,2074
244,2086
245,2090
246,2095
247,2100
248,2104
249,2113
250,2123
251,2130
252,2131
253,2134
254,2137
255,2138
256,2142
257,2148
258,2150
259,2154
260,2158
261,2162
262,2163
263,2166
264,2170
265,2175
266,2177
267,2177
268,2177
269,2177
270,2177
271,2177
272,2177
273,2177
274,2177
275,2177
