,track
0,0
1,0
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,5
10,5
11,5
12,6
13,8
14,9
15,9
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,11
25,12
26,12
27,12
28,12
29,15
30,15
31,16
32,16
33,17
34,19
35,19
36,19
37,19
38,19
39,19
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,21
48,21
49,21
50,21
51,21
52,21
53,21
54,21
55,21
56,22
57,24
58,25
59,26
60,27
61,32
62,34
63,34
64,35
65,35
66,37
67,38
68,44
69,48
70,50
71,55
72,59
73,62
74,69
75,73
76,81
77,87
78,90
79,94
80,101
81,108
82,117
83,125
84,136
85,145
86,160
87,174
88,183
89,191
90,202
91,210
92,214
93,220
94,238
95,257
96,271
97,316
98,369
99,400
100,443
101,468
102,493
103,534
104,544
105,571
106,610
107,656
108,698
109,728
110,765
111,796
112,844
113,873
114,888
115,904
116,919
117,952
118,995
119,1038
120,1087
121,1125
122,1206
123,1268
124,1335
125,1393
126,1435
127,1479
128,1512
129,1585
130,1660
131,1790
132,1845
133,1921
134,1991
135,2067
136,2150
137,2201
138,2273
139,2301
140,2324
141,2390
142,2488
143,2600
144,2669
145,2733
146,2826
147,2912
148,3062
149,3129
150,3177
151,3222
152,3249
153,3335
154,3404
155,3524
156,3567
157,3647
158,3746
159,3813
160,3936
161,4010
162,4071
163,4112
164,4167
165,4295
166,4400
167,4548
168,4589
169,4639
170,4757
171,4848
172,4944
173,4988
174,5033
175,5058
176,5085
177,5169
178,5261
179,5345
180,5419
181,5522
182,5618
183,5738
184,5834
185,5862
186,5897
187,5953
188,6041
189,6105
190,6198
191,6309
192,6361
193,6434
194,6520
195,6592
196,6718
197,6780
198,6867
199,6913
200,7014
201,7129
202,7246
203,7348
204,7422
205,7521
206,7615
207,7758
208,7858
209,7928
210,7999
211,8069
212,8167
213,8318
214,8442
215,8575
216,8624
217,8720
218,8853
219,9006
220,9120
221,9211
222,9291
223,9363
224,9432
225,9526
226,9708
227,9828
228,9909
229,10044
230,10183
231,10308
232,10432
233,10525
234,10647
235,10740
236,10798
237,10916
238,11076
239,11211
240,11276
241,11360
242,11448
243,11683
244,12115
245,12573
246,12900
247,13058
248,13261
249,13546
250,13874
251,14213
252,14433
253,14670
254,14868
255,15067
256,15365
257,15713
258,15921
259,16046
260,16227
261,16405
262,16546
263,16817
264,17025
265,17025
266,17025
267,17025
268,17025
269,17025
270,17025
271,17025
272,17025
273,17025
274,17025
275,17025
