,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
0,2000-01-01,0,0,0,0,0,0,0,0,0,,,,,
1,2000-02-01,0,0,0,0,0,0,0,0,0,,,,,
2,2000-03-01,58,6,3,0,3,0,45,8,8,10.16949152542373,0.0,13.559322033898304,76.27118644067797,13.559322033898304
3,2000-04-01,72,7,3,0,4,0,55,11,11,9.58904109589041,0.0,15.068493150684931,75.34246575342466,15.068493150684931
4,2000-05-01,88,10,3,0,7,0,68,13,13,10.989010989010989,0.0,14.285714285714285,74.72527472527473,14.285714285714285
5,2000-06-01,96,11,3,1,7,0,74,14,14,11.11111111111111,0.0,14.14141414141414,74.74747474747475,14.14141414141414
6,2000-07-01,101,13,5,1,7,0,76,15,15,12.5,0.0,14.423076923076922,73.07692307692307,14.423076923076922
7,2000-08-01,119,13,5,1,7,0,92,17,17,10.655737704918032,0.0,13.934426229508196,75.40983606557377,13.934426229508196
8,2000-09-01,215,15,5,2,8,0,184,21,21,6.8181818181818175,0.0,9.545454545454547,83.63636363636363,9.545454545454547
9,2000-10-01,269,17,5,2,10,0,234,24,24,6.181818181818182,0.0,8.727272727272728,85.0909090909091,8.727272727272728
10,2000-11-01,327,17,5,2,10,0,292,24,24,5.105105105105105,0.0,7.207207207207207,87.68768768768768,7.207207207207207
11,2000-12-01,378,17,5,2,10,0,342,25,25,4.427083333333334,0.0,6.510416666666667,89.0625,6.510416666666667
12,2001-01-01,409,18,6,2,10,0,371,27,27,4.326923076923077,0.0,6.490384615384616,89.1826923076923,6.490384615384616
13,2001-02-01,616,22,8,3,11,0,570,33,33,3.52,0.0,5.28,91.2,5.28
14,2001-03-01,759,23,9,3,11,0,710,35,35,2.994791666666667,0.0,4.557291666666666,92.44791666666666,4.557291666666666
15,2001-04-01,789,24,9,4,11,0,738,36,36,3.007518796992481,0.0,4.511278195488721,92.4812030075188,4.511278195488721
16,2001-05-01,833,25,10,4,11,0,778,40,40,2.965599051008304,0.0,4.744958481613286,92.28944246737841,4.744958481613286
17,2001-06-01,848,25,10,4,11,0,793,40,40,2.9137529137529135,0.0,4.662004662004662,92.42424242424242,4.662004662004662
18,2001-07-01,859,25,10,4,11,0,804,40,40,2.8768699654775602,0.0,4.602991944764097,92.52013808975835,4.602991944764097
19,2001-08-01,866,25,10,4,11,0,811,40,40,2.853881278538813,0.0,4.5662100456621,92.57990867579909,4.5662100456621
20,2001-09-01,887,26,10,4,12,0,827,45,45,2.89532293986637,0.0,5.011135857461024,92.0935412026726,5.011135857461024
21,2001-10-01,920,26,10,4,12,0,860,45,45,2.7926960257787328,0.0,4.833512352309345,92.37379162191192,4.833512352309345
22,2001-11-01,951,26,10,4,12,0,889,47,47,2.7027027027027026,0.0,4.885654885654886,92.41164241164242,4.885654885654886
23,2001-12-01,986,26,10,4,12,0,921,50,50,2.6078234704112337,0.0,5.015045135406218,92.37713139418254,5.015045135406218
24,2002-01-01,997,27,11,4,12,0,931,51,51,2.6759167492566895,0.0,5.054509415262636,92.26957383548068,5.054509415262636
25,2002-02-01,1027,28,12,4,12,0,960,51,51,2.6948989412897015,0.0,4.908565928777671,92.39653512993262,4.908565928777671
26,2002-03-01,1078,28,12,4,12,0,1011,51,51,2.5688073394495414,0.0,4.678899082568807,92.75229357798165,4.678899082568807
27,2002-04-01,1090,28,12,4,12,0,1023,51,51,2.540834845735027,0.0,4.627949183303085,92.83121597096189,4.627949183303085
28,2002-05-01,1106,29,12,4,13,0,1038,52,52,2.5915996425379806,0.0,4.647006255585344,92.76139410187668,4.647006255585344
29,2002-06-01,1130,33,15,5,13,0,1053,61,61,2.877070619006103,0.0,5.3182214472537055,91.80470793374019,5.3182214472537055
30,2002-07-01,1149,33,15,5,13,0,1071,62,62,2.8301886792452833,0.0,5.317324185248713,91.852487135506,5.317324185248713
31,2002-08-01,1166,34,16,5,13,0,1086,63,63,2.8740490278951816,0.0,5.325443786982249,91.80050718512257,5.325443786982249
32,2002-09-01,1207,34,16,5,13,0,1125,65,65,2.7777777777777777,0.0,5.310457516339869,91.91176470588235,5.310457516339869
33,2002-10-01,1259,36,17,5,14,0,1173,69,69,2.8169014084507045,0.0,5.39906103286385,91.78403755868545,5.39906103286385
34,2002-11-01,1289,39,19,5,15,0,1197,74,74,2.9770992366412212,0.0,5.648854961832061,91.37404580152672,5.648854961832061
35,2002-12-01,1305,39,19,5,15,0,1211,76,76,2.941176470588235,0.0,5.731523378582202,91.32730015082956,5.731523378582202
36,2003-01-01,1326,40,19,6,15,0,1230,77,77,2.969561989606533,0.0,5.716406829992576,91.31403118040089,5.716406829992576
37,2003-02-01,1359,40,19,6,15,0,1260,80,80,2.898550724637681,0.0,5.797101449275362,91.30434782608695,5.797101449275362
38,2003-03-01,1733,45,19,7,19,1,1625,84,85,2.564102564102564,0.056980056980056974,4.786324786324787,92.5925925925926,4.843304843304843
39,2003-04-01,1767,46,19,8,19,1,1657,85,86,2.57126886528787,0.05589714924538849,4.751257685858022,92.62157629960872,4.807154835103409
40,2003-05-01,1807,49,20,10,19,1,1694,88,89,2.6746724890829694,0.05458515283842794,4.8034934497816595,92.46724890829694,4.858078602620088
41,2003-06-01,1853,50,20,11,19,1,1736,91,92,2.6624068157614484,0.05324813631522897,4.845580404685836,92.43876464323749,4.898828541001065
42,2003-07-01,1880,50,20,11,19,1,1762,92,93,2.6246719160104988,0.05249343832020997,4.829396325459317,92.49343832020998,4.881889763779528
43,2003-08-01,1901,50,20,11,19,1,1782,93,94,2.596053997923157,0.05192107995846314,4.8286604361370715,92.5233644859813,4.880581516095535
44,2003-09-01,2032,51,20,12,19,1,1910,95,96,2.479338842975207,0.04861448711716091,4.618376276130287,92.85367039377735,4.666990763247448
45,2003-10-01,2085,51,20,12,19,1,1961,97,98,2.4170616113744074,0.047393364928909956,4.597156398104266,92.93838862559241,4.644549763033176
46,2003-11-01,2123,52,20,12,20,1,1998,98,99,2.419730107026524,0.04653327128897162,4.5602605863192185,92.9734760353653,4.60679385760819
47,2003-12-01,2156,53,21,12,20,1,2027,101,102,2.4289642529789184,0.045829514207149404,4.62878093492209,92.89642529789184,4.674610449129239
48,2004-01-01,2170,53,21,12,20,1,2041,101,102,2.413479052823315,0.04553734061930783,4.599271402550091,92.94171220400729,4.644808743169399
49,2004-02-01,2199,53,21,12,20,1,2067,104,105,2.3820224719101124,0.0449438202247191,4.674157303370786,92.89887640449437,4.719101123595506
50,2004-03-01,2266,55,21,14,20,1,2131,106,107,2.398604448320977,0.04361098996947231,4.622764936764065,92.93501962494548,4.6663759267335365
51,2004-04-01,2364,58,21,15,22,1,2225,108,109,2.4247491638795986,0.04180602006688963,4.51505016722408,93.01839464882943,4.55685618729097
52,2004-05-01,2442,59,21,16,22,1,2301,109,110,2.388663967611336,0.04048582995951417,4.412955465587045,93.15789473684211,4.4534412955465585
53,2004-06-01,2469,59,21,16,22,1,2325,112,113,2.3628354024829794,0.040048057669203045,4.485382458950741,93.11173408089708,4.525430516619943
54,2004-07-01,2546,59,21,16,22,1,2397,117,118,2.292152292152292,0.03885003885003885,4.545454545454546,93.12354312354313,4.584304584304584
55,2004-08-01,2573,60,21,17,22,1,2422,118,119,2.306805074971165,0.03844675124951942,4.536716647443291,93.11803152633603,4.57516339869281
56,2004-09-01,2738,67,22,21,24,1,2580,120,121,2.4205202312138727,0.0361271676300578,4.335260115606936,93.20809248554913,4.371387283236994
57,2004-10-01,2797,71,24,23,24,1,2633,123,124,2.5106082036775104,0.03536067892503536,4.3493635077793495,93.1046676096181,4.384724186704385
58,2004-11-01,2867,74,25,24,25,1,2694,131,132,2.5517241379310347,0.034482758620689655,4.517241379310344,92.89655172413794,4.551724137931035
59,2004-12-01,2911,75,26,24,25,1,2737,131,132,2.547554347826087,0.033967391304347824,4.449728260869565,92.96875,4.483695652173913
60,2005-01-01,2962,77,27,25,25,1,2782,136,137,2.570093457943925,0.03337783711615487,4.539385847797063,92.85714285714286,4.572763684913218
61,2005-02-01,3062,87,32,27,28,1,2864,148,149,2.806451612903226,0.03225806451612903,4.774193548387097,92.38709677419354,4.806451612903226
62,2005-03-01,3168,92,34,29,29,1,2963,151,152,2.868724664795759,0.031181789834736514,4.708450265045213,92.39164328032429,4.73963205487995
63,2005-04-01,3240,96,34,33,29,1,3028,156,157,2.925937214263944,0.030478512648582746,4.754647973178909,92.28893629990857,4.785126485827491
64,2005-05-01,3307,98,35,34,29,1,3088,161,162,2.927120669056153,0.02986857825567503,4.80884109916368,92.23416965352449,4.838709677419355
65,2005-06-01,3347,101,35,36,30,1,3122,164,165,2.9811097992916173,0.029515938606847696,4.8406139315230226,92.14876033057851,4.870129870129871
66,2005-07-01,3440,106,37,37,32,1,3207,171,172,3.0416068866571018,0.028694404591104734,4.906743185078909,92.02295552367289,4.9354375896700144
67,2005-08-01,3550,108,38,37,33,1,3307,179,180,3.004172461752434,0.027816411682892908,4.97913769123783,91.98887343532685,5.006954102920723
