,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',1
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',3
7,'2000-08-01',3
8,'2000-09-01',3
9,'2000-10-01',5
10,'2000-11-01',6
11,'2000-12-01',6
12,'2001-01-01',6
13,'2001-02-01',10
14,'2001-03-01',11
15,'2001-04-01',11
16,'2001-05-01',12
17,'2001-06-01',12
18,'2001-07-01',12
19,'2001-08-01',12
20,'2001-09-01',13
21,'2001-10-01',13
22,'2001-11-01',13
23,'2001-12-01',13
24,'2002-01-01',14
25,'2002-02-01',14
26,'2002-03-01',16
27,'2002-04-01',18
28,'2002-05-01',16
29,'2002-06-01',14
30,'2002-07-01',14
31,'2002-08-01',16
32,'2002-09-01',16
33,'2002-10-01',20
34,'2002-11-01',23
35,'2002-12-01',25
