,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',2
3,'2000-04-01',2
4,'2000-05-01',4
5,'2000-06-01',5
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',7
9,'2000-10-01',9
10,'2000-11-01',9
11,'2000-12-01',9
12,'2001-01-01',10
13,'2001-02-01',14
14,'2001-03-01',14
15,'2001-04-01',15
16,'2001-05-01',15
17,'2001-06-01',14
18,'2001-07-01',13
19,'2001-08-01',13
20,'2001-09-01',13
21,'2001-10-01',13
22,'2001-11-01',13
23,'2001-12-01',13
24,'2002-01-01',14
25,'2002-02-01',14
26,'2002-03-01',13
27,'2002-04-01',13
28,'2002-05-01',12
29,'2002-06-01',16
30,'2002-07-01',16
31,'2002-08-01',17
32,'2002-09-01',18
33,'2002-10-01',19
34,'2002-11-01',22
35,'2002-12-01',21
36,'2003-01-01',20
37,'2003-02-01',21
38,'2003-03-01',26
39,'2003-04-01',27
40,'2003-05-01',30
41,'2003-06-01',28
42,'2003-07-01',28
43,'2003-08-01',26
44,'2003-09-01',27
45,'2003-10-01',27
46,'2003-11-01',28
47,'2003-12-01',28
