,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',9
3,'2000-04-01',10
4,'2000-05-01',11
5,'2000-06-01',11
6,'2000-07-01',12
7,'2000-08-01',13
8,'2000-09-01',15
9,'2000-10-01',20
10,'2000-11-01',21
11,'2000-12-01',24
12,'2001-01-01',24
13,'2001-02-01',31
14,'2001-03-01',32
15,'2001-04-01',32
16,'2001-05-01',32
17,'2001-06-01',34
18,'2001-07-01',34
19,'2001-08-01',34
20,'2001-09-01',36
21,'2001-10-01',37
22,'2001-11-01',40
23,'2001-12-01',40
24,'2002-01-01',40
25,'2002-02-01',41
26,'2002-03-01',47
27,'2002-04-01',49
28,'2002-05-01',48
29,'2002-06-01',53
30,'2002-07-01',54
31,'2002-08-01',54
32,'2002-09-01',63
33,'2002-10-01',72
34,'2002-11-01',72
35,'2002-12-01',74
36,'2003-01-01',79
37,'2003-02-01',80
38,'2003-03-01',128
39,'2003-04-01',130
40,'2003-05-01',129
41,'2003-06-01',131
42,'2003-07-01',137
43,'2003-08-01',141
44,'2003-09-01',158
45,'2003-10-01',168
46,'2003-11-01',176
47,'2003-12-01',176
