,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',58
3,'2000-04-01',72
4,'2000-05-01',88
5,'2000-06-01',96
6,'2000-07-01',101
7,'2000-08-01',119
8,'2000-09-01',215
9,'2000-10-01',269
10,'2000-11-01',327
11,'2000-12-01',378
12,'2001-01-01',409
13,'2001-02-01',616
14,'2001-03-01',753
15,'2001-04-01',779
16,'2001-05-01',804
17,'2001-06-01',811
18,'2001-07-01',817
19,'2001-08-01',806
20,'2001-09-01',807
21,'2001-10-01',814
22,'2001-11-01',775
23,'2001-12-01',742
24,'2002-01-01',684
25,'2002-02-01',665
26,'2002-03-01',662
27,'2002-04-01',647
28,'2002-05-01',394
29,'2002-06-01',388
30,'2002-07-01',394
31,'2002-08-01',404
32,'2002-09-01',445
33,'2002-10-01',485
34,'2002-11-01',503
35,'2002-12-01',480
36,'2003-01-01',457
37,'2003-02-01',478
38,'2003-03-01',834
39,'2003-04-01',853
40,'2003-05-01',825
41,'2003-06-01',847
42,'2003-07-01',856
43,'2003-08-01',860
44,'2003-09-01',973
45,'2003-10-01',1012
46,'2003-11-01',1020
47,'2003-12-01',1032
