,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',0
6,'2000-07-01',1
7,'2000-08-01',1
8,'2000-09-01',1
9,'2000-10-01',1
10,'2000-11-01',1
11,'2000-12-01',1
12,'2001-01-01',1
13,'2001-02-01',1
14,'2001-03-01',1
15,'2001-04-01',1
16,'2001-05-01',1
17,'2001-06-01',1
18,'2001-07-01',1
19,'2001-08-01',1
20,'2001-09-01',0
21,'2001-10-01',0
22,'2001-11-01',0
23,'2001-12-01',0
24,'2002-01-01',0
25,'2002-02-01',0
26,'2002-03-01',0
27,'2002-04-01',0
28,'2002-05-01',0
29,'2002-06-01',0
30,'2002-07-01',0
31,'2002-08-01',0
32,'2002-09-01',0
33,'2002-10-01',0
34,'2002-11-01',0
35,'2002-12-01',0
36,'2003-01-01',0
37,'2003-02-01',0
38,'2003-03-01',0
39,'2003-04-01',0
40,'2003-05-01',0
41,'2003-06-01',0
42,'2003-07-01',0
43,'2003-08-01',0
44,'2003-09-01',0
45,'2003-10-01',0
46,'2003-11-01',0
47,'2003-12-01',0
48,'2004-01-01',0
49,'2004-02-01',0
50,'2004-03-01',0
51,'2004-04-01',0
52,'2004-05-01',0
53,'2004-06-01',0
54,'2004-07-01',0
55,'2004-08-01',0
56,'2004-09-01',0
57,'2004-10-01',0
58,'2004-11-01',0
59,'2004-12-01',0
