,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',4
4,'2000-05-01',7
5,'2000-06-01',7
6,'2000-07-01',7
7,'2000-08-01',7
8,'2000-09-01',7
9,'2000-10-01',8
10,'2000-11-01',8
11,'2000-12-01',8
12,'2001-01-01',8
13,'2001-02-01',9
14,'2001-03-01',9
15,'2001-04-01',9
16,'2001-05-01',5
17,'2001-06-01',5
18,'2001-07-01',4
19,'2001-08-01',3
20,'2001-09-01',3
21,'2001-10-01',4
22,'2001-11-01',4
23,'2001-12-01',4
24,'2002-01-01',4
25,'2002-02-01',4
26,'2002-03-01',4
27,'2002-04-01',4
28,'2002-05-01',5
29,'2002-06-01',5
30,'2002-07-01',5
31,'2002-08-01',5
32,'2002-09-01',5
33,'2002-10-01',5
34,'2002-11-01',6
35,'2002-12-01',6
36,'2003-01-01',5
37,'2003-02-01',5
38,'2003-03-01',9
39,'2003-04-01',9
40,'2003-05-01',9
41,'2003-06-01',9
42,'2003-07-01',9
43,'2003-08-01',9
44,'2003-09-01',9
45,'2003-10-01',9
46,'2003-11-01',10
47,'2003-12-01',10
48,'2004-01-01',10
49,'2004-02-01',10
50,'2004-03-01',10
51,'2004-04-01',11
52,'2004-05-01',9
53,'2004-06-01',8
54,'2004-07-01',8
55,'2004-08-01',8
56,'2004-09-01',9
57,'2004-10-01',8
58,'2004-11-01',8
59,'2004-12-01',8
