,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',1
6,'2000-07-01',1
7,'2000-08-01',1
8,'2000-09-01',2
9,'2000-10-01',2
10,'2000-11-01',2
11,'2000-12-01',2
12,'2001-01-01',2
13,'2001-02-01',3
14,'2001-03-01',3
15,'2001-04-01',4
16,'2001-05-01',4
17,'2001-06-01',3
18,'2001-07-01',3
19,'2001-08-01',3
20,'2001-09-01',2
21,'2001-10-01',2
22,'2001-11-01',2
23,'2001-12-01',2
24,'2002-01-01',2
25,'2002-02-01',2
26,'2002-03-01',2
27,'2002-04-01',2
28,'2002-05-01',2
29,'2002-06-01',3
30,'2002-07-01',3
31,'2002-08-01',3
32,'2002-09-01',4
33,'2002-10-01',3
34,'2002-11-01',3
35,'2002-12-01',3
36,'2003-01-01',4
37,'2003-02-01',4
38,'2003-03-01',5
39,'2003-04-01',6
40,'2003-05-01',8
41,'2003-06-01',8
42,'2003-07-01',8
43,'2003-08-01',8
44,'2003-09-01',9
45,'2003-10-01',9
46,'2003-11-01',9
47,'2003-12-01',9
48,'2004-01-01',9
49,'2004-02-01',9
50,'2004-03-01',12
51,'2004-04-01',12
52,'2004-05-01',13
53,'2004-06-01',13
54,'2004-07-01',13
55,'2004-08-01',13
56,'2004-09-01',16
57,'2004-10-01',18
58,'2004-11-01',20
59,'2004-12-01',19
