,track
0,0
1,0
2,45
3,55
4,68
5,74
6,76
7,92
8,184
9,235
10,293
11,343
12,372
13,571
14,707
15,731
16,756
17,764
18,774
19,765
20,765
21,771
22,730
23,696
24,640
25,622
26,622
27,608
28,359
29,347
30,352
31,361
32,400
33,438
34,450
35,425
36,401
37,417
38,763
39,783
40,752
41,774
42,782
43,789
44,899
45,937
46,947
47,957
48,908
49,911
50,931
51,993
52,979
53,743
54,778
55,779
56,916
57,952
58,992
59,993
60,908
61,976
62,1033
63,978
64,941
65,951
66,974
67,1052
68,1144
69,1220
70,1370
71,1473
72,1454
73,1667
74,1909
75,2132
76,2252
77,2385
78,2617
79,2707
80,3013
81,3164
82,3636
83,3837
84,3887
85,4392
86,4714
87,4912
88,4983
89,5102
90,5070
91,5156
92,5195
93,5349
94,5325
95,5230
96,5215
97,5551
98,5591
99,5530
100,5492
101,5445
102,5466
103,5427
104,5403
105,5375
106,5385
107,5140
108,5094
109,5036
110,4575
111,4474
112,4149
113,3995
114,3911
115,3843
116,3798
117,3811
118,3762
119,3724
120,3690
121,3737
122,3756
123,3764
124,3818
125,3897
126,3970
127,4097
128,4252
129,4397
130,4600
131,4761
