,track
0,0
1,0
2,6
3,7
4,10
5,11
6,13
7,13
8,15
9,16
10,16
11,16
12,17
13,21
14,20
15,21
16,18
17,17
18,15
19,14
20,12
21,13
22,13
23,13
24,13
25,13
26,12
27,12
28,11
29,15
30,15
31,16
32,17
33,17
34,19
35,18
36,17
37,18
38,23
39,24
40,27
41,25
42,25
43,23
44,24
45,24
46,25
47,25
48,25
49,25
50,28
51,28
52,27
53,27
54,28
55,28
56,32
57,35
58,38
59,37
60,41
61,49
62,54
63,56
64,56
65,58
66,61
67,63
68,73
69,81
70,90
71,101
72,106
73,116
74,127
75,135
76,150
77,166
78,178
79,188
80,210
81,225
82,248
83,258
84,274
85,309
86,329
87,351
88,362
89,378
90,396
91,407
92,418
93,435
94,463
95,491
96,506
97,539
98,560
99,578
100,606
101,638
102,657
103,763
104,805
105,964
106,1313
107,1470
108,1578
109,2052
110,2296
111,2544
112,2711
113,2759
114,2814
115,2798
116,2965
117,3351
118,3580
119,3504
120,3550
121,4089
122,4416
123,4282
124,4147
125,4289
126,4353
127,4362
128,4427
129,4791
130,5091
131,4951
132,4742
133,4831
134,5391
135,5153
136,5157
137,5031
138,5078
139,5055
140,5221
141,5478
142,5846
143,5727
144,5470
145,6165
146,6447
147,6348
148,6112
149,6005
150,5984
151,6087
152,6200
153,6672
154,6569
155,6392
