,track
0,0
1,0
2,9
3,10
4,11
5,11
6,12
7,13
8,15
9,20
10,21
11,24
12,24
13,31
14,32
15,32
16,32
17,34
18,34
19,34
20,36
21,37
22,40
23,40
24,40
25,41
26,47
27,49
28,48
29,53
30,54
31,54
32,63
33,72
34,72
35,74
36,79
37,80
38,128
39,130
40,129
41,131
42,137
43,141
44,158
45,168
46,176
47,176
48,169
49,168
50,179
51,184
52,185
53,175
54,179
55,179
56,220
57,234
58,249
59,252
60,250
61,268
62,281
63,267
64,257
65,263
66,275
67,287
68,313
69,335
70,365
71,394
72,394
73,431
74,469
75,519
76,539
77,565
78,604
79,619
80,652
81,680
82,715
83,722
84,732
85,760
86,804
87,851
88,888
89,917
90,933
91,951
92,987
93,1017
94,1035
95,1041
96,1039
97,1053
98,1071
99,1075
100,1056
101,1064
102,1074
103,1087
104,1107
105,1131
106,1156
107,1168
108,1191
109,1209
110,1232
111,1237
112,1255
113,1262
114,1280
115,1279
116,1264
117,1286
118,1305
119,1311
120,1297
121,1316
122,1328
123,1345
124,1354
125,1366
126,1340
127,1368
128,1418
129,1463
130,1507
131,1540
132,1582
133,1606
134,1629
135,1645
136,1649
137,1680
138,1691
139,1698
140,1712
141,1718
142,1725
143,1712
144,1694
145,1729
146,1759
147,1789
148,1821
149,1840
150,1860
151,1877
152,1898
153,1874
154,1871
155,1859
