,track
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,3
14,6
15,6
16,5
17,5
18,5
19,5
20,5
21,5
22,6
23,6
24,6
25,9
26,15
27,15
28,16
29,15
30,15
31,15
32,17
33,19
34,19
35,20
36,20
37,20
38,19
39,24
40,23
41,26
42,28
43,30
44,30
45,31
46,31
47,37
48,39
49,39
50,38
51,45
52,55
53,53
54,73
55,73
56,74
57,75
58,79
59,77
60,78
61,81
62,82
63,73
64,71
65,69
66,55
67,72
68,72
69,72
70,81
71,89
72,87
73,99
74,101
75,125
76,128
77,141
78,159
79,155
80,173
81,184
82,238
83,254
84,261
85,320
86,357
87,359
88,374
89,378
90,371
91,386
92,382
93,389
94,465
95,463
96,463
97,404
98,373
99,361
100,353
101,348
102,347
103,335
104,326
105,326
106,313
107,199
108,189
109,201
110,205
111,213
112,224
113,221
114,218
115,211
116,227
117,237
118,230
119,221
120,220
121,220
122,227
123,220
124,217
125,214
126,219
127,231
128,230
129,228
130,241
131,278
132,286
133,284
134,279
135,282
136,287
137,297
138,289
139,278
140,277
141,275
142,270
143,248
144,238
145,239
146,236
147,238
148,226
149,228
150,225
151,242
152,233
153,239
154,247
155,261
156,261
157,267
158,280
159,288
160,310
161,323
162,337
163,343
164,344
165,340
166,333
167,333
