,track
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,4
16,4
17,3
18,3
19,3
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,3
30,3
31,3
32,4
33,3
34,3
35,3
36,4
37,4
38,5
39,6
40,8
41,8
42,8
43,8
44,9
45,9
46,9
47,9
48,9
49,9
50,12
51,12
52,13
53,13
54,13
55,13
56,16
57,18
58,20
59,19
60,21
61,23
62,25
63,27
64,26
65,28
66,29
67,28
68,31
69,34
70,37
71,42
72,43
73,47
74,51
75,54
76,58
77,63
78,68
79,71
80,85
81,88
82,93
83,95
84,102
85,114
86,121
87,128
88,131
89,136
90,142
91,146
92,150
93,153
94,163
95,174
96,177
97,189
98,205
99,213
100,224
101,242
102,245
103,256
104,279
105,327
106,362
107,378
108,391
109,437
110,514
111,602
112,630
113,640
114,652
115,667
116,725
117,861
118,910
119,898
120,898
121,956
122,1021
123,1029
124,949
125,949
126,943
127,941
128,946
129,1036
130,1043
131,1010
132,904
133,970
134,1111
135,1140
136,1154
137,1151
138,1133
139,1158
140,1211
141,1299
142,1319
143,1290
144,1199
145,1367
146,1505
147,1533
148,1393
149,1248
150,1225
151,1215
152,1236
153,1320
154,1337
155,1250
156,1187
157,1312
158,1452
159,1420
160,1295
161,1231
162,1213
163,1223
164,1259
165,1384
166,1376
167,1351
168,1289
169,1453
170,1511
171,1455
172,1341
173,1281
174,1242
175,1249
176,1295
177,1398
178,1413
179,1332
