,track
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,4
94,9
95,18
96,19
97,41
98,49
99,53
100,56
101,56
102,58
103,59
104,60
105,63
106,76
107,80
108,82
109,94
110,86
111,85
112,67
113,57
114,53
115,51
116,70
117,179
118,185
119,195
120,213
121,251
122,255
123,254
124,247
125,249
126,256
127,256
128,263
129,330
130,353
131,372
132,268
133,299
134,331
135,337
136,290
137,278
138,276
139,271
140,341
141,386
142,398
143,407
144,342
145,442
146,458
147,460
148,428
149,370
150,363
151,357
152,407
153,499
154,514
155,512
156,443
157,481
158,497
159,493
160,416
161,367
162,364
163,358
164,416
165,526
166,539
167,540
168,422
169,473
170,457
171,451
172,394
173,368
174,365
175,356
176,370
177,396
178,409
179,420
180,301
181,304
182,262
183,270
184,226
185,221
186,226
187,226
188,299
189,387
190,512
191,524
