,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',4
5,'2000-06-01',4
6,'2000-07-01',4
7,'2000-08-01',5
8,'2000-09-01',6
9,'2000-10-01',8
10,'2000-11-01',8
11,'2000-12-01',8
12,'2001-01-01',8
13,'2001-02-01',12
14,'2001-03-01',14
15,'2001-04-01',14
16,'2001-05-01',13
17,'2001-06-01',13
18,'2001-07-01',14
19,'2001-08-01',14
20,'2001-09-01',15
21,'2001-10-01',18
22,'2001-11-01',22
23,'2001-12-01',22
24,'2002-01-01',21
25,'2002-02-01',26
26,'2002-03-01',37
27,'2002-04-01',39
28,'2002-05-01',43
29,'2002-06-01',49
30,'2002-07-01',62
31,'2002-08-01',70
32,'2002-09-01',77
33,'2002-10-01',86
34,'2002-11-01',100
35,'2002-12-01',108
36,'2003-01-01',121
37,'2003-02-01',124
38,'2003-03-01',143
39,'2003-04-01',149
40,'2003-05-01',155
41,'2003-06-01',161
42,'2003-07-01',158
43,'2003-08-01',157
44,'2003-09-01',165
45,'2003-10-01',163
46,'2003-11-01',153
47,'2003-12-01',152
48,'2004-01-01',144
49,'2004-02-01',144
50,'2004-03-01',140
51,'2004-04-01',186
52,'2004-05-01',216
53,'2004-06-01',213
54,'2004-07-01',226
55,'2004-08-01',230
56,'2004-09-01',242
57,'2004-10-01',251
58,'2004-11-01',266
59,'2004-12-01',273
60,'2005-01-01',293
61,'2005-02-01',298
62,'2005-03-01',306
63,'2005-04-01',279
64,'2005-05-01',255
65,'2005-06-01',258
66,'2005-07-01',272
67,'2005-08-01',311
68,'2005-09-01',336
69,'2005-10-01',370
70,'2005-11-01',424
71,'2005-12-01',485
72,'2006-01-01',521
73,'2006-02-01',651
74,'2006-03-01',724
75,'2006-04-01',802
76,'2006-05-01',883
77,'2006-06-01',945
78,'2006-07-01',1061
79,'2006-08-01',1123
80,'2006-09-01',1230
81,'2006-10-01',1292
82,'2006-11-01',1397
83,'2006-12-01',1521
84,'2007-01-01',1537
85,'2007-02-01',1603
86,'2007-03-01',1681
87,'2007-04-01',1773
88,'2007-05-01',1818
89,'2007-06-01',1884
90,'2007-07-01',1844
91,'2007-08-01',1863
92,'2007-09-01',1850
93,'2007-10-01',1887
94,'2007-11-01',1849
95,'2007-12-01',1803
96,'2008-01-01',1828
97,'2008-02-01',1720
98,'2008-03-01',1665
99,'2008-04-01',1597
100,'2008-05-01',1567
101,'2008-06-01',1540
102,'2008-07-01',1568
103,'2008-08-01',1557
104,'2008-09-01',1534
105,'2008-10-01',1522
106,'2008-11-01',1565
107,'2008-12-01',1561
108,'2009-01-01',1584
109,'2009-02-01',1596
110,'2009-03-01',1621
111,'2009-04-01',1664
112,'2009-05-01',1682
113,'2009-06-01',1685
114,'2009-07-01',1639
115,'2009-08-01',1604
116,'2009-09-01',1554
117,'2009-10-01',1520
118,'2009-11-01',1448
119,'2009-12-01',1426
120,'2010-01-01',1401
121,'2010-02-01',1394
122,'2010-03-01',1370
123,'2010-04-01',1358
124,'2010-05-01',1402
125,'2010-06-01',1459
126,'2010-07-01',1547
127,'2010-08-01',1606
128,'2010-09-01',1684
129,'2010-10-01',1757
130,'2010-11-01',1845
131,'2010-12-01',1920
132,'2011-01-01',1972
133,'2011-02-01',2041
134,'2011-03-01',2109
135,'2011-04-01',2152
136,'2011-05-01',2152
137,'2011-06-01',2162
138,'2011-07-01',2145
139,'2011-08-01',2159
140,'2011-09-01',2159
141,'2011-10-01',2170
142,'2011-11-01',2169
143,'2011-12-01',2151
144,'2012-01-01',2181
145,'2012-02-01',2177
146,'2012-03-01',2183
147,'2012-04-01',2195
148,'2012-05-01',2233
149,'2012-06-01',2270
150,'2012-07-01',2332
151,'2012-08-01',2362
152,'2012-09-01',2332
153,'2012-10-01',2328
154,'2012-11-01',2379
155,'2012-12-01',2434
156,'2013-01-01',2438
157,'2013-02-01',2481
158,'2013-03-01',2589
159,'2013-04-01',2562
160,'2013-05-01',2623
161,'2013-06-01',2671
162,'2013-07-01',2665
163,'2013-08-01',2711
164,'2013-09-01',2784
165,'2013-10-01',2802
166,'2013-11-01',2822
167,'2013-12-01',2838
168,'2014-01-01',2811
169,'2014-02-01',2833
170,'2014-03-01',2771
171,'2014-04-01',2852
172,'2014-05-01',2866
173,'2014-06-01',2776
174,'2014-07-01',2724
175,'2014-08-01',2623
176,'2014-09-01',2559
177,'2014-10-01',2496
178,'2014-11-01',2461
179,'2014-12-01',2472
180,'2015-01-01',2510
181,'2015-02-01',2499
182,'2015-03-01',2482
183,'2015-04-01',2448
184,'2015-05-01',2403
185,'2015-06-01',2386
186,'2015-07-01',2303
187,'2015-08-01',2345
188,'2015-09-01',2381
189,'2015-10-01',2466
190,'2015-11-01',2459
191,'2015-12-01',2344
192,'2016-01-01',2346
193,'2016-02-01',2300
194,'2016-03-01',2285
195,'2016-04-01',2315
196,'2016-05-01',2365
197,'2016-06-01',2472
198,'2016-07-01',2666
199,'2016-08-01',2677
200,'2016-09-01',2741
201,'2016-10-01',2797
202,'2016-11-01',2871
203,'2016-12-01',3043
