,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',8
3,'2000-04-01',11
4,'2000-05-01',13
5,'2000-06-01',14
6,'2000-07-01',15
7,'2000-08-01',17
8,'2000-09-01',21
9,'2000-10-01',24
10,'2000-11-01',24
11,'2000-12-01',25
12,'2001-01-01',27
13,'2001-02-01',33
14,'2001-03-01',35
15,'2001-04-01',36
16,'2001-05-01',39
17,'2001-06-01',39
18,'2001-07-01',36
19,'2001-08-01',35
20,'2001-09-01',37
21,'2001-10-01',37
22,'2001-11-01',39
23,'2001-12-01',40
24,'2002-01-01',39
25,'2002-02-01',37
26,'2002-03-01',35
27,'2002-04-01',34
28,'2002-05-01',31
29,'2002-06-01',37
30,'2002-07-01',38
31,'2002-08-01',38
32,'2002-09-01',39
33,'2002-10-01',43
34,'2002-11-01',48
35,'2002-12-01',50
36,'2003-01-01',50
37,'2003-02-01',55
38,'2003-03-01',60
39,'2003-04-01',58
40,'2003-05-01',61
41,'2003-06-01',60
42,'2003-07-01',61
43,'2003-08-01',59
44,'2003-09-01',61
45,'2003-10-01',62
46,'2003-11-01',60
47,'2003-12-01',62
48,'2004-01-01',61
49,'2004-02-01',63
50,'2004-03-01',64
51,'2004-04-01',64
52,'2004-05-01',61
53,'2004-06-01',62
54,'2004-07-01',66
55,'2004-08-01',65
56,'2004-09-01',66
57,'2004-10-01',69
58,'2004-11-01',76
59,'2004-12-01',73
60,'2005-01-01',80
61,'2005-02-01',90
62,'2005-03-01',93
63,'2005-04-01',98
64,'2005-05-01',100
65,'2005-06-01',99
66,'2005-07-01',100
67,'2005-08-01',108
68,'2005-09-01',118
69,'2005-10-01',122
70,'2005-11-01',128
71,'2005-12-01',140
72,'2006-01-01',154
73,'2006-02-01',162
74,'2006-03-01',167
75,'2006-04-01',178
76,'2006-05-01',189
77,'2006-06-01',210
78,'2006-07-01',228
79,'2006-08-01',236
80,'2006-09-01',248
81,'2006-10-01',267
82,'2006-11-01',278
83,'2006-12-01',289
84,'2007-01-01',289
85,'2007-02-01',300
86,'2007-03-01',316
87,'2007-04-01',321
88,'2007-05-01',330
89,'2007-06-01',336
90,'2007-07-01',341
91,'2007-08-01',344
92,'2007-09-01',349
93,'2007-10-01',355
94,'2007-11-01',361
95,'2007-12-01',358
96,'2008-01-01',360
97,'2008-02-01',358
98,'2008-03-01',358
99,'2008-04-01',366
100,'2008-05-01',371
101,'2008-06-01',366
102,'2008-07-01',362
103,'2008-08-01',362
104,'2008-09-01',368
105,'2008-10-01',382
106,'2008-11-01',384
107,'2008-12-01',386
108,'2009-01-01',390
109,'2009-02-01',394
110,'2009-03-01',393
111,'2009-04-01',390
112,'2009-05-01',394
113,'2009-06-01',390
114,'2009-07-01',388
115,'2009-08-01',383
116,'2009-09-01',384
117,'2009-10-01',388
118,'2009-11-01',397
119,'2009-12-01',391
120,'2010-01-01',390
121,'2010-02-01',387
122,'2010-03-01',400
123,'2010-04-01',409
124,'2010-05-01',413
125,'2010-06-01',426
126,'2010-07-01',432
127,'2010-08-01',434
128,'2010-09-01',439
129,'2010-10-01',446
130,'2010-11-01',447
131,'2010-12-01',445
132,'2011-01-01',444
133,'2011-02-01',449
134,'2011-03-01',453
135,'2011-04-01',450
136,'2011-05-01',444
137,'2011-06-01',456
138,'2011-07-01',448
139,'2011-08-01',446
140,'2011-09-01',450
141,'2011-10-01',453
142,'2011-11-01',445
143,'2011-12-01',445
144,'2012-01-01',443
145,'2012-02-01',451
146,'2012-03-01',458
147,'2012-04-01',458
148,'2012-05-01',464
149,'2012-06-01',464
150,'2012-07-01',471
151,'2012-08-01',479
152,'2012-09-01',490
153,'2012-10-01',489
154,'2012-11-01',497
155,'2012-12-01',496
156,'2013-01-01',496
157,'2013-02-01',500
158,'2013-03-01',515
159,'2013-04-01',514
160,'2013-05-01',510
161,'2013-06-01',512
162,'2013-07-01',507
163,'2013-08-01',492
164,'2013-09-01',497
165,'2013-10-01',505
166,'2013-11-01',511
167,'2013-12-01',502
168,'2014-01-01',495
169,'2014-02-01',502
170,'2014-03-01',503
171,'2014-04-01',500
172,'2014-05-01',496
173,'2014-06-01',489
174,'2014-07-01',489
175,'2014-08-01',485
176,'2014-09-01',490
177,'2014-10-01',498
178,'2014-11-01',507
179,'2014-12-01',501
180,'2015-01-01',506
181,'2015-02-01',503
182,'2015-03-01',506
183,'2015-04-01',517
184,'2015-05-01',509
185,'2015-06-01',501
186,'2015-07-01',500
187,'2015-08-01',510
188,'2015-09-01',502
189,'2015-10-01',513
190,'2015-11-01',510
191,'2015-12-01',504
192,'2016-01-01',489
193,'2016-02-01',484
194,'2016-03-01',484
195,'2016-04-01',480
196,'2016-05-01',476
197,'2016-06-01',477
198,'2016-07-01',481
199,'2016-08-01',474
200,'2016-09-01',468
201,'2016-10-01',449
202,'2016-11-01',449
203,'2016-12-01',451
204,'2017-01-01',441
205,'2017-02-01',437
206,'2017-03-01',435
207,'2017-04-01',442
208,'2017-05-01',439
209,'2017-06-01',445
210,'2017-07-01',443
211,'2017-08-01',440
212,'2017-09-01',426
213,'2017-10-01',422
214,'2017-11-01',417
215,'2017-12-01',412
216,'2018-01-01',406
217,'2018-02-01',398
218,'2018-03-01',393
219,'2018-04-01',377
220,'2018-05-01',381
221,'2018-06-01',379
222,'2018-07-01',383
223,'2018-08-01',374
224,'2018-09-01',377
225,'2018-10-01',376
226,'2018-11-01',368
227,'2018-12-01',362
228,'2019-01-01',358
229,'2019-02-01',354
230,'2019-03-01',350
231,'2019-04-01',350
232,'2019-05-01',339
233,'2019-06-01',345
234,'2019-07-01',337
235,'2019-08-01',338
236,'2019-09-01',341
237,'2019-10-01',335
238,'2019-11-01',336
239,'2019-12-01',336
