,track
0,0
1,0
2,3
3,3
4,3
5,3
6,5
7,5
8,6
9,6
10,6
11,6
12,7
13,9
14,8
15,8
16,9
17,9
18,8
19,8
20,7
21,7
22,7
23,7
24,7
25,7
26,6
27,6
28,4
29,7
30,7
31,8
32,8
33,9
34,10
35,9
36,8
37,9
38,9
39,9
40,10
41,8
42,8
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,5
52,5
53,6
54,7
55,7
56,7
57,9
58,10
59,10
60,12
61,15
62,17
63,17
64,18
65,17
66,17
67,19
68,23
69,27
70,28
71,33
72,36
73,35
74,39
75,44
76,52
77,59
78,61
79,65
80,69
81,76
82,85
83,88
84,96
85,104
86,113
87,123
88,124
89,131
90,136
91,143
92,144
93,146
94,155
95,171
96,178
97,188
98,188
99,192
100,202
101,211
102,222
103,259
104,270
105,298
106,333
107,374
108,415
109,442
110,474
111,495
112,533
113,553
114,552
115,519
116,529
117,549
118,565
119,565
120,574
121,586
122,640
123,668
124,697
125,743
126,782
127,818
128,846
129,899
130,947
131,1048
132,1076
133,1129
134,1134
135,1151
136,1181
137,1176
138,1207
139,1190
140,1195
141,1202
142,1244
143,1250
144,1280
145,1242
146,1276
147,1295
148,1400
149,1423
150,1429
151,1452
152,1460
153,1505
154,1488
155,1513
156,1475
157,1474
158,1472
159,1445
160,1438
161,1443
162,1484
163,1468
164,1493
165,1559
166,1594
167,1606
168,1596
169,1548
170,1568
171,1583
172,1528
173,1527
174,1503
175,1440
176,1418
177,1377
178,1365
179,1308
180,1329
181,1381
182,1365
183,1400
184,1408
185,1388
186,1388
187,1405
188,1455
189,1439
190,1467
191,1498
192,1484
193,1450
194,1432
195,1375
196,1399
197,1433
198,1480
199,1454
200,1510
201,1576
202,1618
203,1606
204,1604
205,1610
206,1617
207,1711
208,1681
209,1687
210,1691
211,1713
212,1715
213,1756
214,1769
215,1800
216,1787
217,1789
218,1831
219,1834
220,1846
221,1879
222,1903
223,1880
224,1873
225,1786
226,1861
227,1839
228,1834
229,1869
230,1861
231,1857
232,1818
233,1841
234,1879
235,1895
236,1887
237,1922
238,1940
239,1966
