,track
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,2
71,2
72,2
73,3
74,3
75,3
76,3
77,3
78,5
79,7
80,7
81,7
82,8
83,9
84,11
85,12
86,13
87,13
88,13
89,13
90,12
91,11
92,14
93,14
94,14
95,15
96,15
97,16
98,17
99,17
100,18
101,18
102,19
103,19
104,18
105,17
106,16
107,18
108,20
109,22
110,20
111,21
112,21
113,22
114,21
115,21
116,20
117,23
118,24
119,24
120,22
121,21
122,24
123,26
124,27
125,30
126,31
127,30
128,32
129,33
130,34
131,36
132,37
133,39
134,44
135,42
136,47
137,49
138,49
139,54
140,54
141,55
142,55
143,56
144,60
145,62
146,66
147,65
148,69
149,68
150,68
151,65
152,63
153,64
154,67
155,68
156,67
157,66
158,62
159,65
160,63
161,65
162,64
163,65
164,65
165,65
166,66
167,69
168,67
169,72
170,73
171,67
172,70
173,67
174,63
175,64
176,70
177,81
178,101
179,112
180,131
181,176
182,230
183,277
184,303
185,328
186,346
187,377
188,409
189,463
190,483
191,499
192,508
193,522
194,532
195,518
196,514
197,529
198,546
199,551
200,565
201,557
202,565
203,540
204,514
205,493
206,466
207,443
208,396
209,366
210,338
211,314
212,288
213,264
214,236
215,233
216,230
217,225
218,221
219,216
220,212
221,208
222,201
223,197
224,191
225,196
226,194
227,197
228,195
229,194
230,191
231,188
232,177
233,175
234,180
235,177
236,188
237,188
238,183
239,183
240,183
241,177
242,182
243,181
244,194
245,197
246,199
247,212
248,207
249,210
250,210
251,212
252,217
253,221
254,225
255,230
256,236
257,268
258,322
259,377
260,414
261,447
262,490
263,542
264,565
265,601
266,627
267,617
268,602
269,555
270,497
271,436
272,387
273,347
274,296
275,223
