,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',0
6,'2000-07-01',0
7,'2000-08-01',0
8,'2000-09-01',0
9,'2000-10-01',0
10,'2000-11-01',0
11,'2000-12-01',0
12,'2001-01-01',0
13,'2001-02-01',0
14,'2001-03-01',0
15,'2001-04-01',0
16,'2001-05-01',0
17,'2001-06-01',0
18,'2001-07-01',0
19,'2001-08-01',0
20,'2001-09-01',0
21,'2001-10-01',0
22,'2001-11-01',0
23,'2001-12-01',0
24,'2002-01-01',0
25,'2002-02-01',0
26,'2002-03-01',0
27,'2002-04-01',0
28,'2002-05-01',0
29,'2002-06-01',0
30,'2002-07-01',0
31,'2002-08-01',0
32,'2002-09-01',0
33,'2002-10-01',0
34,'2002-11-01',0
35,'2002-12-01',0
36,'2003-01-01',0
37,'2003-02-01',0
38,'2003-03-01',1
39,'2003-04-01',1
40,'2003-05-01',1
41,'2003-06-01',1
42,'2003-07-01',1
43,'2003-08-01',1
44,'2003-09-01',1
45,'2003-10-01',1
46,'2003-11-01',1
47,'2003-12-01',1
48,'2004-01-01',1
49,'2004-02-01',1
50,'2004-03-01',1
51,'2004-04-01',1
52,'2004-05-01',1
53,'2004-06-01',1
54,'2004-07-01',1
55,'2004-08-01',1
56,'2004-09-01',1
57,'2004-10-01',1
58,'2004-11-01',1
59,'2004-12-01',1
60,'2005-01-01',1
61,'2005-02-01',1
62,'2005-03-01',1
63,'2005-04-01',1
64,'2005-05-01',1
65,'2005-06-01',1
66,'2005-07-01',1
67,'2005-08-01',1
68,'2005-09-01',2
69,'2005-10-01',2
70,'2005-11-01',2
71,'2005-12-01',2
72,'2006-01-01',2
73,'2006-02-01',3
74,'2006-03-01',3
75,'2006-04-01',3
76,'2006-05-01',3
77,'2006-06-01',3
78,'2006-07-01',5
79,'2006-08-01',7
80,'2006-09-01',7
81,'2006-10-01',7
82,'2006-11-01',8
83,'2006-12-01',9
84,'2007-01-01',11
85,'2007-02-01',12
86,'2007-03-01',13
87,'2007-04-01',13
88,'2007-05-01',13
89,'2007-06-01',13
90,'2007-07-01',12
91,'2007-08-01',11
92,'2007-09-01',14
93,'2007-10-01',14
94,'2007-11-01',14
95,'2007-12-01',15
96,'2008-01-01',15
97,'2008-02-01',16
98,'2008-03-01',17
99,'2008-04-01',17
100,'2008-05-01',18
101,'2008-06-01',18
102,'2008-07-01',19
103,'2008-08-01',19
104,'2008-09-01',18
105,'2008-10-01',17
106,'2008-11-01',16
107,'2008-12-01',18
108,'2009-01-01',20
109,'2009-02-01',22
110,'2009-03-01',20
111,'2009-04-01',21
112,'2009-05-01',21
113,'2009-06-01',22
114,'2009-07-01',21
115,'2009-08-01',21
116,'2009-09-01',20
117,'2009-10-01',23
118,'2009-11-01',24
119,'2009-12-01',24
120,'2010-01-01',22
121,'2010-02-01',21
122,'2010-03-01',24
123,'2010-04-01',26
124,'2010-05-01',27
125,'2010-06-01',30
126,'2010-07-01',31
127,'2010-08-01',30
128,'2010-09-01',32
129,'2010-10-01',33
130,'2010-11-01',34
131,'2010-12-01',36
132,'2011-01-01',37
133,'2011-02-01',39
134,'2011-03-01',44
135,'2011-04-01',42
136,'2011-05-01',47
137,'2011-06-01',49
138,'2011-07-01',49
139,'2011-08-01',54
140,'2011-09-01',54
141,'2011-10-01',55
142,'2011-11-01',55
143,'2011-12-01',56
144,'2012-01-01',60
145,'2012-02-01',62
146,'2012-03-01',66
147,'2012-04-01',65
148,'2012-05-01',69
149,'2012-06-01',68
150,'2012-07-01',68
151,'2012-08-01',65
152,'2012-09-01',63
153,'2012-10-01',64
154,'2012-11-01',67
155,'2012-12-01',68
156,'2013-01-01',67
157,'2013-02-01',66
158,'2013-03-01',62
159,'2013-04-01',65
160,'2013-05-01',63
161,'2013-06-01',65
162,'2013-07-01',64
163,'2013-08-01',65
164,'2013-09-01',65
165,'2013-10-01',65
166,'2013-11-01',66
167,'2013-12-01',69
168,'2014-01-01',67
169,'2014-02-01',72
170,'2014-03-01',73
171,'2014-04-01',67
172,'2014-05-01',70
173,'2014-06-01',67
174,'2014-07-01',63
175,'2014-08-01',64
176,'2014-09-01',70
177,'2014-10-01',81
178,'2014-11-01',101
179,'2014-12-01',112
180,'2015-01-01',131
181,'2015-02-01',176
182,'2015-03-01',230
183,'2015-04-01',277
184,'2015-05-01',303
185,'2015-06-01',328
186,'2015-07-01',346
187,'2015-08-01',377
188,'2015-09-01',409
189,'2015-10-01',463
190,'2015-11-01',483
191,'2015-12-01',499
192,'2016-01-01',508
193,'2016-02-01',522
194,'2016-03-01',532
195,'2016-04-01',518
196,'2016-05-01',514
197,'2016-06-01',529
198,'2016-07-01',546
199,'2016-08-01',551
200,'2016-09-01',565
201,'2016-10-01',557
202,'2016-11-01',565
203,'2016-12-01',540
204,'2017-01-01',514
205,'2017-02-01',493
206,'2017-03-01',466
207,'2017-04-01',443
208,'2017-05-01',396
209,'2017-06-01',366
210,'2017-07-01',338
211,'2017-08-01',314
212,'2017-09-01',288
213,'2017-10-01',264
214,'2017-11-01',236
215,'2017-12-01',233
216,'2018-01-01',230
217,'2018-02-01',225
218,'2018-03-01',221
219,'2018-04-01',216
220,'2018-05-01',212
221,'2018-06-01',208
222,'2018-07-01',201
223,'2018-08-01',197
224,'2018-09-01',191
225,'2018-10-01',196
226,'2018-11-01',194
227,'2018-12-01',197
228,'2019-01-01',195
229,'2019-02-01',194
230,'2019-03-01',191
231,'2019-04-01',188
232,'2019-05-01',177
233,'2019-06-01',175
234,'2019-07-01',180
235,'2019-08-01',177
236,'2019-09-01',188
237,'2019-10-01',188
238,'2019-11-01',183
239,'2019-12-01',183
240,'2020-01-01',183
241,'2020-02-01',177
242,'2020-03-01',182
243,'2020-04-01',181
244,'2020-05-01',194
245,'2020-06-01',197
246,'2020-07-01',199
247,'2020-08-01',212
248,'2020-09-01',207
249,'2020-10-01',210
250,'2020-11-01',210
251,'2020-12-01',212
252,'2021-01-01',217
253,'2021-02-01',221
254,'2021-03-01',225
255,'2021-04-01',230
256,'2021-05-01',236
257,'2021-06-01',268
258,'2021-07-01',322
259,'2021-08-01',377
260,'2021-09-01',414
261,'2021-10-01',447
262,'2021-11-01',490
263,'2021-12-01',542
264,'2022-01-01',565
265,'2022-02-01',601
266,'2022-03-01',627
267,'2022-04-01',617
268,'2022-05-01',602
269,'2022-06-01',555
270,'2022-07-01',497
271,'2022-08-01',436
272,'2022-09-01',387
273,'2022-10-01',347
274,'2022-11-01',296
275,'2022-12-01',223
276,'2023-01-01',152
277,'2023-02-01',74
278,'2023-03-01',0
279,'2023-04-01',0
280,'2023-05-01',0
281,'2023-06-01',0
282,'2023-07-01',0
283,'2023-08-01',0
284,'2023-09-01',0
285,'2023-10-01',0
286,'2023-11-01',0
287,'2023-12-01',0
