,track
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,18
98,60
99,68
100,88
101,104
102,106
103,131
104,132
105,147
106,155
107,199
108,206
109,216
110,178
111,208
112,220
113,208
114,214
115,195
116,201
117,198
118,207
119,217
120,232
121,267
122,288
123,315
124,301
125,328
126,331
127,342
128,338
129,355
130,376
131,411
132,395
133,345
134,348
135,340
136,364
137,375
138,373
139,380
140,382
141,387
142,425
143,467
144,467
145,516
146,603
147,585
148,576
149,551
150,579
151,624
152,623
153,616
154,574
155,514
156,486
157,458
158,463
159,468
160,471
161,460
162,429
163,400
164,410
165,497
166,488
167,587
168,577
169,591
170,596
171,584
172,603
173,599
174,619
175,621
176,624
177,571
178,594
179,500
180,542
181,583
182,593
183,639
184,626
185,635
186,642
187,635
188,637
189,634
190,658
191,714
192,713
193,706
194,641
195,659
196,667
197,655
198,652
199,684
200,686
201,711
202,681
203,758
204,784
205,764
206,756
207,773
208,767
209,773
210,813
211,774
212,807
213,825
214,811
215,765
216,709
217,737
218,752
219,758
220,793
221,816
222,773
223,804
224,785
225,796
226,839
227,768
228,825
229,809
230,820
231,835
232,877
233,901
234,919
235,927
236,910
237,918
238,933
239,1012
240,969
241,973
242,961
243,987
244,984
245,1048
246,1101
247,1094
248,1127
249,1115
250,1205
251,1250
252,1287
253,1328
254,1342
255,1347
256,1277
257,1245
258,1216
259,1240
260,1289
261,1365
262,1240
263,1195
264,1191
265,1127
266,1069
267,988
268,876
269,732
270,646
271,601
272,481
273,340
274,282
275,187
276,43
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
