,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
0,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,2000-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2,2000-03-01,58,6,3,0,3,0,45,8,3,1,7,2,0,1,9,8,10.16949152542373,0.0,13.559322033898304,76.27118644067797,13.559322033898304
3,2000-04-01,72,7,3,0,4,0,55,11,3,1,8,2,0,3,10,11,9.58904109589041,0.0,15.068493150684931,75.34246575342466,15.068493150684931
4,2000-05-01,88,10,3,0,7,0,68,13,4,1,8,2,0,3,11,13,10.989010989010989,0.0,14.285714285714285,74.72527472527473,14.285714285714285
5,2000-06-01,96,11,3,1,7,0,74,14,4,1,8,2,0,3,11,14,11.11111111111111,0.0,14.14141414141414,74.74747474747475,14.14141414141414
6,2000-07-01,101,13,5,1,7,0,76,15,4,1,8,2,0,3,12,15,12.5,0.0,14.423076923076922,73.07692307692307,14.423076923076922
7,2000-08-01,119,13,5,1,7,0,92,17,5,1,8,2,0,3,13,17,10.655737704918032,0.0,13.934426229508196,75.40983606557377,13.934426229508196
8,2000-09-01,215,15,6,2,7,0,184,21,6,1,8,3,0,3,15,21,6.8181818181818175,0.0,9.545454545454547,83.63636363636363,9.545454545454547
9,2000-10-01,269,16,6,2,8,0,235,24,8,1,8,4,0,5,20,24,5.818181818181818,0.0,8.727272727272728,85.45454545454545,8.727272727272728
10,2000-11-01,327,16,6,2,8,0,293,24,8,1,8,5,1,6,21,24,4.804804804804805,0.0,7.207207207207207,87.98798798798799,7.207207207207207
