,track
0,0
1,0
2,9
3,10
4,11
5,11
6,12
7,13
8,15
9,20
10,21
11,24
12,24
13,31
14,32
15,32
16,32
17,34
18,34
19,34
20,36
21,37
22,40
23,40
24,40
25,41
26,47
27,49
28,48
29,53
30,54
31,54
32,63
33,72
34,72
35,74
36,79
37,80
38,128
39,130
40,129
41,131
42,137
43,141
44,158
45,168
46,176
47,176
48,169
49,168
50,179
51,184
52,185
53,175
54,179
55,179
56,220
57,234
58,249
59,252
60,250
61,268
62,281
63,267
64,257
65,263
66,275
67,287
68,313
69,335
70,365
71,394
72,394
73,431
74,469
75,519
76,539
77,565
78,604
79,619
80,652
81,680
82,715
83,722
84,732
85,760
86,804
87,851
88,888
89,917
90,933
91,951
92,987
93,1017
94,1035
95,1041
96,1039
97,1053
98,1071
99,1075
100,1056
101,1064
102,1074
103,1087
104,1107
105,1131
106,1156
107,1168
108,1191
109,1209
110,1232
111,1237
112,1255
113,1262
114,1280
115,1279
116,1264
117,1286
118,1305
119,1311
120,1297
121,1316
122,1328
123,1345
124,1354
125,1366
126,1340
127,1368
128,1418
129,1463
130,1507
131,1540
132,1582
133,1606
134,1629
135,1645
136,1649
137,1680
138,1691
139,1698
140,1712
141,1718
142,1725
143,1712
144,1694
145,1729
146,1759
147,1789
148,1821
149,1840
150,1860
151,1877
152,1898
153,1874
154,1871
155,1859
156,1855
157,1827
158,1834
159,1833
160,1825
161,1820
162,1830
163,1834
164,1842
165,1848
166,1849
167,1843
168,1824
169,1842
170,1859
171,1853
172,1875
173,1844
174,1814
175,1794
176,1771
177,1774
178,1761
179,1762
180,1757
181,1740
182,1721
183,1700
184,1679
185,1623
186,1617
187,1615
188,1611
189,1621
190,1613
191,1577
192,1571
193,1555
194,1579
195,1559
196,1572
197,1605
198,1644
199,1641
200,1652
201,1657
202,1687
203,1706
204,1708
205,1738
206,1741
207,1751
208,1734
209,1703
210,1717
211,1761
212,1774
213,1796
214,1796
215,1787
216,1809
217,1830
218,1845
219,1845
220,1844
221,1815
222,1809
223,1789
224,1812
225,1802
226,1804
227,1789
228,1767
229,1774
230,1768
231,1795
232,1780
233,1802
234,1776
235,1739
236,1730
237,1713
238,1712
239,1697
240,1673
241,1658
242,1670
243,1679
244,1713
245,1696
246,1736
247,1747
248,1711
249,1707
250,1712
251,1711
252,1707
253,1695
254,1685
255,1671
256,1633
257,1597
258,1564
259,1513
260,1512
261,1491
262,1474
263,1452
264,1430
265,1473
266,1429
267,1322
268,1231
269,1121
270,1031
271,935
272,851
273,752
274,640
275,503
276,359
277,152
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
