,Ending_Date__c,ID__c,Id,Semester__c,Starting_Date__c
0,2011-01-30,4.0,a0w5w000009Q7CuAAK,Fall,2010-09-05
1,2018-11-30,5.0,a0w5w000009Q7CvAAK,Fall,2018-11-29
2,2019-11-28,6.0,a0w5w000009Q7CwAAK,Fall,2019-11-04
3,2017-10-29,7.0,a0w5w000009Q7CxAAK,Fall,2017-10-21
4,2018-01-21,8.0,a0w5w000009Q7CyAAK,Spring,2018-01-15
5,2018-04-19,9.0,a0w5w000009Q7CzAAK,Spring,2018-02-05
6,2018-08-31,12.0,a0w5w000009Q7D2AAK,Summer,2018-08-27
7,2018-11-16,13.0,a0w5w000009Q7D3AAK,Fall,2018-11-10
8,2019-11-15,14.0,a0w5w000009Q7D4AAK,Summer,2019-08-19
9,2017-06-20,15.0,a0w5w000009Q7D5AAK,Summer,2017-06-17
10,2006-08-13,16.0,a0w5w000009Q7D6AAK,Summer,2006-08-09
11,2007-04-23,19.0,a0w5w000009Q7D9AAK,Spring,2007-02-07
12,2007-02-21,22.0,a0w5w000009Q7DCAA0,Spring,2007-02-16
13,2007-11-28,23.0,a0w5w000009Q7DDAA0,Fall,2007-11-17
14,2008-04-22,24.0,a0w5w000009Q7DEAA0,Spring,2008-02-11
15,2008-12-18,25.0,a0w5w000009Q7DFAA0,Fall,2008-10-05
16,2009-11-07,28.0,a0w5w000009Q7DIAA0,Fall,2009-10-16
17,2009-11-14,29.0,a0w5w000009Q7DJAA0,Fall,2009-11-10
18,2010-05-02,30.0,a0w5w000009Q7DKAA0,Fall,2009-11-29
19,2010-04-01,31.0,a0w5w000009Q7DLAA0,Spring,2010-03-30
20,2010-06-03,32.0,a0w5w000009Q7DMAA0,Summer,2010-05-30
21,2011-01-11,34.0,a0w5w000009Q7DOAA0,Fall,2010-10-16
22,2011-04-30,35.0,a0w5w000009Q7DPAA0,Fall,2010-11-28
23,2011-12-07,36.0,a0w5w000009Q7DQAA0,Fall,2011-10-10
24,2012-02-14,37.0,a0w5w000009Q7DRAA0,Spring,2012-01-28
25,2012-10-01,38.0,a0w5w000009Q7DSAA0,Fall,2012-09-10
26,2012-10-31,39.0,a0w5w000009Q7DTAA0,Fall,2012-10-26
27,2012-10-31,40.0,a0w5w000009Q7DUAA0,Fall,2012-10-27
28,2012-11-25,42.0,a0w5w000009Q7DWAA0,Fall,2012-11-21
29,2013-03-31,44.0,a0w5w000009Q7DYAA0,Spring,2013-03-25
30,2013-04-20,45.0,a0w5w000009Q7DZAA0,Spring,2013-04-13
31,2013-09-28,48.0,a0w5w000009Q7DcAAK,Fall,2013-09-22
32,2013-10-06,49.0,a0w5w000009Q7DdAAK,Fall,2013-09-29
33,2013-12-11,50.0,a0w5w000009Q7DeAAK,Fall,2013-10-12
34,2013-11-20,51.0,a0w5w000009Q7DfAAK,Fall,2013-11-06
35,2013-12-07,53.0,a0w5w000009Q7DhAAK,Fall,2013-10-31
36,2014-03-01,54.0,a0w5w000009Q7DiAAK,Spring,2014-02-22
37,2014-07-17,55.0,a0w5w000009Q7DjAAK,Summer,2014-07-13
38,2014-07-28,56.0,a0w5w000009Q7DkAAK,Summer,2014-07-24
39,2015-05-03,57.0,a0w5w000009Q7DlAAK,Fall,2014-09-27
40,2014-10-25,59.0,a0w5w000009Q7DnAAK,Fall,2014-10-16
41,2014-11-27,60.0,a0w5w000009Q7DoAAK,Fall,2014-11-07
42,2015-02-20,61.0,a0w5w000009Q7DpAAK,Spring,2015-02-14
43,2015-04-04,62.0,a0w5w000009Q7DqAAK,Spring,2015-03-31
44,2015-07-11,63.0,a0w5w000009Q7DrAAK,Summer,2015-06-23
45,2015-07-10,64.0,a0w5w000009Q7DsAAK,Summer,2015-06-30
46,2015-10-08,65.0,a0w5w000009Q7DtAAK,Fall,2015-10-05
47,2015-11-11,66.0,a0w5w000009Q7DuAAK,Fall,2015-10-24
48,2015-12-16,67.0,a0w5w000009Q7DvAAK,Fall,2015-10-27
