,track
0,0
1,0
2,3
3,3
4,3
5,3
6,5
7,5
8,6
9,6
10,6
11,6
12,7
13,9
14,8
15,8
16,9
17,9
18,8
19,8
20,7
21,7
22,7
23,7
24,7
25,7
26,6
27,6
28,4
29,7
30,7
31,8
32,8
33,9
34,10
35,9
36,8
37,9
38,9
39,9
40,10
41,8
42,8
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,5
52,5
53,6
54,7
55,7
56,7
57,9
58,10
59,10
60,12
61,15
62,17
63,17
64,18
65,17
66,17
67,19
68,23
69,27
70,28
71,33
72,36
73,35
74,39
75,44
76,52
77,59
78,61
79,65
80,69
81,76
82,85
83,88
84,96
85,104
86,113
87,123
88,124
89,131
90,136
91,143
92,144
93,146
94,155
95,171
96,178
97,188
98,188
99,192
100,202
101,211
102,222
103,259
104,270
105,298
106,333
107,374
108,415
109,442
110,474
111,495
112,533
113,553
114,552
115,519
116,529
117,549
118,565
119,565
120,574
121,586
122,640
123,668
124,697
125,743
126,782
127,818
128,846
129,899
130,947
131,1048
