,track
0,0
1,0
2,3
3,4
4,7
5,7
6,7
7,7
8,7
9,8
10,8
11,8
12,8
13,9
14,9
15,9
16,5
17,5
18,4
19,3
20,3
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,5
29,5
30,5
31,5
32,5
33,5
34,6
35,6
36,5
37,5
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,10
47,10
48,10
49,10
50,10
51,11
52,9
53,8
54,8
55,8
56,9
57,8
58,8
59,8
60,8
61,11
62,12
63,12
64,12
65,13
66,15
67,16
68,19
69,20
70,25
71,26
72,27
73,34
74,37
75,37
76,40
77,44
78,49
79,52
80,56
81,61
82,70
83,75
84,76
85,91
86,95
87,100
88,107
89,111
90,118
91,118
92,124
93,136
94,145
95,146
96,151
97,162
98,167
99,173
100,180
101,185
102,190
103,248
104,256
105,339
106,618
107,718
108,772
109,1173
110,1308
111,1447
112,1548
113,1566
114,1610
115,1612
116,1711
117,1941
118,2105
119,2041
120,2078
121,2547
122,2755
123,2585
124,2501
125,2597
126,2628
127,2603
128,2635
129,2856
130,3101
131,2893
