,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',6
9,'2000-10-01',6
10,'2000-11-01',6
11,'2000-12-01',6
12,'2001-01-01',7
13,'2001-02-01',9
14,'2001-03-01',8
15,'2001-04-01',8
16,'2001-05-01',9
17,'2001-06-01',9
18,'2001-07-01',8
19,'2001-08-01',8
20,'2001-09-01',7
21,'2001-10-01',7
22,'2001-11-01',7
23,'2001-12-01',7
24,'2002-01-01',7
25,'2002-02-01',7
26,'2002-03-01',6
27,'2002-04-01',6
28,'2002-05-01',4
29,'2002-06-01',7
30,'2002-07-01',7
31,'2002-08-01',8
32,'2002-09-01',8
33,'2002-10-01',9
34,'2002-11-01',10
35,'2002-12-01',9
36,'2003-01-01',8
37,'2003-02-01',9
38,'2003-03-01',9
39,'2003-04-01',9
40,'2003-05-01',10
41,'2003-06-01',8
42,'2003-07-01',8
43,'2003-08-01',6
44,'2003-09-01',6
45,'2003-10-01',6
46,'2003-11-01',6
47,'2003-12-01',6
48,'2004-01-01',6
49,'2004-02-01',6
50,'2004-03-01',6
51,'2004-04-01',5
52,'2004-05-01',5
53,'2004-06-01',6
54,'2004-07-01',7
55,'2004-08-01',7
56,'2004-09-01',7
57,'2004-10-01',9
58,'2004-11-01',10
59,'2004-12-01',10
60,'2005-01-01',12
61,'2005-02-01',15
62,'2005-03-01',17
63,'2005-04-01',17
64,'2005-05-01',18
65,'2005-06-01',17
66,'2005-07-01',17
67,'2005-08-01',19
68,'2005-09-01',23
69,'2005-10-01',27
70,'2005-11-01',28
71,'2005-12-01',33
72,'2006-01-01',36
73,'2006-02-01',35
74,'2006-03-01',39
75,'2006-04-01',44
76,'2006-05-01',52
77,'2006-06-01',59
78,'2006-07-01',61
79,'2006-08-01',65
80,'2006-09-01',69
81,'2006-10-01',76
82,'2006-11-01',85
83,'2006-12-01',88
84,'2007-01-01',96
85,'2007-02-01',104
86,'2007-03-01',113
87,'2007-04-01',123
88,'2007-05-01',124
89,'2007-06-01',131
90,'2007-07-01',136
91,'2007-08-01',143
92,'2007-09-01',144
93,'2007-10-01',146
94,'2007-11-01',155
95,'2007-12-01',171
96,'2008-01-01',178
97,'2008-02-01',188
98,'2008-03-01',188
99,'2008-04-01',192
100,'2008-05-01',202
101,'2008-06-01',211
102,'2008-07-01',222
103,'2008-08-01',259
104,'2008-09-01',270
105,'2008-10-01',298
106,'2008-11-01',333
107,'2008-12-01',374
108,'2009-01-01',415
109,'2009-02-01',442
110,'2009-03-01',474
111,'2009-04-01',495
112,'2009-05-01',533
113,'2009-06-01',553
114,'2009-07-01',552
115,'2009-08-01',519
116,'2009-09-01',529
117,'2009-10-01',549
118,'2009-11-01',565
119,'2009-12-01',565
120,'2010-01-01',574
121,'2010-02-01',586
122,'2010-03-01',640
123,'2010-04-01',668
124,'2010-05-01',697
125,'2010-06-01',743
126,'2010-07-01',782
127,'2010-08-01',818
128,'2010-09-01',846
129,'2010-10-01',899
130,'2010-11-01',947
131,'2010-12-01',1048
132,'2011-01-01',1076
133,'2011-02-01',1129
134,'2011-03-01',1134
135,'2011-04-01',1151
136,'2011-05-01',1181
137,'2011-06-01',1176
138,'2011-07-01',1207
139,'2011-08-01',1190
140,'2011-09-01',1195
141,'2011-10-01',1202
142,'2011-11-01',1244
143,'2011-12-01',1250
144,'2012-01-01',1280
145,'2012-02-01',1242
146,'2012-03-01',1276
147,'2012-04-01',1295
148,'2012-05-01',1400
149,'2012-06-01',1423
150,'2012-07-01',1429
151,'2012-08-01',1452
152,'2012-09-01',1460
153,'2012-10-01',1505
154,'2012-11-01',1488
155,'2012-12-01',1513
156,'2013-01-01',1475
157,'2013-02-01',1474
158,'2013-03-01',1472
159,'2013-04-01',1445
160,'2013-05-01',1438
161,'2013-06-01',1443
162,'2013-07-01',1484
163,'2013-08-01',1468
164,'2013-09-01',1493
165,'2013-10-01',1559
166,'2013-11-01',1594
167,'2013-12-01',1606
168,'2014-01-01',1596
169,'2014-02-01',1548
170,'2014-03-01',1568
171,'2014-04-01',1583
172,'2014-05-01',1528
173,'2014-06-01',1527
174,'2014-07-01',1503
175,'2014-08-01',1440
176,'2014-09-01',1418
177,'2014-10-01',1377
178,'2014-11-01',1365
179,'2014-12-01',1308
180,'2015-01-01',1329
181,'2015-02-01',1381
182,'2015-03-01',1365
183,'2015-04-01',1400
184,'2015-05-01',1408
185,'2015-06-01',1388
186,'2015-07-01',1388
187,'2015-08-01',1405
188,'2015-09-01',1455
189,'2015-10-01',1439
190,'2015-11-01',1467
191,'2015-12-01',1498
