,months_sems,classes,students
0,1999-01,0,0
1,1999-07,0,0
2,2000-01,0,0
3,2000-07,5,197
4,2001-01,5,601
5,2001-07,4,96
6,2002-01,4,102
7,2002-07,7,182
8,2003-01,12,870
9,2003-07,9,569
10,2004-01,15,260
11,2004-07,11,386
12,2005-01,12,343
13,2005-07,25,494
14,2006-01,31,595
15,2006-07,48,1224
16,2007-01,48,1810
17,2007-07,34,808
18,2008-01,63,1600
19,2008-07,50,1166
20,2009-01,64,1609
21,2009-07,79,2368
22,2010-01,89,2342
23,2010-07,95,1907
24,2011-01,104,2566
25,2011-07,109,2265
26,2012-01,117,3385
27,2012-07,113,2520
28,2013-01,128,3038
29,2013-07,104,2775
30,2014-01,105,2410
31,2014-07,108,2305
32,2015-01,121,2706
33,2015-07,147,3689
34,2016-01,154,3052
35,2016-07,179,4799
36,2017-01,174,3635
37,2017-07,189,4450
38,2018-01,169,3375
39,2018-07,230,5617
40,2019-01,191,4077
41,2019-07,181,3604
42,2020-01,257,5304
43,2020-07,343,6331
44,2021-01,356,6523
45,2021-07,286,4659
46,2022-01,0,0
