,year_month,total_class_participants,unique_class_participants,unique classes
0,2008-01-01,1162,1162,66
1,2008-07-01,1932,1932,111
2,2009-01-01,2898,2898,158
3,2009-07-01,4077,4077,209
4,2010-01-01,5816,5816,299
5,2010-07-01,7250,7250,380
6,2011-01-01,9052,9052,481
7,2011-07-01,10736,10736,570
8,2012-01-01,12946,12946,665
9,2012-07-01,14811,14811,771
10,2013-01-01,16990,16990,888
11,2013-07-01,19233,19233,988
12,2014-01-01,21199,21199,1091
13,2014-07-01,23138,23138,1192
14,2015-01-01,25451,25451,1305
15,2015-07-01,28061,28061,1415
16,2016-01-01,30507,30507,1557
17,2016-07-01,33923,33923,1715
18,2017-01-01,36643,36643,1866
19,2017-07-01,39772,39772,2024
20,2018-01-01,42785,42785,2195
21,2018-07-01,46050,46050,2346
22,2019-01-01,49533,49533,2522
23,2019-07-01,52367,52367,2680
24,2020-01-01,56907,56907,2922
25,2020-07-01,61394,61394,3123
26,2021-01-01,66132,66132,3369
27,2021-07-01,70537,70537,3583
