,year_month,USA,China,Europe,India,Other,Total
0,2000-01-01,0,0,0,0,0,0
1,2000-02-01,0,0,0,0,0,0
2,2000-03-01,125,0,10,0,1,136
3,2000-04-01,188,0,15,1,1,205
4,2000-05-01,231,0,18,1,2,252
5,2000-06-01,245,1,26,1,2,275
6,2000-07-01,254,1,28,1,3,287
7,2000-08-01,269,1,30,2,6,308
8,2000-09-01,361,1,33,2,7,404
9,2000-10-01,413,1,34,2,8,458
10,2000-11-01,467,2,37,2,9,517
11,2000-12-01,515,4,40,2,10,571
12,2001-01-01,535,4,51,3,17,610
13,2001-02-01,734,4,60,3,22,823
14,2001-03-01,847,4,58,3,29,941
15,2001-04-01,849,5,58,2,32,946
16,2001-05-01,775,5,58,2,38,878
17,2001-06-01,760,5,55,2,40,862
18,2001-07-01,755,7,56,2,42,862
19,2001-08-01,744,7,54,2,43,850
20,2001-09-01,748,7,52,2,43,852
21,2001-10-01,758,7,51,2,43,861
22,2001-11-01,717,6,53,2,42,820
23,2001-12-01,679,4,49,3,46,781
24,2002-01-01,628,5,43,2,40,718
25,2002-02-01,610,5,37,2,42,696
26,2002-03-01,613,5,36,2,37,693
27,2002-04-01,604,4,31,2,36,677
28,2002-05-01,355,4,28,2,31,420
29,2002-06-01,376,5,25,3,34,443
30,2002-07-01,386,5,22,4,29,446
31,2002-08-01,391,5,27,4,29,456
32,2002-09-01,421,6,30,6,34,497
33,2002-10-01,458,7,30,7,35,537
34,2002-11-01,471,7,33,7,37,555
35,2002-12-01,446,8,34,7,35,530
36,2003-01-01,424,8,32,8,34,506
37,2003-02-01,443,8,31,8,37,527
38,2003-03-01,800,8,30,8,41,887
39,2003-04-01,816,8,32,8,45,909
40,2003-05-01,784,10,31,9,45,879
41,2003-06-01,771,12,33,7,48,871
42,2003-07-01,780,10,36,7,50,883
43,2003-08-01,782,12,35,7,52,888
44,2003-09-01,894,14,36,6,51,1001
45,2003-10-01,921,16,42,5,57,1041
46,2003-11-01,928,16,38,5,63,1050
47,2003-12-01,933,15,43,7,67,1065
48,2004-01-01,882,15,44,6,68,1015
49,2004-02-01,881,17,48,7,69,1022
50,2004-03-01,891,20,53,7,71,1042
51,2004-04-01,948,24,52,7,67,1098
52,2004-05-01,925,26,55,6,69,1081
53,2004-06-01,688,26,60,6,67,847
54,2004-07-01,703,25,105,6,88,927
55,2004-08-01,695,24,106,7,95,927
56,2004-09-01,832,25,108,7,100,1072
57,2004-10-01,871,24,108,8,101,1112
58,2004-11-01,917,23,112,10,100,1162
59,2004-12-01,896,24,122,11,106,1159
60,2005-01-01,799,26,121,14,123,1083
61,2005-02-01,861,27,131,15,133,1167
