;Week Start;Number_Unique_Institutions;Number_Unique_Users;Number_Unique_Classes;Number_Cluster_Simulations;Total_Simulations_All
0;2019-2-6;13;270;20;11296;18006
1;2019-2-13;19;268;25;10842;22359
2;2019-2-20;20;288;26;5763;23618
3;2019-2-27;17;227;26;5981;29253
4;2019-3-6;17;221;28;3225;12079
5;2019-3-13;17;301;30;4794;12210
6;2019-3-20;18;277;30;3940;11591
7;2019-3-27;21;379;34;5652;12434
8;2019-4-3;25;367;42;5164;14406
9;2019-4-10;21;501;42;6709;13058
10;2019-4-17;25;399;50;7722;15156
11;2019-4-24;28;497;52;12002;19442
12;2019-5-1;27;414;39;9119;14718
13;2019-5-8;20;314;33;3097;11016
14;2019-5-15;14;247;22;3550;8638
15;2019-5-22;11;142;18;2081;7003
16;2019-5-29;8;99;11;2480;8522
17;2019-6-5;8;88;13;2871;9738
18;2019-6-12;5;31;9;340;9144
19;2019-6-19;5;64;9;508;4752
20;2019-6-26;6;117;10;1382;6597
21;2019-7-3;7;92;12;848;6819
22;2019-7-10;9;256;17;4373;10726
23;2019-7-17;6;70;13;922;7141
24;2019-7-24;6;38;7;1034;6933
25;2019-7-31;5;70;6;386;4287
26;2019-8-7;6;44;7;400;5372
27;2019-8-14;7;154;10;1917;4485
28;2019-8-21;9;257;14;3021;6417
29;2019-8-28;14;277;23;2679;5973
30;2019-9-4;19;375;30;3945;8923
31;2019-9-11;24;393;35;5060;9087
32;2019-9-18;28;453;41;5924;10085
33;2019-9-25;29;463;43;4147;9365
34;2019-10-2;30;477;45;8898;14292
35;2019-10-9;30;453;43;8219;14770
36;2019-10-16;33;471;46;6487;12063
37;2019-10-23;34;486;47;8065;15717
38;2019-10-30;35;476;53;6521;10295
39;2019-11-6;33;647;49;14469;29369
40;2019-11-13;28;456;41;7061;12371
41;2019-11-20;25;378;35;9357;15458
42;2019-11-27;22;357;32;8605;15177
43;2019-12-4;23;478;31;8216;18216
44;2019-12-11;16;144;20;2624;8893
45;2019-12-18;8;23;8;323;3357
46;2019-12-25;7;9;7;67;1718
47;2020-1-1;6;2;7;3;2658
48;2020-1-8;10;34;12;536;3632
49;2020-1-15;16;305;26;2332;6666
50;2020-1-22;17;721;33;6305;10246
51;2020-1-29;20;481;37;6205;13741
52;2020-2-5;23;577;39;7830;13867
53;2020-2-12;22;562;39;8339;14402
54;2020-2-19;21;521;38;6117;10232
55;2020-2-26;21;477;43;4197;8804
56;2020-3-4;20;434;38;7594;12041
57;2020-3-11;16;216;27;3719;9611
58;2020-3-18;24;352;40;3734;11084
59;2020-3-25;25;442;43;9775;22191
60;2020-4-1;28;397;57;8505;26005
61;2020-4-8;24;682;61;9427;25892
62;2020-4-15;26;670;56;9943;23723
63;2020-4-22;27;481;46;10401;26604
64;2020-4-29;18;461;33;7986;25596
65;2020-5-6;8;188;12;3220;23152
66;2020-5-13;13;235;21;5025;66486
67;2020-5-20;18;280;30;6455;38846
68;2020-5-27;15;261;22;5440;18728
69;2020-6-3;7;79;11;2426;19296
70;2020-6-10;3;56;4;1754;22103
71;2020-6-17;5;92;8;2983;12111
72;2020-6-24;6;191;11;9571;17475
73;2020-7-1;7;93;11;2217;11845
74;2020-7-8;6;69;8;1332;11157
75;2020-7-15;8;93;10;2337;12368
76;2020-7-22;11;135;14;2965;21360
77;2020-7-29;11;235;17;4415;22093
78;2020-8-5;10;239;13;4721;15573
79;2020-8-12;8;165;12;3376;16350
80;2020-8-19;13;320;27;11644;18907
81;2020-8-26;14;348;32;9133;17030
82;2020-9-2;15;432;34;10005;16358
83;2020-9-9;21;390;33;8399;16436
84;2020-9-16;25;499;42;10017;19119
85;2020-9-23;28;478;53;7557;17064
86;2020-9-30;24;451;41;8541;19293
87;2020-10-7;25;517;60;9928;24773
88;2020-10-14;25;577;78;8414;25051
89;2020-10-21;30;554;72;9516;28735
90;2020-10-28;35;758;76;20018;34388
91;2020-11-4;33;694;70;13305;34046
92;2020-11-11;30;569;61;12595;27013
93;2020-11-18;27;577;56;14363;26734
94;2020-11-25;23;506;58;15356;28327
95;2020-12-2;24;513;51;17515;30884
96;2020-12-9;19;302;38;8310;21983
97;2020-12-16;16;352;27;4711;24671
98;2020-12-23;9;182;16;3711;16293
99;2020-12-30;3;32;5;504;6365
100;2021-1-6;6;44;9;555;13828
101;2021-1-13;5;128;21;3468;21728
102;2021-1-20;2;81;11;1385;15884
