,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',6
3,'2000-04-01',7
4,'2000-05-01',10
5,'2000-06-01',11
6,'2000-07-01',13
7,'2000-08-01',13
8,'2000-09-01',15
9,'2000-10-01',17
10,'2000-11-01',17
11,'2000-12-01',17
12,'2001-01-01',18
13,'2001-02-01',22
14,'2001-03-01',21
15,'2001-04-01',22
16,'2001-05-01',19
17,'2001-06-01',18
18,'2001-07-01',16
19,'2001-08-01',15
20,'2001-09-01',14
21,'2001-10-01',15
22,'2001-11-01',15
23,'2001-12-01',15
24,'2002-01-01',15
25,'2002-02-01',15
26,'2002-03-01',14
27,'2002-04-01',14
28,'2002-05-01',13
29,'2002-06-01',17
30,'2002-07-01',17
31,'2002-08-01',18
32,'2002-09-01',19
33,'2002-10-01',19
34,'2002-11-01',22
35,'2002-12-01',21
