,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',5
9,'2000-10-01',5
10,'2000-11-01',5
11,'2000-12-01',5
12,'2001-01-01',6
13,'2001-02-01',8
14,'2001-03-01',7
15,'2001-04-01',7
16,'2001-05-01',8
17,'2001-06-01',8
18,'2001-07-01',7
19,'2001-08-01',7
20,'2001-09-01',6
21,'2001-10-01',6
22,'2001-11-01',6
23,'2001-12-01',6
24,'2002-01-01',6
25,'2002-02-01',6
26,'2002-03-01',5
27,'2002-04-01',5
28,'2002-05-01',3
29,'2002-06-01',6
30,'2002-07-01',6
31,'2002-08-01',7
32,'2002-09-01',7
33,'2002-10-01',8
34,'2002-11-01',10
35,'2002-12-01',10
