,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',8
3,'2000-04-01',11
4,'2000-05-01',13
5,'2000-06-01',14
6,'2000-07-01',15
7,'2000-08-01',17
8,'2000-09-01',21
9,'2000-10-01',24
10,'2000-11-01',24
11,'2000-12-01',25
12,'2001-01-01',27
13,'2001-02-01',33
14,'2001-03-01',35
15,'2001-04-01',36
16,'2001-05-01',39
17,'2001-06-01',39
18,'2001-07-01',36
19,'2001-08-01',35
20,'2001-09-01',37
21,'2001-10-01',37
22,'2001-11-01',39
23,'2001-12-01',40
24,'2002-01-01',39
25,'2002-02-01',37
26,'2002-03-01',35
27,'2002-04-01',34
28,'2002-05-01',31
29,'2002-06-01',37
30,'2002-07-01',38
31,'2002-08-01',38
32,'2002-09-01',39
33,'2002-10-01',43
34,'2002-11-01',48
35,'2002-12-01',50
36,'2003-01-01',50
37,'2003-02-01',55
38,'2003-03-01',60
39,'2003-04-01',58
40,'2003-05-01',61
41,'2003-06-01',60
42,'2003-07-01',61
43,'2003-08-01',59
44,'2003-09-01',61
45,'2003-10-01',62
46,'2003-11-01',60
47,'2003-12-01',62
48,'2004-01-01',61
49,'2004-02-01',63
50,'2004-03-01',64
51,'2004-04-01',64
52,'2004-05-01',61
53,'2004-06-01',62
54,'2004-07-01',66
55,'2004-08-01',65
56,'2004-09-01',66
57,'2004-10-01',69
58,'2004-11-01',76
59,'2004-12-01',73
60,'2005-01-01',80
61,'2005-02-01',90
62,'2005-03-01',93
63,'2005-04-01',98
64,'2005-05-01',100
65,'2005-06-01',99
66,'2005-07-01',100
67,'2005-08-01',108
68,'2005-09-01',118
69,'2005-10-01',122
70,'2005-11-01',128
71,'2005-12-01',140
